PORTAL INFOCURSOS;;;;;;;;;;;
;;;;;;;;;;;
8) Percentagem de recém-diplomados do curso que estão registados no IEFP como desempregados;;;;;;;;;;;
;;;;;;;;;;;
Estabelecimento;CodigoEstabelecimento;UnidadeOrganica;CodigoUnidadeOrganica;Natureza;TipoEnsino;NomeCurso;CodigoCurso;Grau;NumeroDiplomadosCurso;NumeroDiplomadosDesempregados (média junho e dezembro 2018);TaxaDesempregoRegistadoCurso
Escola Superior de Hotelaria e Turismo do Estoril;7110;Escola Superior de Hotelaria e Turismo do Estoril;7110;Publico;Politecnico;Gestão Turística (regime pós-laboral);9996;Licenciatura;349;6;1,7
Escola Superior de Hotelaria e Turismo do Estoril;7110;Escola Superior de Hotelaria e Turismo do Estoril;7110;Publico;Politecnico;Gestão do Lazer e Animação Turística (regime pós-laboral);9995;Licenciatura;210;4,5;2,1
Escola Superior de Hotelaria e Turismo do Estoril;7110;Escola Superior de Hotelaria e Turismo do Estoril;7110;Publico;Politecnico;Direcção e Gestão Hoteleira (regime pós-laboral);9875;Licenciatura;418;6;1,4
Escola Superior de Hotelaria e Turismo do Estoril;7110;Escola Superior de Hotelaria e Turismo do Estoril;7110;Publico;Politecnico;Produção Alimentar em Restauração;9217;Licenciatura;249;5;2
Escola Superior de Hotelaria e Turismo do Estoril;7110;Escola Superior de Hotelaria e Turismo do Estoril;7110;Publico;Politecnico;Informação Turística;9183;Licenciatura;153;5,5;3,6
Escola Superior de Hotelaria e Turismo do Estoril;7110;Escola Superior de Hotelaria e Turismo do Estoril;7110;Publico;Politecnico;Gestão Turística;9177;Licenciatura;349;6;1,7
Escola Superior de Hotelaria e Turismo do Estoril;7110;Escola Superior de Hotelaria e Turismo do Estoril;7110;Publico;Politecnico;Gestão do Lazer e Animação Turística;9163;Licenciatura;210;4,5;2,1
Escola Superior de Hotelaria e Turismo do Estoril;7110;Escola Superior de Hotelaria e Turismo do Estoril;7110;Publico;Politecnico;Direção e Gestão Hoteleira;9076;Licenciatura;418;6;1,4
Escola Superior de Hotelaria e Turismo do Estoril;7110;Escola Superior de Hotelaria e Turismo do Estoril;7110;Publico;Politecnico;Produção Alimentar em Restauração (regime pós-laboral);8011;Licenciatura;249;5;2
Escola Superior Náutica Infante D. Henrique;7105;Escola Superior Náutica Infante D. Henrique;7105;Publico;Politecnico;Engenharia Eletrotécnica Marítima;L118;Licenciatura;0;;
Escola Superior Náutica Infante D. Henrique;7105;Escola Superior Náutica Infante D. Henrique;7105;Publico;Politecnico;Gestão Portuária;9926;Licenciatura;64;2,5;3,9
Escola Superior Náutica Infante D. Henrique;7105;Escola Superior Náutica Infante D. Henrique;7105;Publico;Politecnico;Gestão de Transportes e Logística;9924;Licenciatura;95;3;3,2
Escola Superior Náutica Infante D. Henrique;7105;Escola Superior Náutica Infante D. Henrique;7105;Publico;Politecnico;Pilotagem;9789;Licenciatura;114;1,5;1,3
Escola Superior Náutica Infante D. Henrique;7105;Escola Superior Náutica Infante D. Henrique;7105;Publico;Politecnico;Engenharia de Máquinas Marítimas;9745;Licenciatura;81;1;1,2
Escola Superior de Enfermagem do Porto;7003;Escola Superior de Enfermagem do Porto;7003;Publico;Politecnico;Enfermagem;9500;Licenciatura;994;16;1,6
Escola Superior de Enfermagem de Lisboa;7002;Escola Superior de Enfermagem de Lisboa;7002;Publico;Politecnico;Enfermagem;9500;Licenciatura;1080;2,5;0,2
Escola Superior de Enfermagem de Coimbra;7001;Escola Superior de Enfermagem de Coimbra;7001;Publico;Politecnico;Enfermagem;9500;Licenciatura;1286;9;0,7
ISCTE - Instituto Universitário de Lisboa;6800;ISCTE - Instituto Universitário de Lisboa;6800;Publico;Universitario;Gestão Industrial e Logística;L030;Licenciatura;69;1;1,4
ISCTE - Instituto Universitário de Lisboa;6800;ISCTE - Instituto Universitário de Lisboa;6800;Publico;Universitario;História Moderna e Contemporânea;9927;Licenciatura;87;4,5;5,2
ISCTE - Instituto Universitário de Lisboa;6800;ISCTE - Instituto Universitário de Lisboa;6800;Publico;Universitario;Engenharia Informática (regime pós-laboral);9885;Licenciatura;191;1,5;0,8
ISCTE - Instituto Universitário de Lisboa;6800;ISCTE - Instituto Universitário de Lisboa;6800;Publico;Universitario;Antropologia;9448;Licenciatura;122;8;6,6
ISCTE - Instituto Universitário de Lisboa;6800;ISCTE - Instituto Universitário de Lisboa;6800;Publico;Universitario;Arquitectura;9257;MestradoIntegrado;175;9,5;5,4
ISCTE - Instituto Universitário de Lisboa;6800;ISCTE - Instituto Universitário de Lisboa;6800;Publico;Universitario;Sociologia;9240;Licenciatura;291;13,5;4,6
ISCTE - Instituto Universitário de Lisboa;6800;ISCTE - Instituto Universitário de Lisboa;6800;Publico;Universitario;Psicologia;9219;Licenciatura;250;5,5;2,2
ISCTE - Instituto Universitário de Lisboa;6800;ISCTE - Instituto Universitário de Lisboa;6800;Publico;Universitario;Informática e Gestão de Empresas;9189;Licenciatura;222;3,5;1,6
ISCTE - Instituto Universitário de Lisboa;6800;ISCTE - Instituto Universitário de Lisboa;6800;Publico;Universitario;Gestão de Recursos Humanos;9157;Licenciatura;151;6;4
ISCTE - Instituto Universitário de Lisboa;6800;ISCTE - Instituto Universitário de Lisboa;6800;Publico;Universitario;Gestão de Marketing;9156;Licenciatura;155;7;4,5
ISCTE - Instituto Universitário de Lisboa;6800;ISCTE - Instituto Universitário de Lisboa;6800;Publico;Universitario;Gestão;9147;Licenciatura;811;13,5;1,7
ISCTE - Instituto Universitário de Lisboa;6800;ISCTE - Instituto Universitário de Lisboa;6800;Publico;Universitario;Engenharia Informática;9119;Licenciatura;191;1,5;0,8
ISCTE - Instituto Universitário de Lisboa;6800;ISCTE - Instituto Universitário de Lisboa;6800;Publico;Universitario;Engenharia de Telecomunicações e Informática;9098;Licenciatura;193;2,5;1,3
ISCTE - Instituto Universitário de Lisboa;6800;ISCTE - Instituto Universitário de Lisboa;6800;Publico;Universitario;Economia;9081;Licenciatura;265;4,5;1,7
ISCTE - Instituto Universitário de Lisboa;6800;ISCTE - Instituto Universitário de Lisboa;6800;Publico;Universitario;Ciência Política;9019;Licenciatura;133;4;3
ISCTE - Instituto Universitário de Lisboa;6800;ISCTE - Instituto Universitário de Lisboa;6800;Publico;Universitario;Informática e Gestão de Empresas (regime pós-laboral);8366;Licenciatura;222;3,5;1,6
ISCTE - Instituto Universitário de Lisboa;6800;ISCTE - Instituto Universitário de Lisboa;6800;Publico;Universitario;Sociologia (regime pós-laboral);8109;Licenciatura;291;13,5;4,6
ISCTE - Instituto Universitário de Lisboa;6800;ISCTE - Instituto Universitário de Lisboa;6800;Publico;Universitario;Finanças e Contabilidade;8029;Licenciatura;277;2;0,7
