;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Column1;Abrantes;Águeda;Almada;Amadora;Angra do Heroísmo;Aveiro;Barcelos;Barreiro;Beja;Braga;Bragança;Caldas da Rainha;Cascais;Castelo Branco;Chaves;Coimbra;Covilhã;Elvas;Espinho;Évora;Fafe;Faro;Felgueiras;Funchal;Guarda;Guimarães;Horta;Idanha-a-Nova;Lamego;Leiria;Lisboa;Loulé;Macedo de Cavaleiros;Maia;Marinha Grande;Matosinhos;Melgaço;Mirandela;Odivelas;Oeiras;Oliveira de Azeméis;Oliveira do Hospital;Paredes;Peniche;Ponta Delgada;Ponte de Lima;Portalegre;Portimão;Porto;Póvoa de Lanhoso;Rio Maior;Santa Maria da Feira;Santarém;Santiago do Cacém;Seia;Setúbal;Silves;Sintra;Tomar;Torres Novas;Torres Vedras;Valença;Viana do Castelo;Vila do Conde;Vila Nova de Cerveira;Vila Nova de Famalicão;Vila Nova de Gaia;Vila Real;Viseu
Anadia;0;29;4;0;0;146;0;1;1;7;5;3;2;6;0;368;20;0;0;4;0;2;0;0;3;0;0;0;0;8;59;0;0;0;0;2;0;1;0;4;6;3;0;5;0;1;3;1;55;0;2;0;1;0;4;0;0;0;5;0;0;0;0;1;0;0;0;5;34
Câmara de Lobos;0;0;7;0;1;15;0;0;0;16;7;1;1;6;0;42;13;2;0;10;0;14;0;340;2;0;0;0;2;9;116;0;0;0;0;0;0;0;2;5;0;0;0;1;3;0;3;0;51;0;2;0;3;0;0;5;0;0;1;0;0;0;0;3;0;1;2;11;0
Vila Nova de Cerveira;0;0;0;0;0;4;3;0;0;23;1;0;0;1;0;13;1;0;0;3;0;1;1;0;0;0;0;0;0;0;18;0;0;8;0;8;2;3;0;0;0;0;1;0;0;1;0;0;51;0;0;0;0;0;0;0;0;0;1;0;0;29;48;0;10;0;0;7;1
Cantanhede;0;12;7;0;0;105;0;0;0;8;2;5;6;5;0;725;19;0;0;1;0;5;0;0;13;0;0;0;0;35;64;0;0;3;0;1;1;0;0;4;2;11;3;7;1;0;0;0;50;0;2;0;2;0;3;1;0;0;5;0;0;0;0;1;0;0;0;4;15
Melgaço;0;0;1;0;0;5;3;0;0;30;7;1;0;1;2;18;5;0;0;0;0;0;0;0;0;0;0;0;0;0;7;0;0;1;0;1;8;0;0;0;0;1;1;0;0;5;1;0;50;0;0;0;0;0;0;0;0;0;0;0;0;9;27;0;1;1;0;4;1
Pombal;2;0;24;0;0;90;0;0;0;6;0;16;5;35;0;549;49;1;0;16;0;15;0;0;0;0;0;2;0;461;182;0;0;2;4;2;0;0;0;8;0;3;5;19;0;0;8;0;50;0;4;0;4;0;1;0;0;2;21;0;0;0;1;0;0;0;0;7;5
Machico;1;0;5;1;1;11;0;0;4;10;3;0;0;8;0;45;15;1;0;5;0;9;0;201;1;0;0;0;0;6;86;0;0;0;0;3;0;1;2;3;2;0;1;2;3;0;7;0;47;0;1;0;5;0;0;2;1;0;1;0;0;0;0;1;0;0;1;1;1
Amares;0;0;0;0;0;11;77;0;0;279;22;0;1;5;1;173;4;0;0;2;2;0;3;0;0;0;0;0;1;1;17;0;0;0;0;3;4;2;0;0;2;0;0;0;1;3;0;0;45;10;0;0;0;0;0;1;0;0;0;0;0;1;17;4;0;12;0;17;7
Covilhã;1;1;21;3;1;28;0;0;3;13;3;1;6;196;0;84;1159;1;0;9;0;3;0;1;71;1;0;18;0;7;153;0;0;1;0;1;0;0;0;4;1;0;2;2;0;0;10;0;45;1;0;0;3;0;6;3;1;0;1;0;0;0;0;1;0;1;0;9;26
Oliveira do Bairro;0;47;2;0;0;222;2;0;0;3;2;0;0;3;0;222;17;0;0;4;0;3;0;0;6;0;0;1;0;13;42;0;0;4;0;1;0;0;0;0;4;0;2;1;0;0;1;0;45;0;0;2;2;0;4;0;0;0;2;0;0;0;0;1;0;0;1;3;32
Vila Pouca de Aguiar;0;0;1;0;0;7;1;0;0;19;20;1;0;1;7;27;5;0;0;0;0;1;1;0;5;0;0;0;1;0;12;0;0;3;0;2;0;7;0;0;1;0;7;0;0;0;0;0;44;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;136;3
Montalegre;0;0;1;0;0;3;10;0;0;53;10;0;0;0;2;18;6;0;0;0;0;1;1;0;5;0;0;1;0;1;11;0;0;3;0;0;0;5;0;0;0;0;1;0;0;1;0;0;42;0;1;0;0;0;0;0;0;0;0;0;0;0;6;1;1;2;0;23;0
Mangualde;0;0;5;0;0;47;0;0;0;4;0;0;1;8;0;97;39;0;0;7;0;0;0;0;10;0;0;1;4;1;42;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;40;0;0;0;0;0;3;0;0;0;1;0;0;0;0;0;0;0;0;8;155
Torre de Moncorvo;0;0;3;0;0;5;0;0;0;5;65;0;0;2;1;140;10;0;0;1;0;2;0;0;6;0;0;0;0;1;6;0;2;0;0;1;0;4;0;0;0;0;2;0;0;0;2;0;40;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;2;21;9
Vieira do Minho;0;0;0;0;0;5;18;0;0;179;25;0;0;1;2;86;1;0;0;0;1;0;1;0;2;0;0;0;1;0;28;0;0;3;0;1;0;1;0;1;0;0;7;1;0;7;1;0;40;5;0;0;0;0;0;0;0;0;0;0;0;0;9;2;0;2;0;18;1
Miranda do Douro;0;0;1;0;0;5;0;0;0;7;54;0;0;1;0;22;10;0;0;1;0;1;0;0;3;0;0;0;0;1;19;0;0;2;0;0;0;7;0;1;0;1;6;0;0;0;0;0;39;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;15;0
Alijó;0;0;1;0;0;7;0;0;0;4;54;0;0;1;2;11;4;0;0;1;0;1;0;0;2;0;0;0;2;3;11;0;1;1;0;1;0;16;0;0;0;0;3;0;0;0;1;0;38;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;2;107;2
São Pedro do Sul;0;3;4;0;0;50;0;0;0;2;2;0;1;3;0;96;21;0;0;0;0;2;0;0;12;0;0;0;2;3;48;0;0;0;0;3;0;1;0;2;0;0;2;0;0;0;0;0;38;0;0;0;0;0;1;1;0;0;1;0;0;0;0;0;0;0;0;10;107
Sever do Vouga;0;4;1;0;0;140;1;0;0;3;2;1;0;4;0;73;19;0;0;2;0;1;0;0;5;0;0;0;0;3;14;0;0;2;0;1;0;0;0;0;8;1;1;0;1;0;1;0;37;0;0;0;0;0;2;0;0;0;1;0;0;0;0;1;0;0;2;3;32
Cascais;1;0;368;20;2;15;1;5;8;7;4;28;431;7;0;44;16;4;0;39;0;22;0;0;4;2;0;1;1;18;6019;0;0;0;0;2;0;3;18;575;0;0;2;9;2;0;6;2;35;0;5;0;16;1;0;20;1;2;7;0;0;0;1;0;0;0;0;6;2
Sintra;3;1;541;20;1;32;1;13;14;12;5;37;358;29;0;75;36;5;0;84;0;48;0;3;5;0;0;1;0;30;9400;0;0;0;0;3;0;2;86;804;1;0;0;18;2;0;17;1;35;0;19;0;41;0;1;90;0;18;22;0;0;0;1;1;0;0;0;6;17
Murtosa;0;2;0;0;0;78;0;0;0;3;3;1;0;2;0;25;8;0;0;1;0;1;0;0;7;0;0;0;0;2;11;0;0;0;0;0;0;0;0;1;1;0;1;1;0;1;0;0;34;0;0;5;0;0;1;0;0;0;0;0;0;0;0;0;0;1;1;3;7
Ribeira Grande;0;1;7;0;16;15;0;0;2;5;4;0;0;4;0;23;5;0;0;6;0;3;1;2;0;0;0;0;0;8;96;0;0;0;0;1;0;2;1;4;0;0;2;0;302;0;1;0;34;0;0;0;2;0;0;0;0;0;1;0;0;0;0;0;0;0;0;5;2
Marinha Grande;0;2;27;1;0;50;2;0;0;5;2;18;4;12;0;163;13;0;0;16;0;7;0;0;2;0;0;0;1;558;217;0;0;1;64;0;1;2;1;4;1;1;1;17;2;0;4;1;33;0;14;0;8;0;1;1;0;1;6;0;0;0;0;0;0;0;0;1;4
Ourém;1;2;46;1;0;54;1;0;5;7;2;29;5;37;0;254;39;0;0;34;0;2;0;1;4;0;0;0;0;449;393;0;0;0;1;1;0;1;0;29;0;1;0;18;0;0;11;0;33;0;7;0;19;0;0;3;1;1;81;2;0;0;0;0;0;0;0;6;7
Ponte da Barca;0;0;0;0;0;15;9;0;1;111;8;0;0;1;0;18;2;0;0;0;0;0;0;0;0;0;0;0;0;4;8;0;0;0;0;1;2;2;0;0;0;0;1;0;0;16;0;0;33;0;0;0;0;0;0;0;0;0;0;0;0;4;43;0;0;0;0;3;0
Faro;2;0;58;0;1;8;0;0;26;4;1;3;11;3;0;46;9;2;0;68;1;2002;0;0;2;0;0;0;0;3;496;32;0;0;0;0;0;2;0;11;1;0;0;1;0;0;5;22;32;0;2;0;2;1;0;9;11;2;2;0;0;0;0;0;0;0;0;0;6
Seia;1;0;11;0;0;35;2;0;1;3;22;0;1;13;0;191;72;0;0;3;0;4;0;1;54;0;0;0;1;15;67;0;0;1;0;1;1;2;1;3;0;12;3;0;0;0;0;1;32;0;0;0;4;0;24;0;0;0;3;0;0;0;1;0;0;1;0;4;82
Vila da Praia da Vitória;0;0;7;0;119;8;0;0;1;9;6;1;0;8;0;21;5;0;0;2;0;0;1;0;0;0;0;0;0;18;110;0;0;0;0;1;0;0;0;3;0;0;0;0;83;0;0;0;32;0;1;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
Alcobaça;5;1;59;2;0;67;0;0;6;9;3;51;14;18;0;277;34;1;0;57;0;18;1;1;5;0;0;1;0;496;862;0;0;0;10;0;0;2;2;34;0;1;0;46;1;0;13;0;31;0;28;0;29;0;1;6;0;0;14;0;0;0;0;0;0;1;1;8;5
Calheta (R.A.M.);0;0;1;2;0;0;0;0;0;7;2;0;0;1;0;16;2;0;0;5;0;13;0;92;0;0;0;0;0;3;17;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;3;0;31;0;0;0;0;0;1;2;0;0;0;0;0;0;0;0;0;0;1;2;0
Mogadouro;1;0;1;0;0;1;0;0;0;7;160;0;0;2;1;25;3;0;0;0;0;2;0;0;0;0;0;0;0;1;6;0;0;4;0;1;0;13;0;2;0;0;2;0;0;0;0;0;31;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;1;3;28;1
Castelo Branco;3;0;45;0;0;26;0;0;1;9;2;4;8;1014;0;175;242;1;0;29;0;9;0;1;30;0;0;136;0;20;429;0;0;1;0;1;0;0;1;15;0;1;1;5;0;0;9;0;30;0;3;0;1;0;2;2;1;1;4;1;0;0;0;0;0;0;0;0;11
Mondim de Basto;0;0;0;0;0;5;0;0;0;15;26;0;1;1;2;15;2;0;0;2;1;1;11;0;1;0;0;1;1;3;4;0;0;4;0;2;0;5;0;0;0;1;0;0;0;0;0;0;29;2;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;47;0
Mesão Frio;0;0;0;0;0;4;0;0;0;2;6;0;0;0;0;3;2;0;0;0;0;0;1;0;3;0;0;1;6;0;10;0;0;1;0;1;0;0;0;0;0;0;1;0;0;0;0;0;28;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;11;5
Paredes de Coura;0;0;1;0;0;2;8;0;0;33;4;0;0;0;1;8;3;0;0;0;0;1;0;0;0;0;0;0;0;0;15;0;0;0;0;0;2;1;0;2;0;1;0;0;0;10;0;0;28;0;0;0;0;0;0;0;0;0;0;0;0;14;32;1;0;1;0;8;0
Vila Flor;0;0;6;1;0;6;0;0;0;7;68;0;0;2;0;32;4;0;0;2;0;1;0;0;0;0;0;0;0;1;12;0;3;0;0;0;0;18;0;0;0;0;1;0;0;0;0;0;28;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;28;0
Oeiras;1;0;450;22;2;16;2;6;4;9;1;28;196;8;0;30;15;1;0;41;0;16;0;2;3;0;0;2;0;6;5285;0;0;1;1;0;0;0;24;601;0;0;0;5;3;0;6;1;26;0;4;0;7;0;0;14;0;5;7;0;0;0;1;0;0;0;0;1;12
São João da Pesqueira;0;0;0;0;0;5;0;0;0;2;9;0;0;0;0;32;7;0;0;1;0;1;0;0;7;0;0;0;6;1;6;0;0;0;0;1;0;9;0;0;0;2;2;0;0;0;0;0;26;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;34;37
Fundão;0;0;13;0;0;19;0;0;0;10;1;6;3;213;0;64;292;0;0;12;0;3;0;0;41;0;0;24;0;10;121;0;0;0;0;0;0;1;0;4;0;0;0;1;0;0;9;0;25;0;1;0;1;0;0;2;0;1;1;0;0;0;0;1;0;0;0;0;13
Santa Marta de Penaguião;0;0;0;0;0;2;0;0;1;4;37;0;0;3;0;5;6;0;0;0;0;0;0;0;0;0;0;0;16;0;3;0;0;1;0;0;0;2;1;0;0;0;2;0;0;0;0;0;25;0;1;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;46;4
Caldas da Rainha;1;1;53;1;0;29;0;0;3;3;3;215;17;11;0;101;28;1;0;26;0;13;0;1;6;0;0;0;0;287;672;0;0;2;1;0;0;2;1;33;1;0;1;70;1;1;5;0;24;0;28;0;45;0;2;5;0;2;11;1;5;0;0;0;0;1;0;4;0
Loulé;0;0;28;1;0;3;1;0;20;6;2;1;5;9;0;37;12;0;0;50;0;793;0;0;0;0;0;0;0;3;339;63;0;0;0;0;0;0;1;13;1;0;0;1;0;0;4;29;24;0;1;0;0;0;0;6;12;0;0;0;0;0;0;0;0;0;0;2;4
Mealhada;0;11;2;0;0;43;0;0;0;1;1;1;0;5;1;302;8;0;0;2;0;1;0;0;2;0;0;0;0;6;12;0;0;1;0;2;0;0;0;1;0;0;2;1;0;0;0;0;24;0;1;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;2;5
Ribeira de Pena;0;0;0;0;0;1;0;0;0;6;14;0;0;2;3;11;2;0;0;0;1;0;1;0;2;0;0;0;0;0;5;0;0;0;0;2;0;1;0;0;0;0;3;0;0;0;0;0;24;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;42;1
Sátão;0;1;3;0;0;27;0;0;0;1;1;0;0;1;0;56;15;1;0;1;0;0;1;1;7;0;0;1;1;4;23;0;0;0;0;0;1;1;0;1;2;1;1;0;0;0;0;0;24;0;0;0;0;0;2;0;1;0;1;0;0;0;0;0;0;0;0;9;109
Oliveira de Frades;0;5;0;0;0;59;0;0;0;4;3;0;1;0;0;83;12;0;0;1;0;1;0;0;1;0;0;0;1;2;18;0;0;0;0;3;0;0;0;2;0;0;2;0;0;0;2;0;22;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;3;46
Tarouca;0;0;1;0;0;5;1;0;0;5;7;0;0;2;0;22;8;0;0;0;0;0;0;0;3;0;0;0;21;0;14;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;22;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;2;0;0;31;16
Vila Nova de Foz Côa;0;1;0;0;0;7;0;0;0;3;18;0;0;2;0;48;5;0;0;3;1;3;0;0;21;0;0;0;1;1;12;0;0;5;0;2;0;2;0;0;1;0;0;0;0;0;0;0;22;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;11;15
Almada;0;0;1292;12;0;10;0;28;8;6;1;14;63;15;0;28;21;1;0;43;0;12;0;2;7;0;0;1;1;9;3570;0;0;0;0;1;0;2;9;89;0;0;2;4;0;1;4;2;21;0;2;0;10;0;1;324;0;3;6;0;0;0;1;1;0;1;2;6;6
Castro Daire;0;1;2;0;0;25;0;0;2;4;9;0;3;1;0;80;18;1;0;0;0;2;0;0;7;0;0;0;13;2;39;0;0;1;0;0;0;4;0;0;0;0;0;0;0;0;1;0;21;0;0;0;0;0;1;2;0;0;1;0;0;0;1;0;0;0;2;24;104
Moimenta da Beira;0;0;2;0;0;19;0;0;0;7;1;0;0;4;0;65;18;0;0;3;0;1;0;0;11;0;0;0;8;3;14;0;0;0;0;2;1;1;0;0;1;0;0;1;1;0;0;0;21;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;11;71
Portimão;0;0;42;2;2;15;0;0;48;9;5;3;2;5;0;51;14;2;0;68;0;304;0;1;0;0;0;0;0;7;373;5;0;2;0;2;0;0;0;13;0;1;2;1;1;0;11;294;21;0;5;0;2;0;0;15;44;1;1;0;0;0;0;0;0;0;0;1;2
Santarém;7;0;82;4;0;24;0;1;0;4;4;16;11;17;1;115;32;1;0;54;0;22;0;2;2;0;0;0;0;82;880;0;0;2;0;0;0;0;1;30;2;1;3;26;0;0;4;0;21;0;33;0;488;0;0;7;0;1;36;7;0;1;1;0;0;0;3;6;3
Torres Novas;17;1;38;1;1;36;2;0;0;5;1;15;10;23;0;144;38;0;0;22;0;6;0;0;2;0;0;0;0;75;396;0;0;0;0;0;0;0;0;11;0;2;0;9;1;0;7;1;21;0;9;0;48;0;0;3;0;1;127;24;0;0;0;0;0;0;0;7;2
Abrantes;134;2;31;2;0;33;0;0;6;3;3;4;8;65;0;106;51;2;0;39;0;9;0;0;2;0;0;5;0;49;465;0;0;1;0;0;0;0;1;12;0;0;0;9;0;0;26;1;20;0;12;0;38;0;0;3;0;0;93;11;0;0;0;0;0;0;0;3;1
Setúbal;4;0;377;4;1;11;0;118;32;8;1;6;23;13;0;33;23;1;0;129;0;55;0;1;2;0;0;0;0;3;1764;0;0;0;0;1;0;2;5;60;0;0;0;6;1;0;14;2;20;0;4;0;16;0;1;1365;0;7;4;0;0;1;0;0;0;0;1;2;2
Albufeira;0;0;24;0;0;6;1;0;28;2;0;4;3;4;0;17;16;1;0;40;0;428;0;0;0;0;0;1;0;4;222;18;0;0;0;1;0;2;0;12;1;0;3;0;0;0;3;39;19;0;3;0;2;0;0;5;20;0;4;0;0;0;0;0;0;0;0;2;3
Entroncamento;15;0;28;0;1;34;0;0;4;3;0;0;5;20;1;83;21;0;0;19;0;13;0;0;3;0;0;1;0;33;278;0;0;3;0;0;0;0;0;10;0;3;0;3;1;0;7;2;19;0;3;0;44;0;0;0;0;7;116;18;0;0;0;0;0;0;1;3;2
Gouveia;0;1;2;0;0;27;0;0;0;4;8;0;0;11;0;91;31;0;0;2;0;0;0;0;47;0;0;1;1;5;37;0;0;1;0;0;0;0;0;1;0;2;0;0;1;0;1;0;19;0;0;0;0;0;10;0;0;0;0;0;0;0;0;1;0;0;1;8;40
Horta;1;1;4;0;8;13;1;0;0;9;7;2;0;5;0;19;3;0;0;6;0;7;0;0;3;0;18;0;0;8;114;0;0;5;0;2;0;1;0;5;1;0;0;1;49;0;0;0;19;0;1;0;2;0;0;3;0;0;3;0;0;0;0;0;0;0;1;3;1
Tomar;24;0;31;1;0;33;0;0;1;3;2;10;5;32;0;203;36;0;0;16;0;6;0;0;4;0;0;3;0;83;417;0;0;0;0;0;0;1;2;20;0;0;1;2;3;0;11;0;19;0;10;0;37;0;0;4;0;3;499;11;0;0;0;0;0;0;0;4;6
Vouzela;0;4;2;0;0;37;0;0;0;5;5;0;1;3;0;44;11;0;0;0;0;2;0;0;9;0;0;0;0;2;29;0;0;0;0;2;0;0;0;0;0;0;1;0;0;0;0;0;19;0;0;0;0;0;2;0;0;0;1;0;0;0;0;0;0;0;1;6;81
Nelas;0;0;3;0;0;19;0;0;0;5;3;0;0;2;0;113;18;0;0;0;0;2;0;0;11;0;0;1;0;6;44;0;0;0;0;1;0;1;0;2;0;1;1;0;0;0;0;0;18;0;0;0;0;0;3;0;0;0;1;0;0;0;1;0;0;0;0;3;117
Ponta do Sol;1;0;3;1;0;8;0;0;0;1;1;0;0;4;0;19;3;0;0;2;0;0;0;77;1;0;0;0;0;1;26;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;1;18;0;1;0;1;0;0;1;0;0;3;0;0;0;0;0;0;0;0;3;0
Seixal;1;0;822;10;0;11;0;56;15;4;5;7;60;7;0;18;12;2;0;37;0;20;0;0;2;0;0;0;1;8;2763;0;0;0;0;0;0;1;9;99;0;0;0;7;5;0;10;3;18;0;3;0;10;2;1;570;1;6;1;0;0;0;0;0;0;0;0;2;4
Vila Franca de Xira;2;0;164;14;0;12;1;6;12;5;4;22;52;8;0;28;10;0;0;33;0;21;0;0;1;0;0;5;0;9;3051;0;0;1;0;0;0;5;32;86;0;0;0;23;2;0;5;0;18;0;16;0;141;0;0;37;0;4;10;0;1;0;0;0;0;0;0;3;1
Amadora;4;0;289;13;2;11;1;8;4;15;6;12;92;10;0;31;12;1;0;22;0;16;0;2;2;0;0;3;2;10;4227;0;0;2;0;0;0;0;57;218;0;0;1;4;1;0;5;1;17;0;2;0;25;0;1;25;0;2;9;0;0;1;0;0;0;0;0;2;1
Loures;2;0;268;15;2;11;1;7;6;9;2;19;69;24;0;45;15;4;0;34;0;36;0;0;5;0;0;3;0;11;5185;0;0;0;0;1;0;1;76;149;1;0;0;17;2;0;6;1;17;0;11;0;57;0;0;88;1;5;20;0;0;1;1;0;0;0;0;3;8
Mortágua;0;0;2;0;0;20;0;0;0;1;2;1;0;0;0;109;7;0;0;3;0;0;0;0;3;0;0;0;0;4;19;0;0;0;0;0;0;0;0;0;1;3;0;0;0;1;0;0;17;0;1;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;6;24
Murça;1;0;1;0;0;1;0;0;0;9;41;0;0;6;1;17;7;0;0;0;0;0;1;0;0;0;0;0;1;1;8;0;0;0;0;0;0;9;1;0;0;0;1;0;0;0;0;0;17;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;53;2
Odivelas;0;0;224;6;0;9;0;6;0;5;2;16;52;0;2;17;7;4;0;15;0;2;0;1;3;0;0;0;0;8;3362;0;0;5;0;1;0;2;126;106;0;1;0;8;0;0;2;0;17;0;0;0;0;0;0;0;0;2;0;0;1;0;0;0;0;0;1;3;1
Ribeira Brava;0;0;10;0;1;0;2;0;0;4;1;0;0;5;0;20;8;0;0;6;0;9;1;134;2;0;0;0;0;1;56;0;0;0;0;1;0;1;0;1;0;0;0;2;2;0;2;0;17;0;1;0;0;0;0;2;0;1;1;0;0;0;0;0;0;0;0;4;1
Armamar;0;1;0;0;0;6;2;0;0;0;9;0;0;2;2;25;4;0;0;0;0;0;0;0;1;0;0;0;13;2;4;0;0;1;0;2;0;0;0;1;0;0;3;0;0;0;0;0;16;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;19;19
Carrazeda de Ansiães;0;1;0;0;0;8;0;0;0;7;46;0;0;10;0;113;4;0;0;0;0;1;0;0;2;0;0;0;0;0;4;0;0;2;0;1;0;16;0;0;0;1;0;0;0;0;0;0;16;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;1;18;2
Madalena;0;2;3;0;6;4;0;0;0;2;0;1;0;1;0;12;2;0;0;2;0;4;0;0;0;0;0;0;1;1;30;0;0;0;0;2;0;0;0;2;0;0;0;0;12;0;1;0;16;0;1;0;0;0;0;3;0;0;5;0;0;0;0;0;0;0;0;4;0
Mira;0;11;0;0;0;86;0;0;0;4;3;1;1;4;0;201;5;0;0;1;0;0;0;0;2;0;0;0;0;8;17;0;0;2;0;3;0;0;0;0;2;0;5;2;0;0;3;0;16;0;2;0;0;0;1;0;0;0;1;0;0;0;0;0;0;1;1;1;12
Montemor-o-Velho;0;1;1;0;0;25;0;0;1;2;1;3;0;8;0;614;13;0;0;1;0;1;0;1;4;0;0;0;0;17;33;0;0;1;0;0;0;0;0;2;1;7;0;3;0;0;1;0;16;0;3;0;1;0;0;1;0;0;5;0;0;0;0;1;0;0;0;5;7
Oliveira do Hospital;0;0;4;0;0;18;0;0;0;5;3;0;1;7;0;281;24;0;0;3;0;0;0;0;18;0;0;0;0;6;42;0;0;0;0;1;0;0;0;4;0;75;1;0;0;0;0;0;16;0;1;0;1;0;9;0;0;0;4;0;0;0;0;0;0;0;0;4;38
Alfândega da Fé;0;0;0;0;0;6;0;0;1;7;73;0;0;0;0;122;2;0;0;1;0;0;0;0;1;0;0;0;1;1;10;0;0;1;0;0;0;5;0;1;0;0;0;0;0;0;0;0;15;0;1;0;0;0;0;0;0;0;2;0;0;0;0;2;0;0;0;12;0
Lagoa (R.A.A.);0;0;1;0;7;0;0;0;0;1;1;1;1;1;0;8;1;0;0;4;0;1;2;0;0;0;0;1;0;1;60;0;0;0;0;1;0;0;0;1;0;0;0;0;145;0;2;0;15;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;5;0
Terras de Bouro;0;0;2;0;0;2;12;0;0;66;8;0;0;0;0;216;1;0;0;0;0;1;4;0;0;0;0;0;0;0;28;0;0;2;0;0;1;1;0;2;0;0;16;0;0;2;0;0;15;0;0;0;0;0;0;0;0;0;0;0;0;2;6;1;0;3;0;10;3
Portalegre;1;0;38;1;0;7;0;0;4;0;0;1;2;35;0;40;28;16;0;84;0;11;0;0;1;0;0;0;0;4;213;0;0;0;0;0;0;0;2;5;0;1;0;1;0;0;408;0;14;0;0;0;3;0;0;5;0;0;2;0;0;0;0;0;0;0;0;4;2
Carregal do Sal;0;0;2;0;0;12;1;0;0;3;2;1;1;0;0;67;11;0;0;1;0;1;0;0;3;0;0;0;0;1;12;0;0;0;0;0;0;0;1;0;0;4;0;0;0;0;0;0;13;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;1;45
Condeixa-a-Nova;1;0;2;0;0;13;0;0;0;1;0;2;0;5;0;555;3;0;0;1;0;0;0;0;1;0;0;1;0;12;20;0;0;0;0;0;0;0;0;1;1;1;1;2;0;0;0;0;13;0;0;0;0;0;2;0;0;0;3;0;0;0;1;1;0;0;0;2;1
Nazaré;1;0;8;0;0;12;1;0;1;3;1;7;6;7;0;66;12;1;0;5;0;8;0;0;2;0;1;1;0;111;86;0;0;0;5;0;0;1;0;9;0;0;0;9;0;0;1;0;13;0;5;0;7;0;0;0;0;0;2;1;0;0;0;0;0;0;0;1;2
Sabrosa;0;0;0;1;0;2;0;0;0;5;14;0;0;2;2;8;4;0;0;2;0;0;0;0;1;0;0;0;2;0;9;0;0;0;0;0;0;3;0;0;0;0;5;0;0;0;0;0;13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;62;2
Vinhais;0;0;2;0;0;0;0;0;0;3;119;0;0;1;1;8;8;0;0;0;0;1;1;0;0;0;0;0;0;0;8;0;0;1;0;0;0;11;1;0;0;0;2;0;0;0;0;0;13;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;15;1
Palmela;0;0;205;3;1;3;0;32;5;2;2;5;16;3;0;13;8;3;0;70;0;13;0;0;0;0;0;1;0;3;862;0;0;0;0;0;0;0;1;30;0;0;0;2;1;0;4;0;12;0;6;0;4;0;0;479;2;2;5;0;0;0;0;0;0;0;0;2;0
Santana;0;0;5;0;0;10;0;0;2;7;1;1;0;3;0;25;7;0;0;4;0;7;0;67;0;0;0;0;0;2;38;0;0;0;0;1;0;0;0;0;0;0;0;1;2;0;1;0;12;0;0;0;2;0;0;1;0;0;0;0;0;0;0;0;0;0;0;3;1
Sernancelhe;0;0;0;0;0;6;0;0;0;3;1;0;0;6;0;17;2;0;0;0;0;0;0;0;2;0;0;0;1;0;11;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;12;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;1;0;4;31
Sesimbra;0;0;210;2;1;3;0;23;3;3;0;3;14;2;0;6;5;1;0;24;0;7;0;0;0;0;0;0;0;0;688;0;0;1;0;0;0;1;2;24;0;0;0;3;0;0;3;1;12;0;1;0;4;0;0;266;0;0;3;0;0;0;1;0;0;0;0;3;0
