,"Tabela 3.1 - Inscritos em estabelecimentos de ensino superior residentes em Portugal segundo o concelho do estabelecimento de ensino superior por concelho da residência permanente do aluno, em 2015/16 - Todos os níveis formação",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
municipios,Abrantes,Águeda,Almada,Amadora,Angra do Heroísmo,Aveiro,Barcelos,Barreiro,Beja,Braga,Bragança,Caldas da Rainha,Cascais,Castelo Branco,Chaves,Coimbra,Covilhã,Elvas,Espinho,Évora,Fafe,Faro,Felgueiras,Funchal,Guarda,Guimarães,Horta,Idanha-a-Nova,Lamego,Leiria,Lisboa,Loulé,Maia,Marinha Grande,Matosinhos,Melgaço,Mirandela,Odivelas,Oeiras,Oliveira de Azeméis,Oliveira do Hospital,Paredes,Penafiel,Peniche,Ponta Delgada,Ponte de Lima,Portalegre,Portimão,Porto,Póvoa de Lanhoso,Rio Maior,Santa Maria da Feira,Santarém,Santiago do Cacém,Seia,Setúbal,Silves,Sintra,Tomar,Torres Novas,Torres Vedras,Valença,Viana do Castelo,Vila do Conde,Vila Nova de Cerveira,Vila Nova de Famalicão,Vila Nova de Gaia,Vila Real,Viseu
Alfândega da Fé, 0, 0, 0, 0, 0, 4, 0, 0, 0, 4, 51, 0, 0, 1, 0, 13, 3, 0, 0, 3, 0, 0, 0, 0, 4, 0, 0, 0, 0, 1, 3, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 17, 0
Alijó, 0, 0, 0, 0, 0, 7, 0, 0, 0, 10, 37, 0, 0, 1, 0, 11, 5, 0, 0, 2, 0, 1, 0, 0, 0, 0, 0, 0, 3, 3, 9, 0, 0, 0, 2, 0, 19, 0, 1, 0, 0, 1, 0, 0, 0, 0, 1, 0, 35, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 112, 4
Aljezur, 0, 0, 6, 0, 0, 0, 0, 0, 3, 1, 0, 0, 0, 2, 0, 6, 1, 0, 0, 2, 0, 14, 0, 0, 0, 0, 0, 0, 0, 1, 38, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 2, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2
Aljustrel, 0, 0, 12, 0, 0, 0, 0, 1, 84, 0, 0, 0, 1, 2, 0, 6, 0, 1, 0, 15, 0, 31, 0, 0, 0, 0, 0, 0, 0, 0, 48, 0, 0, 0, 0, 0, 1, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 0, 0, 0, 0, 0, 0, 5, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
Almada, 1, 0,1 239, 11, 0, 8, 1, 30, 8, 4, 4, 16, 64, 8, 0, 18, 16, 4, 0, 32, 0, 21, 0, 0, 5, 0, 0, 1, 1, 11,3 287, 0, 0, 0, 0, 0, 1, 10, 72, 0, 2, 0, 0, 7, 0, 1, 6, 0, 21, 0, 7, 0, 5, 0, 2, 293, 1, 2, 2, 0, 0, 0, 3, 0, 0, 0, 2, 4, 2
Almeida, 0, 1, 5, 0, 0, 6, 0, 0, 0, 0, 3, 2, 0, 15, 0, 14, 15, 0, 0, 1, 0, 0, 0, 0, 26, 0, 0, 2, 0, 1, 31, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 2, 0, 0, 0, 1, 9, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 1, 7
Almeirim, 1, 1, 26, 0, 0, 12, 0, 0, 0, 2, 1, 9, 1, 7, 0, 37, 7, 0, 0, 19, 0, 5, 0, 0, 1, 0, 0, 0, 0, 10, 170, 0, 0, 0, 0, 0, 1, 0, 10, 1, 2, 0, 0, 4, 0, 0, 3, 1, 4, 0, 18, 0, 160, 0, 0, 3, 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 2, 2, 0
Almodôvar, 0, 0, 2, 0, 0, 0, 0, 0, 39, 0, 0, 0, 2, 0, 0, 4, 0, 0, 0, 3, 0, 36, 0, 0, 0, 0, 0, 0, 0, 0, 34, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 2, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
Alpiarça, 0, 0, 13, 1, 0, 1, 0, 0, 0, 0, 1, 0, 2, 2, 0, 8, 4, 0, 0, 11, 0, 0, 0, 0, 1, 0, 0, 0, 0, 7, 70, 0, 0, 0, 0, 0, 0, 0, 5, 0, 1, 0, 0, 1, 0, 0, 0, 0, 2, 0, 3, 0, 36, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0
Alter do Chão, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 6, 0, 1, 4, 10, 0, 12, 0, 3, 0, 0, 0, 0, 0, 1, 0, 0, 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 0, 1, 0, 3, 0, 3, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
Alvaiázere, 1, 0, 1, 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 4, 0, 68, 5, 0, 0, 2, 0, 0, 0, 0, 1, 0, 0, 0, 0, 20, 50, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 2, 0, 2, 0, 3, 0, 1, 0, 0, 1, 0, 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
Alvito, 0, 0, 3, 0, 0, 0, 0, 0, 17, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 12, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
Amadora, 2, 1, 266, 10, 0, 10, 1, 7, 6, 6, 5, 5, 90, 6, 0, 29, 13, 2, 0, 19, 0, 14, 0, 0, 2, 0, 0, 5, 1, 6,4 049, 0, 0, 0, 0, 0, 0, 45, 189, 0, 1, 0, 0, 5, 1, 0, 6, 2, 20, 0, 3, 0, 27, 0, 1, 20, 0, 2, 4, 0, 0, 1, 2, 0, 0, 0, 0, 2, 1
Amarante, 0, 4, 1, 1, 0, 38, 7, 0, 0, 102, 105, 7, 0, 5, 1, 139, 35, 0, 0, 2, 7, 1, 119, 0, 5, 0, 0, 0, 8, 3, 47, 0, 32, 0, 55, 0, 26, 0, 2, 1, 3, 31, 21, 1, 0, 0, 0, 0, 551, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 5, 8, 0, 1, 35, 285, 22
Amares, 0, 0, 0, 0, 0, 15, 80, 0, 0, 250, 20, 1, 1, 3, 0, 16, 4, 0, 0, 1, 2, 0, 2, 1, 0, 0, 0, 0, 0, 2, 15, 0, 2, 0, 3, 3, 1, 0, 0, 2, 0, 0, 0, 0, 0, 4, 0, 0, 48, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 29, 3, 0, 10, 3, 18, 9
