;Tabela 3.1 - Inscritos em estabelecimentos de ensino superior residentes em Portugal por município do estabelecimento de ensino superior e município da residência permanente do aluno, em 2019/20 - Todos os cursos/ciclos de estudos;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
municipio;Abrantes;Águeda;Almada;Amadora;Amares;Angra do Heroísmo;Aveiro;Barcelos;Barreiro;Beja;Braga;Bragança;Caldas da Rainha;Cascais;Castelo Branco;Chaves;Coimbra;Covilhã;Elvas;Évora;Fafe;Faro;Felgueiras;Funchal;Guarda;Guimarães;Idanha-a-Nova;Lamego;Leiria;Lisboa;Maia;Marinha Grande;Matosinhos;Melgaço;Mirandela;Odivelas;Oeiras;Oliveira de Azeméis;Oliveira do Hospital;Paredes;Penafiel;Peniche;Ponta Delgada;Ponte de Lima;Portalegre;Portimão;Porto;Rio Maior;Santa Maria da Feira;Santarém;Seia;Setúbal;Silves;Sintra;Tomar;Valença;Viana do Castelo;Vila do Conde;Vila Nova de Cerveira;Vila Nova de Famalicão;Vila Nova de Gaia;Vila Real;Viseu
Almodôvar;0;0;5;0;0;0;0;0;0;33;1;0;0;0;1;0;6;0;0;4;0;45;0;0;0;0;0;0;1;32;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;2;1;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0
Alpiarça;3;0;9;1;0;0;4;0;0;1;0;1;2;3;1;0;9;2;1;15;0;2;0;0;0;0;0;0;4;88;0;0;0;0;1;0;4;0;0;0;0;2;1;0;0;1;2;7;0;53;0;0;0;0;3;0;0;0;0;0;1;0;0
Alter do Chão;0;0;0;0;0;0;0;0;0;1;0;0;0;1;3;0;0;4;10;11;0;0;0;0;0;0;0;0;1;18;0;0;0;0;0;0;1;0;0;0;0;0;0;0;23;0;0;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0
Alvaiázere;0;1;1;0;0;0;4;0;0;1;0;0;2;2;5;0;50;5;0;6;0;1;0;0;0;0;0;0;16;19;0;0;0;0;0;0;0;0;2;0;0;1;0;0;3;0;1;2;0;5;0;1;0;0;18;0;0;0;0;0;0;0;1
Alvito;1;0;0;0;0;0;0;0;0;19;0;0;0;0;0;0;3;2;0;10;0;2;0;0;0;0;0;0;1;15;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
Amadora;2;1;261;17;0;0;13;2;21;5;7;13;7;126;12;0;30;17;4;24;0;17;0;0;3;0;4;1;13;4 284;2;0;6;0;3;43;153;1;2;0;0;8;0;1;7;0;23;5;0;28;2;56;0;2;11;1;1;0;0;0;0;2;2
Amarante;1;3;3;0;1;0;49;10;0;0;122;137;7;2;6;0;139;27;0;4;14;1;127;0;3;1;0;5;5;43;53;0;55;0;43;0;0;3;2;35;24;2;1;2;1;0;541;0;0;0;1;1;0;0;1;2;4;14;0;0;34;272;34
Amares;0;0;0;0;23;0;11;77;0;0;314;12;0;0;2;0;12;8;0;1;1;2;3;0;1;0;0;1;3;12;3;0;4;6;7;0;2;0;0;1;0;1;0;5;0;0;51;0;0;0;0;0;0;0;0;6;27;1;0;6;1;18;5
Anadia;0;21;5;0;0;0;134;0;0;0;3;3;5;5;3;0;399;36;0;8;0;4;0;0;10;0;0;2;20;70;5;0;6;0;0;0;2;6;13;0;0;0;0;1;1;0;62;0;1;2;1;9;0;0;4;0;1;5;0;0;4;12;27
Angra do Heroísmo;0;2;33;0;0;143;21;0;0;10;25;1;5;3;6;0;95;12;1;14;0;11;2;1;1;0;0;1;20;335;3;0;5;0;3;0;10;2;2;0;0;4;65;0;4;0;55;7;0;4;2;10;0;1;5;0;0;0;0;0;8;9;2
