Estabelecimento;CodigoEstabelecimento;UnidadeOrganica;CodigoUnidadeOrganica;Natureza;TipoEnsino;NomeCurso;CodigoCurso;Grau;NotaFinalMedia;NumeroInscritos;NumeroHomens;NumeroMulheres;NumeroPortugueses;NumeroEstrangeiros;TaxaDesempregoRegistadoCurso
Universidade dos Açores;0100;Escola Superior de Saúde - Angra do Heroísmo;7092;Publico;Politecnico;Enfermagem;9500;Licenciatura;13,9;60;34;26;56;4;2,5
Universidade dos Açores;0100;Escola Superior de Saúde - Ponta Delgada;7093;Publico;Politecnico;Enfermagem;9500;Licenciatura;;25;12;13;25;0;3,3
Universidade dos Açores;0100;Faculdade de Ciências Agrárias e do Ambiente;0140;Publico;Universitario;Ciências Agrárias;9022;Licenciatura;13;53;26;27;52;1;3,3
Universidade dos Açores;0100;Faculdade de Ciências Agrárias e do Ambiente;0140;Publico;Universitario;Natureza e Património;L121;Licenciatura;13,9;126;29;97;124;2;4,1
Universidade dos Açores;0100;Faculdade de Ciências e Tecnologia;0160;Publico;Universitario;Protecção Civil e Gestão de Riscos;8524;Licenciatura;13,2;132;19;113;129;3;2,8
Universidade dos Açores;0100;Faculdade de Ciências e Tecnologia;0160;Publico;Universitario;Biologia;9011;Licenciatura;12,5;97;26;71;96;1;2,5
Universidade dos Açores;0100;Faculdade de Ciências e Tecnologia;0160;Publico;Universitario;Ciências do Mar;9041;Licenciatura;13,8;132;37;95;130;2;3,3
Universidade dos Açores;0100;Faculdade de Ciências e Tecnologia;0160;Publico;Universitario;Informática - Redes e Multimédia;9384;Licenciatura;14;76;9;67;72;4;3,3
Universidade dos Açores;0100;Faculdade de Ciências Sociais e Humanas;0150;Publico;Universitario;História;9181;Licenciatura;;24;5;19;24;0;4,1
Universidade dos Açores;0100;Faculdade de Ciências Sociais e Humanas;0150;Publico;Universitario;Psicologia;9219;Licenciatura;;47;26;21;43;4;
Universidade dos Açores;0100;Faculdade de Ciências Sociais e Humanas;0150;Publico;Universitario;Serviço Social;9238;Licenciatura;13,5;73;48;25;71;2;4,7
Universidade dos Açores;0100;Faculdade de Ciências Sociais e Humanas;0150;Publico;Universitario;Sociologia;9240;Licenciatura;13,6;86;32;54;60;26;6
Universidade dos Açores;0100;Faculdade de Ciências Sociais e Humanas;0150;Publico;Universitario;Relações Públicas e Comunicação;9798;Licenciatura;;20;9;11;15;5;1,9
Universidade dos Açores;0100;Faculdade de Ciências Sociais e Humanas;0150;Publico;Universitario;Educação Básica;9853;Licenciatura;13,7;107;97;10;106;1;1,1
Universidade dos Açores;0100;Faculdade de Ciências Sociais e Humanas;0150;Publico;Universitario;Estudos Portugueses e Ingleses;L041;Licenciatura;14,1;76;48;28;74;2;2,4
Universidade dos Açores;0100;Faculdade de Ciências Sociais e Humanas;0150;Publico;Universitario;Estudos Euro-Atlânticos;L086;Licenciatura;14,4;274;143;131;266;8;0,1
Universidade dos Açores;0100;Faculdade de Economia e Gestão;0170;Publico;Universitario;Economia;9081;Licenciatura;14;133;62;71;123;10;0,7
Universidade dos Açores;0100;Faculdade de Economia e Gestão;0170;Publico;Universitario;Gestão;9147;Licenciatura;14,9;163;39;124;159;4;1,2
Universidade dos Açores;0100;Faculdade de Economia e Gestão;0170;Publico;Universitario;Turismo;9254;Licenciatura;14,5;204;48;156;185;19;4,7
Universidade do Algarve;0200;Escola Superior de Educação e Comunicação;3081;Publico;Politecnico;Imagem Animada;8337;Licenciatura;15;157;39;118;139;18;0,6
Universidade do Algarve;0200;Escola Superior de Educação e Comunicação;3081;Publico;Politecnico;Ciências da Comunicação;9023;Licenciatura;14,7;61;28;33;51;10;8,2
Universidade do Algarve;0200;Escola Superior de Educação e Comunicação;3081;Publico;Politecnico;Design de Comunicação;9070;Licenciatura;13,3;68;18;50;63;5;13,1
Universidade do Algarve;0200;Escola Superior de Educação e Comunicação;3081;Publico;Politecnico;Educação Social;9084;Licenciatura;14,8;225;45;180;205;20;4,7
Universidade do Algarve;0200;Escola Superior de Educação e Comunicação;3081;Publico;Politecnico;Desporto;9563;Licenciatura;14,9;65;19;46;53;12;2,8
Universidade do Algarve;0200;Escola Superior de Educação e Comunicação;3081;Publico;Politecnico;Educação Básica;9853;Licenciatura;14;82;6;76;80;2;2,9
Universidade do Algarve;0200;Escola Superior de Educação e Comunicação;3081;Publico;Politecnico;Educação Social (regime pós-laboral);9879;Licenciatura;13,7;86;27;59;78;8;6,7
Universidade do Algarve;0200;Escola Superior de Gestão, Hotelaria e Turismo;3082;Publico;Politecnico;Gestão;9147;Licenciatura;12,7;48;21;27;40;8;4
Universidade do Algarve;0200;Escola Superior de Gestão, Hotelaria e Turismo;3082;Publico;Politecnico;Gestão (regime nocturno);9148;Licenciatura;;52;34;18;49;3;2,7
Universidade do Algarve;0200;Escola Superior de Gestão, Hotelaria e Turismo;3082;Publico;Politecnico;Gestão Hoteleira;9173;Licenciatura;13,5;139;66;73;130;9;0,6
Universidade do Algarve;0200;Escola Superior de Gestão, Hotelaria e Turismo;3082;Publico;Politecnico;Marketing;9205;Licenciatura;13,9;177;76;101;160;17;1,5
Universidade do Algarve;0200;Escola Superior de Gestão, Hotelaria e Turismo;3082;Publico;Politecnico;Turismo;9254;Licenciatura;13;53;24;29;50;3;3,1
Universidade do Algarve;0200;Escola Superior de Gestão, Hotelaria e Turismo (Portimão);3087;Publico;Politecnico;Gestão;9147;Licenciatura;13,4;79;34;45;72;7;5,5
Universidade do Algarve;0200;Escola Superior de Gestão, Hotelaria e Turismo (Portimão);3087;Publico;Politecnico;Gestão (regime nocturno);9148;Licenciatura;12,8;207;185;22;189;18;2,9
Universidade do Algarve;0200;Escola Superior de Gestão, Hotelaria e Turismo (Portimão);3087;Publico;Politecnico;Turismo;9254;Licenciatura;14,3;204;51;153;197;7;4,7
Universidade do Algarve;0200;Escola Superior de Saúde;7035;Publico;Politecnico;Dietética e Nutrição;8149;Licenciatura;;17;12;5;17;0;2
Universidade do Algarve;0200;Escola Superior de Saúde;7035;Publico;Politecnico;Ortoprotesia;8152;Licenciatura;13,5;115;72;43;97;18;5,2
Universidade do Algarve;0200;Escola Superior de Saúde;7035;Publico;Politecnico;Enfermagem;9500;Licenciatura;14,7;244;131;113;219;25;
Universidade do Algarve;0200;Escola Superior de Saúde;7035;Publico;Politecnico;Farmácia;9549;Licenciatura;13,7;94;29;65;88;6;
Universidade do Algarve;0200;Escola Superior de Saúde;7035;Publico;Politecnico;Imagem Médica e Radioterapia;L066;Licenciatura;14,1;65;38;27;61;4;
Universidade do Algarve;0200;Escola Superior de Saúde;7035;Publico;Politecnico;Ciências Biomédicas Laboratoriais;L068;Licenciatura;14,8;133;38;95;121;12;
Universidade do Algarve;0200;Faculdade de Ciências e Tecnologia;0203;Publico;Universitario;Arquitectura Paisagista;8258;Licenciatura;14,2;118;39;79;106;12;
Universidade do Algarve;0200;Faculdade de Ciências e Tecnologia;0203;Publico;Universitario;Agronomia;9003;Licenciatura;14;90;14;76;85;5;
Universidade do Algarve;0200;Faculdade de Ciências e Tecnologia;0203;Publico;Universitario;Biologia;9011;Licenciatura;13;149;108;41;140;9;
Universidade do Algarve;0200;Faculdade de Ciências e Tecnologia;0203;Publico;Universitario;Biologia Marinha;9013;Licenciatura;14,2;81;4;77;77;4;1,2
