PORTAL INFOCURSOS;;;;;;;;;;;
;;;;;;;;;;;
8) Percentagem de recém-diplomados do curso que estão registados no IEFP como desempregados;;;;;;;;;;;
;;;;;;;;;;;
Estabelecimento;CodigoEstabelecimento;UnidadeOrganica;CodigoUnidadeOrganica;Natureza;TipoEnsino;NomeCurso;CodigoCurso;Grau;NumeroDiplomadosCurso;NumeroDiplomadosDesempregados (média junho e dezembro 2016);TaxaDesempregoRegistadoCurso
ISCTE - Instituto Universitário de Lisboa;6800;ISCTE - Instituto Universitário de Lisboa;6800;Publico;Universitario;Sociologia (regime pós-laboral);8109;Licenciatura;329;15,5;4,7
ISCTE - Instituto Universitário de Lisboa;6800;ISCTE - Instituto Universitário de Lisboa;6800;Publico;Universitario;Finanças e Contabilidade;8029;Licenciatura;269;5,5;2
ISCTE - Instituto Universitário de Lisboa;6800;ISCTE - Instituto Universitário de Lisboa;6800;Publico;Universitario;Serviço Social (regime pós-laboral);8014;Licenciatura;142;7,5;5,2
Escola Superior de Saúde Atlântica;4590;Escola Superior de Saúde Atlântica;4590;Privado;Politecnico;Enfermagem;9500;Licenciatura;0;;
Instituto Politécnico da Maia;4580;Escola Superior de Tecnologia e Gestão;4582;Privado;Politecnico;Contabilidade;9056;Licenciatura;0;;
Instituto Politécnico da Maia;4580;Escola Superior de Ciências Sociais, Educação e Desporto;4581;Privado;Politecnico;Treino Desportivo;9808;Licenciatura;0;;
Instituto Politécnico da Maia;4580;Escola Superior de Ciências Sociais, Educação e Desporto;4581;Privado;Politecnico;Solicitadoria;9242;Licenciatura;0;;
ISLA - Instituto Politécnico de Gestão e Tecnologia;4570;Escola Superior de Tecnologia;4572;Privado;Politecnico;Sistemas Multimédia;L013;Licenciatura;15;;
ISLA - Instituto Politécnico de Gestão e Tecnologia;4570;Escola Superior de Tecnologia;4572;Privado;Politecnico;Engenharia da Segurança do Trabalho;8187;Licenciatura;13;;
ISLA - Instituto Politécnico de Gestão e Tecnologia;4570;Escola Superior de Gestão;4571;Privado;Politecnico;Turismo;9254;Licenciatura;26;;
ISLA - Instituto Politécnico de Gestão e Tecnologia;4570;Escola Superior de Gestão;4571;Privado;Politecnico;Gestão de Recursos Humanos;9157;Licenciatura;41;0,5;1,2
ISLA - Instituto Politécnico de Gestão e Tecnologia;4570;Escola Superior de Gestão;4571;Privado;Politecnico;Gestão de Empresas;9152;Licenciatura;23;;
Instituto Superior de Tecnologias Avançadas de Lisboa (Porto);4531;Instituto Superior de Tecnologias Avançadas de Lisboa (Porto);4531;Privado;Politecnico;Informática;9185;Licenciatura;22;;
Instituto Superior de Tecnologias Avançadas de Lisboa (Porto);4531;Instituto Superior de Tecnologias Avançadas de Lisboa (Porto);4531;Privado;Politecnico;Engenharia Multimédia;9124;Licenciatura;19;;
Instituto Superior de Tecnologias Avançadas de Lisboa;4530;Instituto Superior de Tecnologias Avançadas de Lisboa;4530;Privado;Politecnico;Informática;9185;Licenciatura;67;2,5;3,7
Instituto Superior de Tecnologias Avançadas de Lisboa;4530;Instituto Superior de Tecnologias Avançadas de Lisboa;4530;Privado;Politecnico;Engenharia Multimédia;9124;Licenciatura;38;3;7,8
Instituto Superior de Serviço Social do Porto;4520;Instituto Superior de Serviço Social do Porto;4520;Privado;Universitario;Gerontologia Social;9668;Licenciatura;36;4,5;12,5
Instituto Superior de Serviço Social do Porto;4520;Instituto Superior de Serviço Social do Porto;4520;Privado;Universitario;Serviço Social;9238;Licenciatura;194;26,5;13,6
Instituto Superior Miguel Torga;4500;Instituto Superior Miguel Torga;4500;Privado;Universitario;Serviço Social;9238;Licenciatura;61;7,5;12,2
Instituto Superior Miguel Torga;4500;Instituto Superior Miguel Torga;4500;Privado;Universitario;Psicologia;9219;Licenciatura;202;13,5;6,6
Instituto Superior Miguel Torga;4500;Instituto Superior Miguel Torga;4500;Privado;Universitario;Multimédia;9213;Licenciatura;49;6,5;13,2
Instituto Superior Miguel Torga;4500;Instituto Superior Miguel Torga;4500;Privado;Universitario;Jornalismo;9191;Licenciatura;2;;
