PORTAL INFOCURSOS;;;;;;;;;;;
;;;;;;;;;;;
8) Percentagem de recém-diplomados do curso que estão registados no IEFP como desempregados;;;;;;;;;;;
;;;;;;;;;;;
Estabelecimento;CodigoEstabelecimento;UnidadeOrganica;CodigoUnidadeOrganica;Natureza;TipoEnsino;NomeCurso;CodigoCurso;Grau;NumeroDiplomadosCurso;NumeroDiplomadosDesempregados (média junho e dezembro 2019);TaxaDesempregoRegistadoCurso
Escola Superior de Hotelaria e Turismo do Estoril;7110;Escola Superior de Hotelaria e Turismo do Estoril;7110;Publico;Politecnico;Gestão do Lazer e Animação Turística;9163;Licenciatura;206;4,5;2,1
Escola Superior de Hotelaria e Turismo do Estoril;7110;Escola Superior de Hotelaria e Turismo do Estoril;7110;Publico;Politecnico;Produção Alimentar em Restauração;9217;Licenciatura;260;4,5;1,7
Escola Superior de Hotelaria e Turismo do Estoril;7110;Escola Superior de Hotelaria e Turismo do Estoril;7110;Publico;Politecnico;Direcção e Gestão Hoteleira (regime pós-laboral);9875;Licenciatura;418;5,5;1,3
Escola Superior de Hotelaria e Turismo do Estoril;7110;Escola Superior de Hotelaria e Turismo do Estoril;7110;Publico;Politecnico;Gestão do Lazer e Animação Turística (regime pós-laboral);9995;Licenciatura;206;4,5;2,1
Escola Superior de Hotelaria e Turismo do Estoril;7110;Escola Superior de Hotelaria e Turismo do Estoril;7110;Publico;Politecnico;Gestão Turística (regime pós-laboral);9996;Licenciatura;369;6,5;1,7
Escola Superior de Hotelaria e Turismo do Estoril;7110;Escola Superior de Hotelaria e Turismo do Estoril;7110;Publico;Politecnico;Produção Alimentar em Restauração (regime pós-laboral);8011;Licenciatura;260;4,5;1,7
Escola Superior de Hotelaria e Turismo do Estoril;7110;Escola Superior de Hotelaria e Turismo do Estoril;7110;Publico;Politecnico;Direção e Gestão Hoteleira;9076;Licenciatura;418;5,5;1,3
Escola Superior de Hotelaria e Turismo do Estoril;7110;Escola Superior de Hotelaria e Turismo do Estoril;7110;Publico;Politecnico;Gestão Turística;9177;Licenciatura;369;6,5;1,7
Escola Superior de Hotelaria e Turismo do Estoril;7110;Escola Superior de Hotelaria e Turismo do Estoril;7110;Publico;Politecnico;Informação Turística;9183;Licenciatura;151;3,5;2,3
Escola Superior Náutica Infante D. Henrique;7105;Escola Superior Náutica Infante D. Henrique;7105;Publico;Politecnico;Pilotagem;9789;Licenciatura;125;0,5;0,4
Escola Superior Náutica Infante D. Henrique;7105;Escola Superior Náutica Infante D. Henrique;7105;Publico;Politecnico;Gestão Portuária;9926;Licenciatura;75;1;1,3
Escola Superior Náutica Infante D. Henrique;7105;Escola Superior Náutica Infante D. Henrique;7105;Publico;Politecnico;Engenharia de Máquinas Marítimas;9745;Licenciatura;80;1;1,2
Escola Superior Náutica Infante D. Henrique;7105;Escola Superior Náutica Infante D. Henrique;7105;Publico;Politecnico;Gestão de Transportes e Logística;9924;Licenciatura;110;2;1,8
Escola Superior Náutica Infante D. Henrique;7105;Escola Superior Náutica Infante D. Henrique;7105;Publico;Politecnico;Engenharia Eletrotécnica Marítima;L118;Licenciatura;0;;
Escola Superior de Enfermagem do Porto;7003;Escola Superior de Enfermagem do Porto;7003;Publico;Politecnico;Enfermagem;9500;Licenciatura;1011;6,5;0,6
Escola Superior de Enfermagem de Lisboa;7002;Escola Superior de Enfermagem de Lisboa;7002;Publico;Politecnico;Enfermagem;9500;Licenciatura;1071;2,5;0,2
Escola Superior de Enfermagem de Coimbra;7001;Escola Superior de Enfermagem de Coimbra;7001;Publico;Politecnico;Enfermagem;9500;Licenciatura;1300;11,5;0,8
ISCTE - Instituto Universitário de Lisboa;6800;ISCTE - Instituto Universitário de Lisboa;6800;Publico;Universitario;Finanças e Contabilidade;8029;Licenciatura;269;3,5;1,3
ISCTE - Instituto Universitário de Lisboa;6800;ISCTE - Instituto Universitário de Lisboa;6800;Publico;Universitario;Sociologia (regime pós-laboral);8109;Licenciatura;280;9,5;3,3
ISCTE - Instituto Universitário de Lisboa;6800;ISCTE - Instituto Universitário de Lisboa;6800;Publico;Universitario;Gestão de Marketing;9156;Licenciatura;142;3,5;2,4
ISCTE - Instituto Universitário de Lisboa;6800;ISCTE - Instituto Universitário de Lisboa;6800;Publico;Universitario;Gestão de Recursos Humanos;9157;Licenciatura;169;3;1,7
ISCTE - Instituto Universitário de Lisboa;6800;ISCTE - Instituto Universitário de Lisboa;6800;Publico;Universitario;Gestão Industrial e Logística;L030;Licenciatura;115;1,5;1,3
ISCTE - Instituto Universitário de Lisboa;6800;ISCTE - Instituto Universitário de Lisboa;6800;Publico;Universitario;Serviço Social (regime pós-laboral);8014;Licenciatura;180;8;4,4
ISCTE - Instituto Universitário de Lisboa;6800;ISCTE - Instituto Universitário de Lisboa;6800;Publico;Universitario;Informática e Gestão de Empresas (regime pós-laboral);8366;Licenciatura;232;3;1,2
ISCTE - Instituto Universitário de Lisboa;6800;ISCTE - Instituto Universitário de Lisboa;6800;Publico;Universitario;Ciência Política;9019;Licenciatura;133;6;4,5
ISCTE - Instituto Universitário de Lisboa;6800;ISCTE - Instituto Universitário de Lisboa;6800;Publico;Universitario;Economia;9081;Licenciatura;281;5;1,7
ISCTE - Instituto Universitário de Lisboa;6800;ISCTE - Instituto Universitário de Lisboa;6800;Publico;Universitario;Engenharia de Telecomunicações e Informática;9098;Licenciatura;224;1;0,4
ISCTE - Instituto Universitário de Lisboa;6800;ISCTE - Instituto Universitário de Lisboa;6800;Publico;Universitario;Engenharia Informática;9119;Licenciatura;231;0,5;0,2
ISCTE - Instituto Universitário de Lisboa;6800;ISCTE - Instituto Universitário de Lisboa;6800;Publico;Universitario;Gestão;9147;Licenciatura;835;9,5;1,1
ISCTE - Instituto Universitário de Lisboa;6800;ISCTE - Instituto Universitário de Lisboa;6800;Publico;Universitario;Informática e Gestão de Empresas;9189;Licenciatura;232;3;1,2
ISCTE - Instituto Universitário de Lisboa;6800;ISCTE - Instituto Universitário de Lisboa;6800;Publico;Universitario;Psicologia;9219;Licenciatura;276;7,5;2,7
ISCTE - Instituto Universitário de Lisboa;6800;ISCTE - Instituto Universitário de Lisboa;6800;Publico;Universitario;Sociologia;9240;Licenciatura;280;9,5;3,3
ISCTE - Instituto Universitário de Lisboa;6800;ISCTE - Instituto Universitário de Lisboa;6800;Publico;Universitario;Arquitectura;9257;MestradoIntegrado;177;13;7,3
ISCTE - Instituto Universitário de Lisboa;6800;ISCTE - Instituto Universitário de Lisboa;6800;Publico;Universitario;Antropologia;9448;Licenciatura;111;6,5;5,8
ISCTE - Instituto Universitário de Lisboa;6800;ISCTE - Instituto Universitário de Lisboa;6800;Publico;Universitario;Engenharia Informática (regime pós-laboral);9885;Licenciatura;231;0,5;0,2
ISCTE - Instituto Universitário de Lisboa;6800;ISCTE - Instituto Universitário de Lisboa;6800;Publico;Universitario;História Moderna e Contemporânea;9927;Licenciatura;94;3,5;3,7
Escola Superior de Saúde Atlântica;4590;Escola Superior de Saúde Atlântica;4590;Privado;Politecnico;Enfermagem;9500;Licenciatura;84;0;0
Escola Superior de Saúde Atlântica;4590;Escola Superior de Saúde Atlântica;4590;Privado;Politecnico;Fisioterapia;9504;Licenciatura;274;2,5;0,9
Escola Superior de Saúde Atlântica;4590;Escola Superior de Saúde Atlântica;4590;Privado;Politecnico;Osteopatia;L136;Licenciatura;0;;
Instituto Politécnico da Maia;4580;Escola Superior de Ciências Sociais, Educação e Desporto;4581;Privado;Politecnico;Solicitadoria;9242;Licenciatura;21;;
Instituto Politécnico da Maia;4580;Escola Superior de Ciências Sociais, Educação e Desporto;4581;Privado;Politecnico;Treino Desportivo;9808;Licenciatura;13;;
Instituto Politécnico da Maia;4580;Escola Superior de Ciências Sociais, Educação e Desporto;4581;Privado;Politecnico;Desporto, Condição Física e Bem-Estar;L174;Licenciatura;0;;
Instituto Politécnico da Maia;4580;Escola Superior de Tecnologia e Gestão;4582;Privado;Politecnico;Contabilidade;9056;Licenciatura;8;;
Instituto Politécnico da Maia;4580;Escola Superior de Tecnologia e Gestão;4582;Privado;Politecnico;Tecnologias de Informação, Web e Multimédia;L137;Licenciatura;0;;
Instituto Politécnico da Maia;4580;Escola Superior de Tecnologia e Gestão;4582;Privado;Politecnico;Gestão da Manutenção e Segurança Industrial;L159;Licenciatura;0;;
Instituto Politécnico da Maia;4580;Escola Superior de Tecnologia e Gestão;4582;Privado;Politecnico;Desenvolvimento de Jogos Digitais;L180;Licenciatura;0;;
Instituto Politécnico da Maia;4580;Escola Superior de Tecnologia e Gestão;4582;Privado;Politecnico;Negócios e Comércio Internacional;L166;Licenciatura;0;;
ISLA - Instituto Politécnico de Gestão e Tecnologia;4570;Escola Superior de Gestão;4571;Privado;Politecnico;Gestão de Empresas;9152;Licenciatura;41;3,5;8,5
ISLA - Instituto Politécnico de Gestão e Tecnologia;4570;Escola Superior de Gestão;4571;Privado;Politecnico;Gestão de Recursos Humanos;9157;Licenciatura;64;1;1,5
ISLA - Instituto Politécnico de Gestão e Tecnologia;4570;Escola Superior de Tecnologia;4572;Privado;Politecnico;Comunicação e Tecnologia Digital;8513;Licenciatura;2;;
ISLA - Instituto Politécnico de Gestão e Tecnologia;4570;Escola Superior de Tecnologia;4572;Privado;Politecnico;Engenharia da Segurança do Trabalho;8187;Licenciatura;19;;
ISLA - Instituto Politécnico de Gestão e Tecnologia;4570;Escola Superior de Tecnologia;4572;Privado;Politecnico;Sistemas Multimédia;L013;Licenciatura;17;;
Instituto Superior de Tecnologias Avançadas de Lisboa (Porto);4531;Instituto Superior de Tecnologias Avançadas de Lisboa (Porto);4531;Privado;Politecnico;Engenharia Multimédia;9124;Licenciatura;17;;
Instituto Superior de Tecnologias Avançadas de Lisboa (Porto);4531;Instituto Superior de Tecnologias Avançadas de Lisboa (Porto);4531;Privado;Politecnico;Informática;9185;Licenciatura;12;;
Instituto Superior de Tecnologias Avançadas de Lisboa;4530;Instituto Superior de Tecnologias Avançadas de Lisboa;4530;Privado;Politecnico;Engenharia Multimédia;9124;Licenciatura;31;3;9,6
Instituto Superior de Tecnologias Avançadas de Lisboa;4530;Instituto Superior de Tecnologias Avançadas de Lisboa;4530;Privado;Politecnico;Informática;9185;Licenciatura;81;1,5;1,8
Instituto Superior de Serviço Social do Porto;4520;Instituto Superior de Serviço Social do Porto;4520;Privado;Universitario;Serviço Social;9238;Licenciatura;163;18,5;11,3
Instituto Superior de Serviço Social do Porto;4520;Instituto Superior de Serviço Social do Porto;4520;Privado;Universitario;Gerontologia Social;9668;Licenciatura;32;1,5;4,6
