PORTAL INFOCURSOS;;;;;;;;;;;;
;;;;;;;;;;;;
5) Distribuição dos alunos inscritos por sexo;;;;;;;;;;;;
;;;;;;;;;;;;
Estabelecimento;CodigoEstabelecimento;UnidadeOrganica;CodigoUnidadeOrganica;Natureza;TipoEnsino;NomeCurso;CodigoCurso;Grau;NumeroInscritos;NumeroHomens;NumeroMulheres;AnoLetivo
Universidade dos Açores;0100;Escola Superior de Saúde - Angra do Heroísmo;7092;Publico;Politecnico;Enfermagem;9500;Licenciatura;148;46;102;2015/16
Universidade dos Açores;0100;Escola Superior de Saúde - Ponta Delgada;7093;Publico;Politecnico;Enfermagem;9500;Licenciatura;196;49;147;2015/16
Universidade do Algarve;0200;Universidade do Algarve;0200;Publico;Universitario;Ciências Biomédicas;9351;Licenciatura;166;42;124;2015/16
Universidade do Algarve;0200;Faculdade de Ciências Humanas e Sociais;0201;Publico;Universitario;Património Cultural e Arqueologia;8509;Licenciatura;69;29;40;2015/16
Universidade do Algarve;0200;Faculdade de Ciências Humanas e Sociais;0201;Publico;Universitario;Línguas, Literaturas e Culturas;9204;Licenciatura;51;13;38;2015/16
Universidade do Algarve;0200;Faculdade de Ciências Humanas e Sociais;0201;Publico;Universitario;Psicologia;9219;Licenciatura;203;41;162;2015/16
Universidade do Algarve;0200;Faculdade de Ciências Humanas e Sociais;0201;Publico;Universitario;Artes Visuais;9817;Licenciatura;66;21;45;2015/16
Universidade do Algarve;0200;Faculdade de Ciências Humanas e Sociais;0201;Publico;Universitario;Ciências da Educação e da Formação;9821;Licenciatura;79;11;68;2015/16
Universidade do Algarve;0200;Faculdade de Ciências Humanas e Sociais;0201;Publico;Universitario;Línguas e Comunicação;9834;Licenciatura;73;27;46;2015/16
Universidade do Algarve;0200;Faculdade de Ciências e Tecnologia;0203;Publico;Universitario;Arquitectura Paisagista;8258;Licenciatura;55;23;32;2015/16
Universidade do Algarve;0200;Faculdade de Ciências e Tecnologia;0203;Publico;Universitario;Agronomia (regime pós-laboral);8419;Licenciatura;63;44;19;2015/16
Universidade do Algarve;0200;Faculdade de Ciências e Tecnologia;0203;Publico;Universitario;Biologia;9011;Licenciatura;126;57;69;2015/16
Universidade do Algarve;0200;Faculdade de Ciências e Tecnologia;0203;Publico;Universitario;Biologia Marinha;9013;Licenciatura;178;80;98;2015/16
Universidade do Algarve;0200;Faculdade de Ciências e Tecnologia;0203;Publico;Universitario;Bioquímica;9015;Licenciatura;65;27;38;2015/16
Universidade do Algarve;0200;Faculdade de Ciências e Tecnologia;0203;Publico;Universitario;Biotecnologia;9016;Licenciatura;79;32;47;2015/16
Universidade do Algarve;0200;Faculdade de Ciências e Tecnologia;0203;Publico;Universitario;Engenharia Informática;9119;Licenciatura;199;187;12;2015/16
Universidade do Algarve;0200;Faculdade de Ciências e Tecnologia;0203;Publico;Universitario;Ciências Farmacêuticas;9494;MestradoIntegrado;189;48;141;2015/16
Universidade do Algarve;0200;Faculdade de Economia;0204;Publico;Universitario;Economia;9081;Licenciatura;109;66;43;2015/16
