Estabelecimento;CodigoEstabelecimento;UnidadeOrganica;CodigoUnidadeOrganica;Natureza;TipoEnsino;NomeCurso;CodigoCurso;Grau;NotaFinalMedia;NumeroInscritos;NumeroHomens;NumeroMulheres;NumeroPortugueses;NumeroEstrangeiros
Universidade dos Açores;0100;Faculdade de Ciências Agrárias e do Ambiente;0140;Publico;Universitario;Ciências Agrárias;9022;Licenciatura 1.º ciclo;12,9;49;32;17;40;9
Universidade dos Açores;0100;Faculdade de Ciências Agrárias e do Ambiente;0140;Publico;Universitario;Engenharia do Ambiente;9099;Licenciatura 1.º ciclo;;;;;;
Universidade dos Açores;0100;Faculdade de Ciências Agrárias e do Ambiente;0140;Publico;Universitario;Engenharia Zootécnica;9287;Mestrado 2.º ciclo;14,9;20;12;8;20;0
Universidade dos Açores;0100;Faculdade de Ciências Agrárias e do Ambiente;0140;Publico;Universitario;Gestão e Conservação da Natureza;9301;Mestrado 2.º ciclo;15;14;5;9;10;4
Universidade dos Açores;0100;Faculdade de Ciências Agrárias e do Ambiente;0140;Publico;Universitario;Tecnologia e Segurança Alimentar;9445;Mestrado 2.º ciclo;14;10;4;6;9;1
Universidade dos Açores;0100;Faculdade de Ciências Agrárias e do Ambiente;0140;Publico;Universitario;Engenharia Agronómica;9520;Mestrado 2.º ciclo;16;14;9;5;12;2
Universidade dos Açores;0100;Faculdade de Ciências Agrárias e do Ambiente;0140;Publico;Universitario;Natureza e Património;L121;Licenciatura 1.º ciclo;;61;27;34;59;2
Universidade dos Açores;0100;Faculdade de Ciências Agrárias e do Ambiente;0140;Publico;Universitario;Engenharia e Gestão de Sistemas de Água;M146;Mestrado 2.º ciclo;;7;6;1;7;0
Universidade dos Açores;0100;Faculdade de Ciências Sociais e Humanas;0150;Publico;Universitario;Filosofia Contemporânea - Valores e Sociedade;6129;Mestrado 2.º ciclo;16,8;7;3;4;7;0
Universidade dos Açores;0100;Faculdade de Ciências Sociais e Humanas;0150;Publico;Universitario;História Insular e Atlântica (séculos XV-XX);6168;Mestrado 2.º ciclo;;4;1;3;3;1
Universidade dos Açores;0100;Faculdade de Ciências Sociais e Humanas;0150;Publico;Universitario;Tradução e Assessoria Linguística;6836;Mestrado 2.º ciclo;15,5;6;3;3;4;2
Universidade dos Açores;0100;Faculdade de Ciências Sociais e Humanas;0150;Publico;Universitario;Educação Pré-Escolar e Ensino do 1.º Ciclo do Ensino Básico;6915;Mestrado 2.º ciclo;15,8;29;3;26;29;0
