Estabelecimento;CodigoEstabelecimento;UnidadeOrganica;CodigoUnidadeOrganica;Natureza;TipoEnsino;NomeCurso;CodigoCurso;Grau;NotaFinalMedia;NumeroInscritos;NumeroHomens;NumeroMulheres;NumeroPortugueses;NumeroEstrangeiros
Universidade dos Açores;0100;Faculdade de Ciências Sociais e Humanas;0150;Publico;Universitario;História;9181;Licenciatura 1.º ciclo;13,6;56;23;33;49;7
Universidade dos Açores;0100;Faculdade de Ciências Sociais e Humanas;0150;Publico;Universitario;Psicologia;9219;Licenciatura 1.º ciclo;13,4;145;26;119;139;6
Universidade dos Açores;0100;Faculdade de Ciências Sociais e Humanas;0150;Publico;Universitario;Serviço Social;9238;Licenciatura 1.º ciclo;13,5;155;22;133;143;12
Universidade dos Açores;0100;Faculdade de Ciências Sociais e Humanas;0150;Publico;Universitario;Sociologia;9240;Licenciatura 1.º ciclo;12,8;94;24;70;90;4
Universidade dos Açores;0100;Faculdade de Ciências Sociais e Humanas;0150;Publico;Universitario;Relações Internacionais;9329;Mestrado 2.º ciclo;;1;1;0;0;1
Universidade dos Açores;0100;Faculdade de Ciências Sociais e Humanas;0150;Publico;Universitario;Património Cultural;9787;Licenciatura 1.º ciclo;;1;1;0;1;0
Universidade dos Açores;0100;Faculdade de Ciências Sociais e Humanas;0150;Publico;Universitario;Relações Públicas e Comunicação;9798;Licenciatura 1.º ciclo;13;164;48;116;160;4
Universidade dos Açores;0100;Faculdade de Ciências Sociais e Humanas;0150;Publico;Universitario;Educação Básica;9853;Licenciatura 1.º ciclo;14,4;79;6;73;77;2
Universidade dos Açores;0100;Faculdade de Ciências Sociais e Humanas;0150;Publico;Universitario;Estudos Portugueses e Ingleses;L041;Licenciatura 1.º ciclo;14,7;49;12;37;45;4
Universidade dos Açores;0100;Faculdade de Ciências Sociais e Humanas;0150;Publico;Universitario;Estudos Euro-Atlânticos;L086;Licenciatura 1.º ciclo;13,6;64;37;27;57;7
Universidade dos Açores;0100;Faculdade de Ciências Sociais e Humanas;0150;Publico;Universitario;Património, Museologia e Desenvolvimento;M121;Mestrado 2.º ciclo;16,7;32;12;20;30;2
Universidade dos Açores;0100;Faculdade de Ciências Sociais e Humanas;0150;Publico;Universitario;Educação e Formação;M734;Mestrado 2.º ciclo;;20;5;15;18;2
Universidade dos Açores;0100;Faculdade de Ciências Sociais e Humanas;0150;Publico;Universitario;Relações Internacionais: O Espaço Euro-Atlântico;M850;Mestrado 2.º ciclo;17,5;15;10;5;14;1
Universidade dos Açores;0100;Faculdade de Ciências Sociais e Humanas;0150;Publico;Universitario;Filosofia para Crianças;M881;Mestrado 2.º ciclo;;28;4;24;23;5
Universidade dos Açores;0100;Faculdade de Ciências Sociais e Humanas;0150;Publico;Universitario;Políticas Sociais e Dinâmicas Regionais;M916;Mestrado 2.º ciclo;;8;1;7;8;0
Universidade dos Açores;0100;Faculdade de Ciências e Tecnologia;0160;Publico;Universitario;Ambiente, Saúde e Segurança;6666;Mestrado 2.º ciclo;;22;12;10;21;1
Universidade dos Açores;0100;Faculdade de Ciências e Tecnologia;0160;Publico;Universitario;Estudos Integrados dos Oceanos;6669;Mestrado 2.º ciclo;16,8;7;1;6;2;5
Universidade dos Açores;0100;Faculdade de Ciências e Tecnologia;0160;Publico;Universitario;Vulcanologia e Riscos Geológicos;6670;Mestrado 2.º ciclo;17;6;4;2;4;2
Universidade dos Açores;0100;Faculdade de Ciências e Tecnologia;0160;Publico;Universitario;Protecção Civil e Gestão de Riscos;8524;Licenciatura 1.º ciclo;12,9;61;40;21;60;1
Universidade dos Açores;0100;Faculdade de Ciências e Tecnologia;0160;Publico;Universitario;Biologia;9011;Licenciatura 1.º ciclo;13,8;99;39;60;55;44
Universidade dos Açores;0100;Faculdade de Ciências e Tecnologia;0160;Publico;Universitario;Ciências do Mar;9041;Licenciatura 1.º ciclo;13,4;28;15;13;13;15
Universidade dos Açores;0100;Faculdade de Ciências e Tecnologia;0160;Publico;Universitario;Informática - Redes e Multimédia;9384;Licenciatura 1.º ciclo;13,9;96;85;11;95;1
Universidade dos Açores;0100;Faculdade de Ciências e Tecnologia;0160;Publico;Universitario;Ciências Biomédicas;9512;Mestrado 2.º ciclo;16,4;5;1;4;5;0
Universidade dos Açores;0100;Faculdade de Ciências e Tecnologia;0160;Publico;Universitario;Geologia do Ambiente e Sociedade;M586;Mestrado 2.º ciclo;;5;2;3;2;3
Universidade dos Açores;0100;Faculdade de Ciências e Tecnologia;0160;Publico;Universitario;Ordenamento do Espaço Marítimo (Erasmus Mundus);M688;Mestrado 2.º ciclo;;18;10;8;0;18
Universidade dos Açores;0100;Faculdade de Ciências e Tecnologia;0160;Publico;Universitario;Biodiversidade e Biotecnologia;M815;Mestrado 2.º ciclo;15,7;6;2;4;6;0
Universidade dos Açores;0100;Faculdade de Economia e Gestão;0170;Publico;Universitario;Economia;9081;Licenciatura 1.º ciclo;13,5;70;42;28;62;8
Universidade dos Açores;0100;Faculdade de Economia e Gestão;0170;Publico;Universitario;Gestão;9147;Licenciatura 1.º ciclo;13,2;240;120;120;233;7
Universidade dos Açores;0100;Faculdade de Economia e Gestão;0170;Publico;Universitario;Turismo;9254;Licenciatura 1.º ciclo;14,3;122;51;71;118;4
Universidade dos Açores;0100;Faculdade de Economia e Gestão;0170;Publico;Universitario;Gestão de Empresas;9298;Mestrado 2.º ciclo;15,4;25;14;11;25;0
Universidade dos Açores;0100;Faculdade de Economia e Gestão;0170;Publico;Universitario;Ciências Económicas e Empresariais;M149;Mestrado 2.º ciclo;16,2;142;61;81;135;7
Universidade dos Açores;0100;Faculdade de Economia e Gestão;0170;Publico;Universitario;Gestão do Turismo Internacional;M700;Mestrado 2.º ciclo;16,6;24;11;13;20;4
Universidade do Algarve;0200;Universidade do Algarve;0200;Publico;Universitario;Ciências Biomédicas;9351;Licenciatura 1.º ciclo;14,9;165;40;125;136;29
Universidade do Algarve;0200;Universidade do Algarve;0200;Publico;Universitario;Oncobiologia - Mecanismos Moleculares do Cancro;M687;Mestrado 2.º ciclo;16,9;33;8;25;29;4
Universidade do Algarve;0200;Universidade do Algarve;0200;Publico;Universitario;Ciências Biomédicas - Mecanismos de Doença;MA25;Mestrado 2.º ciclo;;11;4;7;9;2
Universidade do Algarve;0200;Faculdade de Ciências Humanas e Sociais;0201;Publico;Universitario;Arqueologia;6011;Mestrado 2.º ciclo;16,7;8;5;3;8;0
Universidade do Algarve;0200;Faculdade de Ciências Humanas e Sociais;0201;Publico;Universitario;Ciências da Educação;6031;Mestrado 2.º ciclo;;19;7;12;12;7
Universidade do Algarve;0200;Faculdade de Ciências Humanas e Sociais;0201;Publico;Universitario;Comunicação, Cultura e Artes;6281;Mestrado 2.º ciclo;16,7;3;1;2;2;1
Universidade do Algarve;0200;Faculdade de Ciências Humanas e Sociais;0201;Publico;Universitario;Psicologia da Educação;6326;Mestrado 2.º ciclo;16,4;29;7;22;23;6
Universidade do Algarve;0200;Faculdade de Ciências Humanas e Sociais;0201;Publico;Universitario;Psicologia Clínica e da Saúde;6386;Mestrado 2.º ciclo;16;59;2;57;50;9
Universidade do Algarve;0200;Faculdade de Ciências Humanas e Sociais;0201;Publico;Universitario;Ciências da Linguagem;6703;Mestrado 2.º ciclo;16,4;3;0;3;1;2
Universidade do Algarve;0200;Faculdade de Ciências Humanas e Sociais;0201;Publico;Universitario;Ciências da Educação e da Formação;6811;Mestrado 2.º ciclo;16,2;;;;;
Universidade do Algarve;0200;Faculdade de Ciências Humanas e Sociais;0201;Publico;Universitario;Neurociências Cognitivas e Neuropsicologia;6895;Mestrado 2.º ciclo;16,5;17;6;11;16;1
Universidade do Algarve;0200;Faculdade de Ciências Humanas e Sociais;0201;Publico;Universitario;Património Cultural e Arqueologia;8509;Licenciatura 1.º ciclo;14,1;67;36;31;46;21
Universidade do Algarve;0200;Faculdade de Ciências Humanas e Sociais;0201;Publico;Universitario;Línguas, Literaturas e Culturas;9204;Licenciatura 1.º ciclo;14,1;79;21;58;67;12
Universidade do Algarve;0200;Faculdade de Ciências Humanas e Sociais;0201;Publico;Universitario;Psicologia;9219;Licenciatura 1.º ciclo;14,7;242;53;189;204;38
Universidade do Algarve;0200;Faculdade de Ciências Humanas e Sociais;0201;Publico;Universitario;Línguas Modernas;9779;Licenciatura 1.º ciclo;;;;;;
Universidade do Algarve;0200;Faculdade de Ciências Humanas e Sociais;0201;Publico;Universitario;Artes Visuais;9817;Licenciatura 1.º ciclo;15,1;71;17;54;54;17
Universidade do Algarve;0200;Faculdade de Ciências Humanas e Sociais;0201;Publico;Universitario;Ciências da Educação e da Formação;9821;Licenciatura 1.º ciclo;13,8;83;11;72;82;1
Universidade do Algarve;0200;Faculdade de Ciências Humanas e Sociais;0201;Publico;Universitario;Línguas e Comunicação;9834;Licenciatura 1.º ciclo;13,2;93;29;64;76;17
Universidade do Algarve;0200;Faculdade de Ciências Humanas e Sociais;0201;Publico;Universitario;História do Mediterrâneo Islâmico e Medieval;M477;Mestrado 2.º ciclo;;9;7;2;8;1
Universidade do Algarve;0200;Faculdade de Ciências Humanas e Sociais;0201;Publico;Universitario;História e Patrimónios;M766;Mestrado 2.º ciclo;;25;9;16;21;4
Universidade do Algarve;0200;Faculdade de Ciências Humanas e Sociais;0201;Publico;Universitario;Psicologia Social, do Trabalho e das Organizações;M898;Mestrado 2.º ciclo;;25;7;18;21;4
Universidade do Algarve;0200;Faculdade de Ciências e Tecnologia;0203;Publico;Universitario;Gestão da Qualidade e Marketing Agro-Alimentar;6143;Mestrado 2.º ciclo;;;;;;
Universidade do Algarve;0200;Faculdade de Ciências e Tecnologia;0203;Publico;Universitario;Biologia Molecular e Microbiana;6271;Mestrado 2.º ciclo;16,8;25;12;13;17;8
Universidade do Algarve;0200;Faculdade de Ciências e Tecnologia;0203;Publico;Universitario;Matemática para Professores;6341;Mestrado 2.º ciclo;;1;0;1;1;0
Universidade do Algarve;0200;Faculdade de Ciências e Tecnologia;0203;Publico;Universitario;Qualidade em Análises;6397;Mestrado 2.º ciclo;17,5;4;1;3;0;4
Universidade do Algarve;0200;Faculdade de Ciências e Tecnologia;0203;Publico;Universitario;Gestão Sustentável dos Espaços Rurais;6398;Mestrado 2.º ciclo;16;5;4;1;4;1
Universidade do Algarve;0200;Faculdade de Ciências e Tecnologia;0203;Publico;Universitario;Geomática;6803;Mestrado 2.º ciclo;14,7;13;11;2;6;7
Universidade do Algarve;0200;Faculdade de Ciências e Tecnologia;0203;Publico;Universitario;Hortofruticultura;6805;Mestrado 2.º ciclo;14,8;8;2;6;8;0
Universidade do Algarve;0200;Faculdade de Ciências e Tecnologia;0203;Publico;Universitario;Arquitectura Paisagista;6998;Mestrado 2.º ciclo;15,4;24;9;15;19;5
Universidade do Algarve;0200;Faculdade de Ciências e Tecnologia;0203;Publico;Universitario;Arquitectura Paisagista;8258;Licenciatura 1.º ciclo;13,1;47;24;23;32;15
Universidade do Algarve;0200;Faculdade de Ciências e Tecnologia;0203;Publico;Universitario;Agronomia (regime pós-laboral);8419;Licenciatura 1.º ciclo;;;;;;
Universidade do Algarve;0200;Faculdade de Ciências e Tecnologia;0203;Publico;Universitario;Agronomia;9003;Licenciatura 1.º ciclo;12,8;51;36;15;41;10
Universidade do Algarve;0200;Faculdade de Ciências e Tecnologia;0203;Publico;Universitario;Biologia;9011;Licenciatura 1.º ciclo;12,7;125;58;67;113;12
Universidade do Algarve;0200;Faculdade de Ciências e Tecnologia;0203;Publico;Universitario;Biologia Marinha;9013;Licenciatura 1.º ciclo;13;209;101;108;184;25
Universidade do Algarve;0200;Faculdade de Ciências e Tecnologia;0203;Publico;Universitario;Bioquímica;9015;Licenciatura 1.º ciclo;12,8;64;27;37;56;8
Universidade do Algarve;0200;Faculdade de Ciências e Tecnologia;0203;Publico;Universitario;Biotecnologia;9016;Licenciatura 1.º ciclo;12,7;68;33;35;57;11
Universidade do Algarve;0200;Faculdade de Ciências e Tecnologia;0203;Publico;Universitario;Engenharia Informática;9119;Licenciatura 1.º ciclo;12,8;264;235;29;240;24
Universidade do Algarve;0200;Faculdade de Ciências e Tecnologia;0203;Publico;Universitario;Matemática Aplicada à Economia e à Gestão;9210;Licenciatura 1.º ciclo;;48;28;20;44;4
Universidade do Algarve;0200;Faculdade de Ciências e Tecnologia;0203;Publico;Universitario;Aquacultura e Pescas;9263;Mestrado 2.º ciclo;16,5;46;24;22;33;13
Universidade do Algarve;0200;Faculdade de Ciências e Tecnologia;0203;Publico;Universitario;Engenharia Informática;9286;Mestrado 2.º ciclo;;13;12;1;8;5
Universidade do Algarve;0200;Faculdade de Ciências e Tecnologia;0203;Publico;Universitario;Engenharia Biológica;9358;Mestrado Integrado;13,6;10;4;6;9;1
Universidade do Algarve;0200;Faculdade de Ciências e Tecnologia;0203;Publico;Universitario;Engenharia Eletrónica e Telecomunicações;9365;Mestrado Integrado;13,5;15;14;1;14;1
Universidade do Algarve;0200;Faculdade de Ciências e Tecnologia;0203;Publico;Universitario;Biologia Marinha;9391;Mestrado 2.º ciclo;16;80;40;40;29;51
Universidade do Algarve;0200;Faculdade de Ciências e Tecnologia;0203;Publico;Universitario;Biotecnologia;9399;Mestrado 2.º ciclo;16;14;7;7;9;5
Universidade do Algarve;0200;Faculdade de Ciências e Tecnologia;0203;Publico;Universitario;Ciências Farmacêuticas;9494;Mestrado Integrado;14,5;240;55;185;225;15
Universidade do Algarve;0200;Faculdade de Ciências e Tecnologia;0203;Publico;Universitario;Engenharia do Ambiente;9508;Mestrado Integrado;13,6;8;4;4;8;0
Universidade do Algarve;0200;Faculdade de Ciências e Tecnologia;0203;Publico;Universitario;Bioengenharia;9540;Licenciatura 1.º ciclo;;;;;;
Universidade do Algarve;0200;Faculdade de Ciências e Tecnologia;0203;Publico;Universitario;Gestão Marinha e Costeira;L123;Licenciatura 1.º ciclo;;45;31;14;40;5
Universidade do Algarve;0200;Faculdade de Ciências e Tecnologia;0203;Publico;Universitario;Inovação Química e Regulamentação (Erasmus Mundus);M681;Mestrado 2.º ciclo;;6;5;1;0;6
Universidade do Algarve;0200;Faculdade de Ciências e Tecnologia;0203;Publico;Universitario;Sistemas Marinhos e Costeiros;M744;Mestrado 2.º ciclo;15,5;31;12;19;7;24
Universidade do Algarve;0200;Faculdade de Ciências e Tecnologia;0203;Publico;Universitario;Recursos Biológicos Marinhos;M946;Mestrado 2.º ciclo;;54;20;34;3;51
Universidade do Algarve;0200;Faculdade de Economia;0204;Publico;Universitario;Contabilidade;6060;Mestrado 2.º ciclo;17,3;21;5;16;12;9
Universidade do Algarve;0200;Faculdade de Economia;0204;Publico;Universitario;Gestão de Unidades de Saúde;6147;Mestrado 2.º ciclo;16,3;49;20;29;44;5
Universidade do Algarve;0200;Faculdade de Economia;0204;Publico;Universitario;Economia da Inovação e Empreendedorismo;6287;Mestrado 2.º ciclo;15;4;3;1;3;1
Universidade do Algarve;0200;Faculdade de Economia;0204;Publico;Universitario;Gestão de Marketing;6309;Mestrado 2.º ciclo;17;56;21;35;40;16
Universidade do Algarve;0200;Faculdade de Economia;0204;Publico;Universitario;Gestão de Organizações Turísticas;6310;Mestrado 2.º ciclo;14,3;5;1;4;2;3
Universidade do Algarve;0200;Faculdade de Economia;0204;Publico;Universitario;Finanças Empresariais;6920;Mestrado 2.º ciclo;14,3;44;24;20;37;7
Universidade do Algarve;0200;Faculdade de Economia;0204;Publico;Universitario;Economia;9081;Licenciatura 1.º ciclo;13,4;138;80;58;105;33
Universidade do Algarve;0200;Faculdade de Economia;0204;Publico;Universitario;Gestão de Empresas;9152;Licenciatura 1.º ciclo;13,4;246;139;107;210;36
Universidade do Algarve;0200;Faculdade de Economia;0204;Publico;Universitario;Sociologia;9240;Licenciatura 1.º ciclo;13,4;108;26;82;93;15
Universidade do Algarve;0200;Faculdade de Economia;0204;Publico;Universitario;Gestão;9295;Mestrado 2.º ciclo;;55;30;25;8;47
Universidade do Algarve;0200;Faculdade de Economia;0204;Publico;Universitario;Marketing;9314;Mestrado 2.º ciclo;16;;;;;
Universidade do Algarve;0200;Faculdade de Economia;0204;Publico;Universitario;Sociologia;9333;Mestrado 2.º ciclo;17;23;5;18;15;8
Universidade do Algarve;0200;Faculdade de Economia;0204;Publico;Universitario;Gestão Empresarial;M148;Mestrado 2.º ciclo;16;62;23;39;49;13
Universidade do Algarve;0200;Faculdade de Economia;0204;Publico;Universitario;Economia do Turismo e Desenvolvimento Regional;M500;Mestrado 2.º ciclo;15,7;3;1;2;0;3
Universidade do Algarve;0200;Faculdade de Economia;0204;Publico;Universitario;Economia Financeira;M832;Mestrado 2.º ciclo;;6;4;2;1;5
Universidade de Aveiro;0300;Universidade de Aveiro;0300;Publico;Universitario;Administração e Gestão Pública;6005;Mestrado 2.º ciclo;15,5;66;22;44;59;7
Universidade de Aveiro;0300;Universidade de Aveiro;0300;Publico;Universitario;Ciências da Educação;6031;Mestrado 2.º ciclo;15,8;;;;;
Universidade de Aveiro;0300;Universidade de Aveiro;0300;Publico;Universitario;Criação Artística Contemporânea;6063;Mestrado 2.º ciclo;16,1;21;5;16;11;10
Universidade de Aveiro;0300;Universidade de Aveiro;0300;Publico;Universitario;Geomateriais e Recursos Geológicos;6136;Mestrado 2.º ciclo;16;16;11;5;11;5
Universidade de Aveiro;0300;Universidade de Aveiro;0300;Publico;Universitario;Gerontologia;6137;Mestrado 2.º ciclo;16;;;;;
Universidade de Aveiro;0300;Universidade de Aveiro;0300;Publico;Universitario;Gestão e Planeamento em Turismo;6152;Mestrado 2.º ciclo;15,4;73;19;54;58;15
Universidade de Aveiro;0300;Universidade de Aveiro;0300;Publico;Universitario;Línguas, Literaturas e Culturas;6183;Mestrado 2.º ciclo;14,3;;;;;
Universidade de Aveiro;0300;Universidade de Aveiro;0300;Publico;Universitario;Música;6198;Mestrado 2.º ciclo;17;44;25;19;25;19
Universidade de Aveiro;0300;Universidade de Aveiro;0300;Publico;Universitario;Sistemas Energéticos Sustentáveis;6242;Mestrado 2.º ciclo;14,8;26;19;7;10;16
Universidade de Aveiro;0300;Universidade de Aveiro;0300;Publico;Universitario;Comunicação Multimédia;6408;Mestrado 2.º ciclo;15,5;95;51;44;76;19
Universidade de Aveiro;0300;Universidade de Aveiro;0300;Publico;Universitario;Tradução Especializada;6430;Mestrado 2.º ciclo;15,9;25;3;22;24;1
Universidade de Aveiro;0300;Universidade de Aveiro;0300;Publico;Universitario;Planeamento Regional e Urbano;6431;Mestrado 2.º ciclo;15,3;42;15;27;29;13
Universidade de Aveiro;0300;Universidade de Aveiro;0300;Publico;Universitario;Estudos Ambientais;6433;Mestrado 2.º ciclo;15,6;14;2;12;7;7
Universidade de Aveiro;0300;Universidade de Aveiro;0300;Publico;Universitario;Biomedicina Molecular;6434;Mestrado 2.º ciclo;17;44;11;33;44;0
Universidade de Aveiro;0300;Universidade de Aveiro;0300;Publico;Universitario;Línguas e Relações Empresariais;6435;Mestrado 2.º ciclo;15,6;63;20;43;55;8
Universidade de Aveiro;0300;Universidade de Aveiro;0300;Publico;Universitario;Estudos Editoriais;6440;Mestrado 2.º ciclo;16,1;40;5;35;31;9
Universidade de Aveiro;0300;Universidade de Aveiro;0300;Publico;Universitario;Engenharia de Automação Industrial;6442;Mestrado 2.º ciclo;14,8;26;25;1;19;7
Universidade de Aveiro;0300;Universidade de Aveiro;0300;Publico;Universitario;Ensino de Biologia e Geologia no 3.º Ciclo do Ensino Básico e no Ensino Secundário;6449;Mestrado 2.º ciclo;15;;;;;
Universidade de Aveiro;0300;Universidade de Aveiro;0300;Publico;Universitario;Ensino de Matemática no 3.º C. do Ensino Básico e no Secundário;6451;Mestrado 2.º ciclo;15;4;0;4;4;0
Universidade de Aveiro;0300;Universidade de Aveiro;0300;Publico;Universitario;Materiais e Dispositivos Biomédicos;6621;Mestrado 2.º ciclo;15,7;20;4;16;19;1
Universidade de Aveiro;0300;Universidade de Aveiro;0300;Publico;Universitario;Educação Pré-Escolar e Ensino do 1.º Ciclo do Ensino Básico;6915;Mestrado 2.º ciclo;15,1;47;1;46;47;0
Universidade de Aveiro;0300;Universidade de Aveiro;0300;Publico;Universitario;Administração Pública;9002;Licenciatura 1.º ciclo;13;247;89;158;223;24
Universidade de Aveiro;0300;Universidade de Aveiro;0300;Publico;Universitario;Biologia;9011;Licenciatura 1.º ciclo;14,9;332;130;202;313;19
Universidade de Aveiro;0300;Universidade de Aveiro;0300;Publico;Universitario;Biologia e Geologia;9012;Licenciatura 1.º ciclo;12,1;78;37;41;76;2
Universidade de Aveiro;0300;Universidade de Aveiro;0300;Publico;Universitario;Bioquímica;9015;Licenciatura 1.º ciclo;14;205;67;138;200;5
Universidade de Aveiro;0300;Universidade de Aveiro;0300;Publico;Universitario;Biotecnologia;9016;Licenciatura 1.º ciclo;14;189;80;109;185;4
Universidade de Aveiro;0300;Universidade de Aveiro;0300;Publico;Universitario;Ciências do Mar;9041;Licenciatura 1.º ciclo;12,5;98;50;48;92;6
Universidade de Aveiro;0300;Universidade de Aveiro;0300;Publico;Universitario;Design;9069;Licenciatura 1.º ciclo;14,3;179;48;131;168;11
Universidade de Aveiro;0300;Universidade de Aveiro;0300;Publico;Universitario;Economia;9081;Licenciatura 1.º ciclo;13;185;92;93;172;13
Universidade de Aveiro;0300;Universidade de Aveiro;0300;Publico;Universitario;Engenharia Informática;9119;Licenciatura 1.º ciclo;13,7;230;198;32;210;20
Universidade de Aveiro;0300;Universidade de Aveiro;0300;Publico;Universitario;Física;9141;Licenciatura 1.º ciclo;14,3;45;37;8;43;2
Universidade de Aveiro;0300;Universidade de Aveiro;0300;Publico;Universitario;Geologia;9146;Licenciatura 1.º ciclo;;47;27;20;41;6
Universidade de Aveiro;0300;Universidade de Aveiro;0300;Publico;Universitario;Gestão;9147;Licenciatura 1.º ciclo;13,6;165;65;100;152;13
Universidade de Aveiro;0300;Universidade de Aveiro;0300;Publico;Universitario;Línguas e Estudos Editoriais;9194;Licenciatura 1.º ciclo;13,9;85;23;62;81;4
Universidade de Aveiro;0300;Universidade de Aveiro;0300;Publico;Universitario;Línguas e Relações Empresariais;9196;Licenciatura 1.º ciclo;14,2;285;47;238;262;23
Universidade de Aveiro;0300;Universidade de Aveiro;0300;Publico;Universitario;Línguas, Literaturas e Culturas;9204;Licenciatura 1.º ciclo;13,6;99;20;79;93;6
Universidade de Aveiro;0300;Universidade de Aveiro;0300;Publico;Universitario;Matemática;9209;Licenciatura 1.º ciclo;13,1;76;35;41;72;4
Universidade de Aveiro;0300;Universidade de Aveiro;0300;Publico;Universitario;Meteorologia, Oceanografia e Geofísica;9212;Licenciatura 1.º ciclo;12;68;41;27;58;10
Universidade de Aveiro;0300;Universidade de Aveiro;0300;Publico;Universitario;Música;9214;Licenciatura 1.º ciclo;15,6;183;97;86;178;5
Universidade de Aveiro;0300;Universidade de Aveiro;0300;Publico;Universitario;Novas Tecnologias da Comunicação;9215;Licenciatura 1.º ciclo;13,6;254;130;124;243;11
Universidade de Aveiro;0300;Universidade de Aveiro;0300;Publico;Universitario;Psicologia;9219;Licenciatura 1.º ciclo;15,1;125;27;98;115;10
Universidade de Aveiro;0300;Universidade de Aveiro;0300;Publico;Universitario;Química;9223;Licenciatura 1.º ciclo;12,8;31;13;18;30;1
Universidade de Aveiro;0300;Universidade de Aveiro;0300;Publico;Universitario;Tradução;9252;Licenciatura 1.º ciclo;13,9;105;28;77;99;6
Universidade de Aveiro;0300;Universidade de Aveiro;0300;Publico;Universitario;Ciência Política;9267;Mestrado 2.º ciclo;16;40;19;21;29;11
Universidade de Aveiro;0300;Universidade de Aveiro;0300;Publico;Universitario;Design;9277;Mestrado 2.º ciclo;16;46;10;36;39;7
Universidade de Aveiro;0300;Universidade de Aveiro;0300;Publico;Universitario;Economia;9280;Mestrado 2.º ciclo;15,7;78;30;48;69;9
Universidade de Aveiro;0300;Universidade de Aveiro;0300;Publico;Universitario;Engenharia Informática;9286;Mestrado 2.º ciclo;15,7;71;63;8;61;10
Universidade de Aveiro;0300;Universidade de Aveiro;0300;Publico;Universitario;Gestão;9295;Mestrado 2.º ciclo;15,5;81;20;61;69;12
Universidade de Aveiro;0300;Universidade de Aveiro;0300;Publico;Universitario;Microbiologia;9317;Mestrado 2.º ciclo;16,8;45;12;33;40;5
Universidade de Aveiro;0300;Universidade de Aveiro;0300;Publico;Universitario;Toxicologia e Ecotoxicologia;9335;Mestrado 2.º ciclo;17,5;19;7;12;18;1
Universidade de Aveiro;0300;Universidade de Aveiro;0300;Publico;Universitario;Ciências Biomédicas;9351;Licenciatura 1.º ciclo;15,7;216;37;179;184;32
Universidade de Aveiro;0300;Universidade de Aveiro;0300;Publico;Universitario;Engenharia Biomédica;9359;Mestrado Integrado;;92;25;67;89;3
Universidade de Aveiro;0300;Universidade de Aveiro;0300;Publico;Universitario;Engenharia Civil;9360;Mestrado Integrado;12,9;114;79;35;90;24
Universidade de Aveiro;0300;Universidade de Aveiro;0300;Publico;Universitario;Engenharia de Computadores e Telemática;9361;Mestrado Integrado;13,8;414;361;53;407;7
Universidade de Aveiro;0300;Universidade de Aveiro;0300;Publico;Universitario;Engenharia de Materiais;9363;Mestrado Integrado;13,7;125;80;45;121;4
