;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Tabela 3.1 - Inscritos em estabelecimentos de ensino superior residentes em Portugal por município do estabelecimento de ensino superior e município da residência permanente do aluno, em 2014/15 - Todos os cursos/ciclos de estudos;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
municipio;Abrantes;Águeda;Almada;Amadora;Angra do Heroísmo;Aveiro;Barcelos;Barreiro;Beja;Braga;Bragança;Caldas da Rainha;Cascais;Castelo Branco;Chaves;Coimbra;Covilhã;Elvas;Espinho;Évora;Fafe;Faro;Felgueiras;Funchal;Guarda;Guimarães;Horta;Idanha-a-Nova;Lamego;Leiria;Lisboa;Loulé;Macedo de Cavaleiros;Maia;Marinha Grande;Matosinhos;Melgaço;Mirandela;Odivelas;Oeiras;Oliveira de Azeméis;Oliveira do Hospital;Paredes;Peniche;Ponta Delgada;Ponte de Lima;Portalegre;Portimão;Porto;Póvoa de Lanhoso;Rio Maior;Santa Maria da Feira;Santarém;Santiago do Cacém;Seia;Setúbal;Silves;Sintra;Tomar;Torres Novas;Torres Vedras;Valença;Viana do Castelo;Vila do Conde;Vila Nova de Cerveira;Vila Nova de Famalicão;Vila Nova de Gaia;Vila Real;Viseu
Alenquer; 2; 0; 40; 0; 0; 5; 1; 1; 1; 2; 2; 16; 9; 6; 0; 13; 3; 2; 0; 12; 0; 9; 0; 1; 1; 0; 0; 0; 0; 11; 596; 0; 0; 0; 0; 0; 0; 0; 5; 26; 0; 0; 0; 8; 4; 0; 3; 0; 6; 0; 16; 0; 95; 0; 0; 5; 0; 1; 5; 0; 6; 1; 1; 0; 0; 0; 1; 4; 1
Alfândega da Fé; 0; 0; 0; 0; 0; 6; 0; 0; 1; 6; 63; 0; 0; 1; 0; 26; 4; 0; 0; 1; 0; 0; 0; 0; 3; 0; 0; 0; 1; 0; 5; 0; 0; 0; 0; 0; 0; 6; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 19; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 1; 0; 0; 0; 16; 0
Alijó; 0; 0; 1; 0; 0; 9; 0; 0; 0; 3; 53; 0; 0; 0; 1; 11; 5; 0; 0; 2; 0; 1; 0; 0; 0; 0; 0; 0; 4; 3; 10; 0; 0; 0; 0; 2; 0; 15; 1; 0; 0; 0; 1; 0; 0; 0; 1; 0; 32; 0; 0; 0; 1; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 1; 0; 0; 0; 106; 3
Aljezur; 0; 0; 6; 2; 0; 0; 0; 0; 1; 0; 0; 0; 0; 3; 0; 1; 1; 0; 0; 1; 0; 15; 0; 0; 0; 0; 0; 0; 0; 0; 37; 0; 0; 0; 0; 0; 0; 0; 0; 2; 1; 0; 0; 0; 0; 1; 0; 12; 1; 0; 0; 0; 0; 0; 0; 0; 1; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 1
Aljustrel; 0; 0; 12; 0; 0; 0; 0; 1; 94; 1; 0; 0; 2; 1; 0; 2; 0; 1; 0; 9; 0; 37; 0; 0; 0; 0; 0; 0; 0; 0; 48; 0; 0; 0; 0; 0; 0; 1; 0; 2; 0; 0; 0; 0; 0; 0; 1; 1; 3; 0; 0; 0; 0; 0; 0; 4; 1; 0; 1; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0
Almada; 1; 0;1 242; 9; 2; 10; 0; 29; 7; 3; 1; 12; 60; 9; 0; 24; 19; 2; 0; 39; 0; 17; 0; 1; 3; 0; 0; 1; 0; 12;3 314; 0; 0; 0; 0; 0; 0; 2; 11; 84; 0; 1; 0; 5; 0; 1; 2; 1; 14; 0; 5; 0; 5; 0; 2; 295; 0; 3; 5; 0; 0; 0; 2; 1; 0; 0; 3; 4; 4
Almeida; 1; 0; 4; 0; 0; 7; 0; 0; 0; 0; 4; 2; 2; 13; 0; 19; 15; 0; 0; 0; 0; 0; 0; 0; 36; 0; 0; 1; 0; 2; 29; 0; 0; 0; 0; 0; 0; 1; 0; 1; 0; 0; 0; 1; 0; 0; 0; 0; 7; 0; 0; 0; 0; 0; 12; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 3; 3; 5
Almeirim; 1; 0; 27; 0; 0; 14; 0; 0; 1; 0; 1; 7; 1; 3; 0; 39; 7; 0; 0; 22; 0; 4; 0; 0; 0; 0; 0; 0; 0; 7; 168; 0; 0; 0; 0; 0; 0; 1; 0; 10; 1; 2; 0; 7; 0; 0; 2; 0; 3; 0; 17; 0; 139; 0; 0; 3; 0; 0; 10; 0; 1; 0; 0; 0; 0; 0; 0; 1; 1
Almodôvar; 0; 0; 2; 0; 0; 0; 0; 0; 36; 0; 0; 0; 1; 1; 0; 2; 1; 0; 0; 3; 0; 32; 0; 0; 0; 0; 0; 0; 0; 0; 27; 0; 0; 0; 0; 0; 0; 0; 0; 1; 0; 0; 0; 0; 0; 0; 0; 1; 1; 0; 0; 0; 1; 0; 0; 1; 2; 0; 1; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0
Alpiarça; 0; 0; 15; 0; 0; 1; 0; 0; 0; 0; 1; 0; 3; 2; 0; 7; 1; 1; 0; 10; 0; 0; 0; 0; 1; 0; 0; 0; 0; 8; 66; 0; 0; 0; 0; 0; 0; 0; 0; 2; 0; 1; 1; 1; 0; 0; 1; 0; 2; 0; 5; 0; 38; 0; 0; 1; 0; 0; 5; 0; 0; 0; 0; 0; 0; 0; 0; 1; 0
Alter do Chão; 0; 0; 1; 0; 0; 1; 0; 0; 1; 0; 0; 0; 0; 6; 0; 1; 3; 6; 0; 12; 0; 2; 0; 0; 0; 0; 0; 0; 0; 0; 16; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 12; 0; 1; 0; 1; 0; 1; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 1; 0
