;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Tabela 3.1 - Inscritos em estabelecimentos de ensino superior residentes em Portugal por município do estabelecimento de ensino superior e município da residência permanente do aluno, em 2014/15 - Todos os cursos/ciclos de estudos;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
municipio;Abrantes;Águeda;Almada;Amadora;Angra do Heroísmo;Aveiro;Barcelos;Barreiro;Beja;Braga;Bragança;Caldas da Rainha;Cascais;Castelo Branco;Chaves;Coimbra;Covilhã;Elvas;Espinho;Évora;Fafe;Faro;Felgueiras;Funchal;Guarda;Guimarães;Horta;Idanha-a-Nova;Lamego;Leiria;Lisboa;Loulé;Macedo de Cavaleiros;Maia;Marinha Grande;Matosinhos;Melgaço;Mirandela;Odivelas;Oeiras;Oliveira de Azeméis;Oliveira do Hospital;Paredes;Peniche;Ponta Delgada;Ponte de Lima;Portalegre;Portimão;Porto;Póvoa de Lanhoso;Rio Maior;Santa Maria da Feira;Santarém;Santiago do Cacém;Seia;Setúbal;Silves;Sintra;Tomar;Torres Novas;Torres Vedras;Valença;Viana do Castelo;Vila do Conde;Vila Nova de Cerveira;Vila Nova de Famalicão;Vila Nova de Gaia;Vila Real;Viseu
Bragança; 0; 0; 9; 1; 0; 25; 2; 0; 0; 66; 995; 1; 1; 0; 3; 102; 35; 0; 0; 1; 0; 2; 0; 1; 1; 0; 0; 1; 1; 2; 90; 0; 0; 2; 0; 3; 0; 33; 0; 2; 0; 0; 9; 0; 0; 0; 0; 0; 191; 0; 0; 0; 0; 0; 1; 1; 0; 0; 0; 0; 0; 0; 1; 1; 1; 1; 3; 57; 10
Cabeceiras de Basto; 0; 0; 0; 0; 0; 8; 6; 0; 0; 107; 41; 1; 0; 2; 0; 37; 2; 0; 0; 0; 15; 3; 4; 0; 2; 0; 0; 0; 2; 7; 19; 0; 0; 1; 0; 5; 0; 2; 0; 0; 1; 0; 0; 0; 0; 0; 0; 0; 77; 5; 0; 0; 0; 0; 1; 0; 0; 0; 1; 0; 0; 0; 6; 0; 0; 4; 9; 65; 3
Cadaval; 0; 0; 12; 2; 0; 4; 0; 0; 0; 0; 0; 8; 2; 1; 0; 8; 1; 0; 0; 10; 0; 3; 0; 0; 1; 0; 0; 0; 0; 32; 115; 0; 0; 0; 0; 0; 1; 0; 1; 7; 0; 0; 0; 13; 0; 0; 0; 0; 2; 0; 3; 0; 13; 0; 0; 2; 0; 1; 0; 0; 7; 0; 0; 0; 0; 0; 0; 0; 1
Caldas da Rainha; 1; 1; 52; 2; 0; 25; 0; 0; 3; 1; 3; 195; 20; 14; 0; 100; 21; 3; 0; 26; 0; 14; 0; 1; 6; 0; 0; 0; 0; 308; 676; 0; 0; 1; 1; 0; 0; 2; 1; 29; 0; 0; 0; 62; 1; 1; 2; 0; 17; 0; 23; 0; 35; 0; 2; 6; 0; 3; 11; 0; 3; 0; 0; 0; 0; 1; 1; 3; 0
Calheta (R.A.A.); 0; 0; 2; 0; 5; 3; 1; 0; 1; 0; 0; 0; 0; 0; 0; 18; 2; 0; 0; 2; 0; 2; 0; 0; 0; 0; 1; 0; 1; 1; 39; 0; 0; 0; 0; 1; 0; 0; 0; 3; 0; 0; 0; 0; 10; 0; 1; 0; 3; 0; 2; 0; 1; 0; 0; 0; 0; 0; 1; 0; 0; 0; 0; 0; 0; 0; 1; 0; 1
Calheta (R.A.M.); 0; 0; 0; 1; 0; 0; 0; 0; 0; 7; 2; 0; 0; 1; 0; 19; 4; 0; 0; 2; 0; 10; 0; 70; 0; 0; 0; 0; 0; 4; 17; 0; 0; 0; 0; 2; 0; 0; 0; 1; 0; 0; 0; 0; 0; 0; 1; 1; 26; 0; 0; 0; 0; 0; 1; 3; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 1; 2; 0
Câmara de Lobos; 0; 0; 7; 0; 1; 9; 0; 0; 1; 22; 7; 1; 1; 7; 0; 40; 11; 2; 0; 10; 0; 13; 1; 338; 2; 0; 0; 0; 0; 13; 122; 0; 0; 0; 0; 0; 0; 0; 0; 4; 0; 0; 0; 0; 3; 0; 5; 1; 41; 0; 2; 0; 3; 0; 0; 8; 0; 0; 0; 0; 0; 0; 0; 1; 0; 0; 5; 10; 0
Caminha; 0; 0; 4; 0; 0; 28; 12; 0; 0; 65; 3; 4; 0; 1; 0; 38; 13; 0; 0; 0; 0; 1; 0; 0; 0; 0; 0; 0; 0; 1; 25; 0; 0; 13; 0; 8; 4; 1; 0; 2; 2; 0; 2; 2; 0; 7; 0; 0; 123; 0; 0; 0; 0; 0; 0; 0; 0; 0; 3; 0; 0; 13; 114; 3; 16; 3; 3; 17; 1
Campo Maior; 0; 0; 6; 0; 0; 0; 0; 0; 1; 0; 0; 0; 0; 10; 0; 11; 6; 6; 0; 36; 0; 2; 0; 0; 1; 0; 0; 0; 0; 2; 48; 0; 0; 0; 0; 0; 0; 0; 0; 4; 0; 1; 0; 0; 0; 0; 54; 0; 0; 0; 0; 0; 3; 0; 0; 4; 0; 0; 3; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0
Cantanhede; 1; 5; 6; 0; 0; 104; 0; 0; 0; 6; 3; 4; 5; 6; 0; 725; 16; 0; 0; 3; 0; 3; 0; 0; 13; 0; 0; 1; 0; 35; 60; 0; 0; 3; 0; 1; 0; 0; 0; 3; 2; 6; 3; 6; 1; 0; 0; 0; 45; 0; 1; 0; 2; 0; 2; 1; 0; 0; 3; 0; 0; 0; 0; 1; 0; 0; 3; 3; 15
Carrazeda de Ansiães; 0; 0; 0; 0; 1; 7; 1; 0; 0; 9; 50; 0; 0; 6; 0; 36; 5; 0; 0; 0; 0; 0; 0; 0; 2; 0; 0; 0; 0; 0; 4; 0; 0; 1; 0; 1; 0; 19; 0; 0; 1; 1; 0; 0; 0; 0; 0; 0; 14; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 2; 16; 1
Carregal do Sal; 0; 0; 2; 0; 0; 11; 1; 0; 0; 1; 2; 1; 1; 0; 0; 70; 15; 0; 0; 0; 0; 1; 0; 0; 5; 0; 0; 0; 0; 3; 15; 0; 0; 0; 0; 0; 0; 0; 2; 0; 1; 2; 0; 0; 0; 0; 0; 0; 9; 0; 0; 0; 0; 0; 3; 1; 0; 0; 0; 0; 0; 0; 0; 1; 0; 0; 0; 0; 53
Cartaxo; 3; 0; 26; 1; 0; 10; 1; 0; 1; 0; 1; 5; 4; 8; 0; 19; 6; 2; 0; 19; 0; 6; 0; 0; 1; 0; 0; 0; 0; 13; 273; 0; 0; 0; 0; 0; 0; 1; 0; 10; 0; 0; 0; 10; 1; 0; 1; 1; 8; 0; 10; 0; 120; 0; 0; 2; 0; 0; 7; 0; 0; 0; 0; 0; 0; 0; 0; 1; 0
Cascais; 1; 0; 388; 18; 4; 16; 1; 2; 11; 9; 3; 26; 409; 9; 0; 43; 20; 5; 0; 32; 0; 20; 0; 2; 4; 1; 0; 1; 0; 23;5 700; 0; 0; 1; 0; 1; 0; 3; 23; 552; 1; 0; 2; 8; 2; 0; 2; 1; 34; 0; 5; 0; 7; 0; 1; 16; 1; 1; 4; 0; 0; 0; 1; 0; 0; 1; 1; 2; 1
Castanheira de Pêra; 0; 0; 2; 0; 0; 0; 0; 0; 0; 0; 1; 0; 0; 1; 0; 32; 4; 0; 0; 0; 0; 1; 0; 0; 0; 0; 0; 0; 0; 10; 3; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 1; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 3; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0
Castelo Branco; 3; 0; 53; 0; 1; 21; 1; 0; 0; 8; 4; 3; 10; 959; 0; 188; 235; 1; 0; 31; 0; 12; 0; 1; 25; 0; 0; 138; 0; 20; 450; 0; 0; 2; 0; 1; 0; 0; 0; 15; 0; 0; 0; 7; 0; 0; 13; 0; 25; 0; 3; 0; 3; 0; 1; 0; 0; 3; 2; 0; 0; 0; 0; 0; 0; 0; 1; 2; 10
Castelo de Paiva; 1; 0; 1; 0; 0; 55; 0; 0; 0; 11; 15; 0; 0; 5; 0; 21; 0; 0; 0; 0; 0; 0; 6; 0; 1; 0; 0; 0; 3; 1; 15; 0; 0; 8; 0; 15; 0; 3; 0; 0; 0; 0; 13; 1; 0; 0; 0; 0; 146; 0; 0; 3; 0; 0; 0; 0; 0; 0; 1; 0; 0; 0; 0; 4; 0; 0; 12; 18; 19
Castelo de Vide; 0; 0; 3; 0; 0; 0; 0; 0; 0; 1; 0; 0; 0; 6; 0; 3; 1; 1; 0; 3; 0; 0; 0; 0; 1; 0; 0; 0; 0; 0; 30; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 26; 0; 1; 0; 0; 0; 0; 0; 0; 0; 0; 0; 1; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0
Castro Daire; 0; 0; 1; 0; 0; 18; 0; 0; 1; 4; 9; 0; 2; 1; 0; 79; 15; 1; 0; 2; 0; 2; 0; 0; 9; 0; 0; 0; 9; 3; 32; 0; 0; 1; 0; 0; 0; 3; 0; 0; 0; 0; 0; 0; 0; 0; 1; 0; 18; 0; 0; 0; 0; 0; 1; 1; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 2; 24; 97
Castro Marim; 0; 0; 1; 0; 0; 0; 0; 0; 12; 1; 0; 0; 0; 0; 0; 7; 2; 0; 0; 9; 0; 47; 0; 0; 0; 0; 0; 0; 0; 1; 27; 0; 0; 0; 0; 0; 0; 0; 0; 1; 0; 0; 0; 0; 0; 1; 1; 2; 0; 0; 0; 0; 3; 0; 0; 2; 0; 0; 1; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0
Castro Verde; 0; 0; 14; 0; 0; 1; 0; 0; 58; 2; 0; 1; 0; 1; 0; 10; 0; 0; 0; 9; 0; 47; 0; 0; 0; 0; 0; 0; 0; 0; 68; 0; 0; 0; 0; 0; 0; 0; 0; 5; 0; 0; 0; 0; 1; 0; 0; 1; 3; 0; 0; 0; 0; 0; 0; 2; 3; 0; 1; 0; 0; 0; 0; 0; 0; 0; 0; 1; 0
Celorico da Beira; 0; 0; 1; 0; 0; 7; 0; 0; 0; 2; 1; 0; 0; 5; 0; 35; 32; 0; 0; 1; 0; 1; 0; 0; 37; 0; 0; 0; 1; 0; 20; 0; 0; 0; 0; 0; 0; 0; 0; 1; 0; 0; 0; 0; 0; 0; 0; 0; 4; 0; 0; 0; 0; 0; 2; 1; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 4; 9
Celorico de Basto; 0; 0; 3; 0; 0; 8; 1; 0; 0; 54; 62; 0; 1; 1; 0; 51; 13; 0; 0; 2; 12; 1; 17; 0; 2; 0; 0; 0; 1; 0; 18; 0; 0; 5; 0; 13; 0; 15; 0; 1; 0; 0; 2; 1; 0; 1; 1; 0; 105; 1; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 2; 3; 3; 0; 3; 6; 152; 1
Chamusca; 4; 0; 4; 0; 1; 5; 0; 0; 1; 0; 0; 0; 0; 7; 0; 18; 2; 0; 0; 13; 0; 4; 0; 0; 2; 0; 0; 1; 0; 5; 51; 0; 0; 0; 0; 0; 0; 0; 0; 1; 0; 0; 0; 1; 0; 0; 4; 0; 5; 0; 6; 0; 33; 0; 0; 1; 0; 0; 12; 0; 0; 0; 0; 0; 0; 0; 0; 1; 1
Chaves; 0; 4; 8; 1; 0; 56; 3; 0; 0; 98; 148; 1; 0; 1; 71; 136; 45; 0; 0; 2; 0; 4; 0; 1; 7; 1; 0; 0; 4; 7; 77; 0; 0; 10; 0; 7; 0; 18; 0; 2; 0; 1; 11; 0; 0; 0; 2; 0; 273; 0; 0; 0; 1; 0; 1; 0; 0; 0; 1; 0; 0; 0; 4; 2; 0; 2; 4; 164; 15
Cinfães; 0; 1; 1; 0; 0; 12; 2; 0; 1; 9; 9; 0; 0; 3; 0; 16; 14; 0; 0; 0; 0; 1; 3; 0; 1; 0; 0; 0; 11; 1; 20; 0; 0; 7; 0; 19; 0; 0; 0; 0; 0; 0; 10; 0; 0; 0; 0; 0; 102; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 1; 7; 14; 25
Coimbra; 2; 7; 22; 6; 1; 138; 0; 0; 0; 32; 6; 19; 8; 10; 0;9 624; 64; 1; 0; 20; 0; 14; 0; 1; 5; 1; 0; 0; 1; 38; 536; 0; 0; 3; 0; 6; 0; 3; 0; 16; 9; 26; 7; 7; 9; 0; 2; 1; 200; 0; 2; 0; 2; 0; 11; 0; 0; 2; 2; 0; 0; 1; 3; 2; 0; 0; 3; 19; 44
Condeixa-a-Nova; 1; 1; 1; 0; 0; 12; 0; 0; 0; 1; 0; 3; 0; 4; 0; 553; 2; 0; 0; 2; 0; 1; 0; 0; 1; 0; 0; 0; 0; 12; 24; 0; 0; 0; 0; 0; 0; 0; 0; 1; 1; 1; 2; 1; 0; 0; 0; 0; 10; 0; 1; 0; 0; 0; 3; 0; 0; 0; 4; 0; 0; 0; 0; 0; 0; 0; 0; 1; 4
Constância; 4; 0; 2; 0; 0; 6; 0; 0; 1; 0; 1; 0; 0; 3; 0; 11; 7; 0; 0; 3; 0; 1; 0; 1; 1; 0; 0; 0; 0; 5; 26; 0; 0; 0; 0; 0; 0; 0; 0; 2; 0; 0; 0; 1; 0; 0; 3; 0; 1; 0; 2; 0; 1; 0; 0; 0; 0; 0; 11; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0
Coruche; 0; 0; 44; 0; 0; 4; 0; 2; 3; 0; 1; 2; 1; 2; 0; 19; 5; 0; 0; 56; 0; 1; 0; 0; 2; 0; 0; 1; 0; 7; 162; 0; 0; 0; 0; 0; 0; 0; 0; 14; 0; 0; 0; 2; 0; 0; 3; 0; 4; 0; 6; 0; 59; 0; 0; 6; 0; 0; 7; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0
Corvo; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 7; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 1; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0
Covilhã; 1; 2; 19; 2; 0; 26; 1; 1; 1; 16; 5; 1; 3; 201; 0; 80;1 082; 0; 0; 10; 0; 5; 0; 0; 74; 0; 0; 19; 0; 5; 161; 0; 0; 0; 0; 1; 0; 0; 0; 6; 1; 0; 1; 1; 0; 0; 9; 0; 39; 0; 1; 0; 0; 0; 4; 5; 0; 0; 1; 0; 0; 1; 0; 1; 0; 0; 1; 9; 18
Crato; 1; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 4; 0; 4; 5; 1; 0; 6; 0; 3; 0; 0; 1; 0; 0; 1; 0; 1; 9; 0; 0; 0; 0; 0; 0; 0; 0; 1; 0; 0; 0; 0; 0; 0; 22; 0; 1; 0; 0; 0; 0; 0; 0; 1; 0; 0; 1; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0
Cuba; 0; 0; 1; 0; 0; 0; 0; 0; 82; 0; 0; 0; 1; 1; 0; 6; 2; 0; 0; 15; 0; 10; 0; 0; 0; 0; 0; 0; 0; 0; 36; 0; 0; 0; 0; 0; 0; 0; 0; 1; 0; 0; 0; 1; 0; 0; 2; 3; 0; 0; 0; 0; 0; 0; 0; 1; 2; 1; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0
Desconhecido; 3; 4; 391; 0; 0; 40; 0; 0; 0; 3; 0; 0; 0; 0; 0; 8; 7; 0; 0; 68; 0; 1; 0; 0; 0; 0; 0; 1; 0; 1;1 078; 0; 0; 0; 0; 55; 0; 0; 11; 7; 0; 0; 0; 0; 0; 0; 0; 0; 301; 0; 82; 0; 190; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0
Elvas; 0; 0; 21; 1; 0; 0; 0; 0; 12; 3; 0; 1; 3; 20; 0; 19; 14; 86; 0; 101; 0; 20; 0; 0; 1; 0; 0; 2; 0; 5; 176; 0; 0; 0; 0; 0; 0; 1; 1; 12; 0; 0; 0; 1; 0; 0; 114; 1; 2; 0; 10; 0; 4; 0; 0; 5; 0; 0; 1; 0; 0; 0; 0; 0; 0; 0; 1; 0; 1
Entroncamento; 15; 0; 28; 0; 0; 33; 0; 0; 3; 3; 0; 2; 8; 22; 0; 72; 24; 0; 0; 19; 0; 9; 0; 0; 1; 0; 0; 1; 0; 40; 260; 0; 0; 0; 0; 0; 0; 0; 0; 11; 0; 1; 0; 3; 0; 0; 5; 2; 27; 0; 3; 0; 44; 0; 0; 2; 0; 7; 113; 12; 0; 0; 0; 0; 0; 0; 0; 4; 2
Espinho; 1; 4; 3; 1; 0; 165; 3; 0; 0; 19; 2; 1; 0; 3; 0; 41; 9; 0; 0; 3; 0; 1; 0; 0; 3; 0; 0; 0; 0; 1; 43; 0; 0; 22; 0; 28; 2; 2; 0; 2; 21; 0; 5; 0; 0; 1; 0; 0; 540; 0; 0; 12; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 1; 5; 0; 2; 50; 11; 6
Esposende; 0; 1; 3; 0; 0; 35; 154; 0; 2; 199; 34; 3; 1; 1; 0; 101; 17; 0; 0; 2; 0; 4; 5; 0; 1; 0; 0; 0; 1; 7; 38; 0; 0; 19; 0; 20; 6; 8; 0; 1; 0; 4; 9; 1; 0; 12; 2; 0; 331; 1; 0; 0; 1; 0; 2; 0; 0; 1; 3; 0; 0; 3; 126; 15; 3; 12; 21; 13; 14
Estarreja; 0; 35; 2; 0; 0; 258; 0; 0; 2; 13; 3; 2; 2; 9; 0; 86; 18; 0; 0; 5; 0; 3; 0; 0; 19; 0; 0; 0; 1; 10; 42; 0; 0; 5; 0; 5; 0; 0; 0; 1; 33; 2; 2; 1; 0; 1; 0; 0; 111; 0; 0; 4; 0; 0; 2; 1; 0; 0; 0; 0; 0; 0; 0; 1; 0; 0; 13; 9; 13
Estremoz; 0; 0; 18; 0; 0; 1; 0; 0; 18; 1; 0; 0; 2; 11; 0; 6; 5; 14; 0; 86; 0; 15; 0; 0; 0; 0; 0; 0; 0; 1; 152; 0; 0; 0; 0; 0; 0; 0; 0; 2; 0; 0; 0; 0; 0; 0; 32; 0; 2; 0; 1; 0; 1; 0; 0; 6; 0; 0; 1; 0; 0; 0; 0; 1; 0; 0; 0; 0; 0
Évora; 0; 0; 95; 1; 0; 5; 0; 3; 45; 0; 0; 1; 4; 8; 0; 32; 11; 7; 0;1 222; 0; 25; 0; 0; 0; 0; 0; 0; 0; 4; 492; 3; 0; 0; 0; 0; 0; 0; 1; 19; 0; 0; 0; 2; 0; 0; 17; 4; 7; 0; 3; 0; 3; 0; 1; 5; 1; 0; 2; 0; 0; 0; 0; 0; 0; 0; 2; 0; 1
Fafe; 0; 0; 4; 0; 0; 27; 16; 0; 0; 385; 100; 1; 0; 4; 0; 86; 48; 1; 0; 3; 99; 5; 82; 0; 4; 3; 0; 0; 1; 5; 43; 0; 0; 14; 0; 17; 0; 17; 0; 1; 0; 0; 12; 0; 0; 2; 1; 0; 252; 6; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 1; 22; 11; 0; 15; 11; 54; 7
Faro; 1; 0; 69; 0; 0; 4; 0; 0; 38; 5; 0; 5; 9; 5; 0; 49; 11; 3; 0; 52; 1;1 799; 0; 0; 1; 0; 0; 0; 0; 1; 510; 12; 0; 0; 0; 0; 0; 2; 0; 13; 1; 0; 0; 1; 0; 0; 8; 20; 30; 0; 2; 0; 2; 0; 0; 2; 10; 2; 2; 0; 0; 0; 0; 0; 0; 0; 0; 0; 3
Felgueiras; 1; 2; 4; 0; 1; 40; 7; 0; 0; 183; 72; 1; 0; 6; 0; 101; 28; 0; 0; 2; 24; 3; 300; 0; 3; 1; 0; 1; 3; 5; 54; 0; 0; 29; 0; 38; 1; 6; 0; 0; 0; 0; 47; 0; 0; 1; 1; 1; 364; 2; 0; 0; 1; 0; 0; 0; 0; 0; 2; 0; 0; 1; 5; 10; 0; 17; 17; 151; 11
Ferreira do Alentejo; 0; 0; 6; 0; 0; 2; 0; 0; 66; 0; 0; 2; 0; 1; 0; 2; 0; 0; 0; 12; 0; 7; 0; 0; 0; 0; 0; 0; 0; 0; 56; 0; 0; 0; 0; 1; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 1; 1; 0; 0; 0; 0; 0; 1; 0; 4; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0
Ferreira do Zêzere; 1; 0; 2; 0; 0; 4; 0; 1; 0; 0; 0; 0; 2; 4; 0; 38; 4; 0; 0; 8; 0; 2; 0; 0; 0; 0; 0; 0; 0; 16; 55; 0; 0; 0; 0; 0; 0; 0; 0; 4; 0; 0; 0; 1; 0; 0; 1; 0; 1; 0; 0; 0; 2; 0; 0; 0; 0; 0; 49; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0
Figueira da Foz; 1; 8; 12; 2; 0; 162; 0; 1; 1; 3; 6; 7; 11; 15; 0; 919; 38; 1; 0; 14; 0; 13; 1; 0; 9; 0; 0; 0; 0; 125; 222; 0; 0; 3; 0; 3; 0; 2; 0; 16; 1; 6; 0; 6; 2; 0; 1; 1; 74; 0; 12; 0; 9; 0; 13; 2; 0; 3; 9; 0; 0; 0; 1; 3; 0; 0; 8; 13; 20
Figueira de Castelo Rodrigo; 0; 0; 0; 0; 0; 5; 0; 0; 0; 0; 2; 0; 0; 4; 0; 20; 13; 0; 0; 1; 0; 0; 0; 0; 46; 0; 0; 0; 1; 2; 6; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 1; 0; 7; 0; 0; 0; 0; 0; 1; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 1; 1; 8
Figueiró dos Vinhos; 0; 0; 1; 0; 0; 2; 0; 0; 0; 2; 0; 0; 0; 2; 0; 73; 3; 0; 0; 2; 0; 1; 0; 0; 1; 0; 0; 0; 0; 19; 17; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 1; 2; 0; 0; 1; 0; 2; 0; 0; 0; 0; 0; 0; 0; 0; 0; 5; 0; 0; 0; 0; 0; 0; 0; 0; 0; 1
Fornos de Algodres; 0; 0; 1; 0; 0; 4; 0; 0; 0; 1; 0; 0; 0; 0; 0; 25; 11; 0; 0; 0; 0; 0; 0; 0; 11; 0; 0; 3; 1; 1; 10; 0; 0; 0; 0; 0; 0; 0; 0; 1; 0; 0; 0; 0; 0; 0; 0; 0; 8; 0; 0; 0; 0; 0; 1; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 23
Freixo de Espada à Cinta; 0; 0; 1; 0; 0; 1; 0; 0; 0; 0; 16; 0; 0; 1; 0; 10; 3; 0; 0; 0; 0; 1; 0; 0; 2; 0; 0; 0; 0; 0; 4; 0; 0; 0; 0; 0; 0; 7; 0; 0; 0; 0; 2; 0; 0; 0; 0; 0; 3; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 1; 12; 1
Fronteira; 0; 0; 3; 0; 0; 1; 0; 0; 1; 2; 0; 0; 1; 2; 0; 4; 1; 2; 0; 7; 0; 0; 0; 0; 1; 0; 0; 3; 0; 1; 7; 0; 0; 0; 0; 0; 0; 0; 0; 3; 0; 0; 0; 0; 0; 0; 16; 0; 0; 0; 1; 0; 0; 0; 0; 1; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0
Funchal; 1; 0; 61; 2; 4; 47; 6; 1; 8; 68; 12; 9; 39; 17; 0; 168; 42; 1; 0; 29; 0; 46; 0;1 451; 10; 0; 0; 1; 1; 18; 982; 0; 0; 4; 0; 5; 0; 2; 2; 57; 2; 4; 7; 3; 5; 0; 2; 1; 240; 0; 8; 0; 6; 0; 0; 18; 0; 1; 4; 0; 0; 1; 6; 0; 0; 3; 21; 28; 17
Fundão; 0; 0; 12; 0; 0; 24; 0; 0; 2; 7; 2; 6; 2; 201; 0; 56; 276; 0; 0; 13; 0; 2; 1; 0; 56; 0; 0; 20; 0; 8; 132; 0; 0; 0; 0; 0; 0; 2; 0; 7; 0; 0; 2; 1; 0; 0; 9; 0; 19; 0; 1; 0; 1; 0; 0; 1; 0; 1; 1; 0; 0; 0; 0; 0; 0; 1; 2; 2; 13
Gavião; 1; 0; 6; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 8; 0; 3; 4; 1; 0; 3; 0; 0; 0; 0; 1; 0; 0; 1; 0; 2; 21; 0; 0; 0; 0; 0; 0; 0; 0; 1; 0; 0; 0; 1; 0; 0; 5; 0; 0; 0; 0; 0; 1; 0; 0; 0; 0; 0; 2; 0; 0; 0; 0; 0; 0; 1; 0; 0; 0
Góis; 0; 0; 0; 0; 0; 3; 0; 0; 0; 0; 0; 0; 0; 1; 0; 48; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 8; 0; 0; 0; 0; 0; 0; 0; 0; 1; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0
Golegã; 2; 1; 3; 0; 0; 1; 0; 0; 0; 0; 1; 2; 2; 5; 0; 7; 5; 0; 0; 5; 0; 3; 0; 0; 0; 0; 0; 0; 0; 4; 29; 0; 0; 0; 0; 0; 0; 0; 0; 1; 0; 0; 0; 0; 0; 0; 1; 0; 3; 0; 1; 0; 18; 0; 0; 0; 0; 0; 18; 2; 0; 0; 0; 0; 0; 0; 0; 0; 0
Gondomar; 0; 4; 6; 1; 0; 92; 18; 0; 1; 105; 14; 6; 1; 4; 0; 72; 25; 0; 0; 0; 0; 9; 14; 0; 5; 0; 0; 0; 3; 7; 141; 0; 0; 283; 0; 458; 1; 3; 0; 3; 8; 1; 79; 1; 0; 3; 2; 0;3 144; 0; 1; 0; 1; 0; 2; 0; 0; 0; 3; 0; 0; 0; 6; 60; 0; 7; 189; 56; 7
Gouveia; 0; 1; 4; 1; 0; 24; 0; 0; 0; 4; 6; 0; 0; 12; 0; 80; 27; 0; 0; 4; 0; 1; 0; 0; 44; 0; 0; 0; 1; 8; 43; 0; 0; 1; 0; 0; 0; 0; 0; 1; 0; 1; 0; 0; 1; 0; 0; 0; 20; 0; 0; 0; 0; 0; 7; 1; 0; 0; 0; 0; 0; 0; 0; 1; 0; 0; 0; 8; 36
Grândola; 0; 0; 12; 0; 0; 0; 0; 1; 40; 0; 1; 2; 1; 1; 0; 5; 0; 0; 0; 29; 0; 18; 0; 0; 0; 0; 0; 0; 0; 1; 116; 0; 0; 0; 0; 0; 0; 0; 0; 4; 0; 0; 1; 2; 0; 0; 0; 0; 3; 0; 1; 0; 1; 1; 0; 29; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0
Guarda; 1; 2; 20; 0; 0; 66; 0; 0; 0; 6; 5; 6; 9; 59; 0; 266; 309; 0; 0; 12; 0; 8; 2; 1; 751; 0; 0; 14; 1; 9; 243; 0; 0; 0; 0; 1; 0; 1; 0; 16; 0; 0; 6; 1; 0; 0; 1; 0; 81; 0; 0; 0; 1; 0; 10; 1; 0; 0; 1; 0; 0; 0; 1; 0; 0; 1; 1; 27; 55
