PORTAL INFOCURSOS;;;;;;;;;;;;
;;;;;;;;;;;;
5) Distribuição dos alunos inscritos por sexo;;;;;;;;;;;;
;;;;;;;;;;;;
Estabelecimento;CodigoEstabelecimento;UnidadeOrganica;CodigoUnidadeOrganica;Natureza;TipoEnsino;NomeCurso;CodigoCurso;Grau;NumeroInscritos;NumeroHomens;NumeroMulheres;AnoLetivo
Universidade dos Açores;0100;Universidade dos Açores - Angra do Heroísmo;0110;Publico;Universitario;Ciências Agrárias;9022;Licenciatura;60;32;28;2013/14
Universidade dos Açores;0100;Universidade dos Açores - Angra do Heroísmo;0110;Publico;Universitario;Guias da Natureza;9382;Licenciatura;52;28;24;2013/14
Universidade dos Açores;0100;Universidade dos Açores - Angra do Heroísmo;0110;Publico;Universitario;Energias Renováveis;9934;Licenciatura;71;55;16;2013/14
Universidade dos Açores;0100;Universidade dos Açores - Ponta Delgada;0130;Publico;Universitario;Protecção Civil e Gestão de Riscos;8524;Licenciatura;49;36;13;2013/14
Universidade dos Açores;0100;Universidade dos Açores - Ponta Delgada;0130;Publico;Universitario;Biologia;9011;Licenciatura;100;47;53;2013/14
Universidade dos Açores;0100;Universidade dos Açores - Ponta Delgada;0130;Publico;Universitario;Economia;9081;Licenciatura;105;70;35;2013/14
Universidade dos Açores;0100;Universidade dos Açores - Ponta Delgada;0130;Publico;Universitario;Gestão;9147;Licenciatura;429;213;216;2013/14
Universidade dos Açores;0100;Universidade dos Açores - Ponta Delgada;0130;Publico;Universitario;História;9181;Licenciatura;21;10;11;2013/14
Universidade dos Açores;0100;Universidade dos Açores - Ponta Delgada;0130;Publico;Universitario;Psicologia;9219;Licenciatura;139;40;99;2013/14
Universidade dos Açores;0100;Universidade dos Açores - Ponta Delgada;0130;Publico;Universitario;Serviço Social;9238;Licenciatura;137;18;119;2013/14
Universidade dos Açores;0100;Universidade dos Açores - Ponta Delgada;0130;Publico;Universitario;Sociologia;9240;Licenciatura;76;18;58;2013/14
Universidade dos Açores;0100;Universidade dos Açores - Ponta Delgada;0130;Publico;Universitario;Turismo;9254;Licenciatura;128;58;70;2013/14
Universidade dos Açores;0100;Universidade dos Açores - Ponta Delgada;0130;Publico;Universitario;Informática - Redes e Multimédia;9384;Licenciatura;103;96;7;2013/14
Universidade dos Açores;0100;Universidade dos Açores - Ponta Delgada;0130;Publico;Universitario;Ciências Biológicas e da Saúde;9699;Licenciatura;40;15;25;2013/14
Universidade dos Açores;0100;Universidade dos Açores - Ponta Delgada;0130;Publico;Universitario;Estudos Europeus e Política Internacional;9756;Licenciatura;69;40;29;2013/14
Universidade dos Açores;0100;Universidade dos Açores - Ponta Delgada;0130;Publico;Universitario;Relações Públicas e Comunicação;9798;Licenciatura;133;45;88;2013/14
Universidade dos Açores;0100;Universidade dos Açores - Ponta Delgada;0130;Publico;Universitario;Educação Básica;9853;Licenciatura;152;16;136;2013/14
Universidade dos Açores;0100;Escola Superior de Enfermagem de Angra do Heroísmo;7090;Publico;Politecnico;Enfermagem;9500;Licenciatura;159;46;113;2013/14
Universidade dos Açores;0100;Escola Superior de Enfermagem de Ponta Delgada;7091;Publico;Politecnico;Enfermagem;9500;Licenciatura;187;43;144;2013/14
Universidade do Algarve;0200;Universidade do Algarve;0200;Publico;Universitario;Ciências Biomédicas;9351;Licenciatura;141;44;97;2013/14
Universidade do Algarve;0200;Faculdade de Ciências Humanas e Sociais;0201;Publico;Universitario;Património Cultural e Arqueologia;8509;Licenciatura;57;25;32;2013/14
Universidade do Algarve;0200;Faculdade de Ciências Humanas e Sociais;0201;Publico;Universitario;Línguas, Literaturas e Culturas;9204;Licenciatura;62;15;47;2013/14
Universidade do Algarve;0200;Faculdade de Ciências Humanas e Sociais;0201;Publico;Universitario;Psicologia;9219;Licenciatura;198;35;163;2013/14
