de residência";;;16I1401;16D0101;1701503;1701115;2004301;16D0105;1120302;1701504;1840205;1120303;11E0402;16B1006;1701105;16H0502;11B1703;16E0603;16J0503;1861207;11A0107;1870705;1190307;1500805;11C1303;3003103;16J0907;1190308;2004701;16H0505;11D1805;16F1009;1701106;1500808;11E0405;11A1306;16F1010;11A1308;1111603;11E0407;1701116;1701110;11A0113;16E0611;11A1310;16B1014;2004203;1111607;1861214;1500811;11A1312;1190309;1851414;11A0109;1851416;1811509;16J0912;1701512;1500813;1701111;16I1418;16I1419;16B1113;1111608;1111609;11A1316;1111610;1190312;11A1317;11D1714;16G1823
;;Portugal;Abrantes;Águeda;Almada;Amadora;Angra do Heroísmo;Aveiro;Barcelos;Barreiro;Beja;Braga;Bragança;Caldas da Rainha;Cascais;Castelo Branco;Chaves;Coimbra;Covilhã;Elvas;Espinho;Évora;Fafe;Faro;Felgueiras;Funchal;Guarda;Guimarães;Horta;Idanha-a-Nova;Lamego;Leiria;Lisboa;Loulé;Macedo de Cavaleiros;Maia;Marinha Grande;Matosinhos;Melgaço;Mirandela;Odivelas;Oeiras;Oliveira de Azeméis;Oliveira do Hospital;Paredes;Peniche;Ponta Delgada;Ponte de Lima;Portalegre;Portimão;Porto;Póvoa de Lanhoso;Rio Maior;Santa Maria da Feira;Santarém;Santiago do Cacém;Seia;Setúbal;Silves;Sintra;Tomar;Torres Novas;Torres Vedras;Valença;Viana do Castelo;Vila do Conde;Vila Nova de Cerveira;Vila Nova de Famalicão;Vila Nova de Gaia;Vila Real;Viseu
;Portugal;350 133; 390; 868;10 032; 440; 645;12 392;3 161; 503;2 549;17 927;4 926;1 280;2 340;3 436; 268;33 584;6 480; 271; 61;5 802; 334;7 450;1 373;3 069;2 310; 57; 23; 414; 456;8 106;106 811; 174; 26;4 214; 121;4 710; 144; 840; 668;4 873; 446; 290;1 688;1 048;2 441; 563;1 509; 789;56 252; 182; 721; 457;2 641; 52; 270;5 138; 194; 163;1 940; 96; 106; 323;3 114;1 455; 81;1 349;1 240;6 711;5 346
16B1001;Alcobaça;2 221; 5; 1; 59; 2; 0; 67; 0; 0; 6; 9; 3; 51; 14; 18; 0; 277; 34; 1; 0; 57; 0; 18; 1; 1; 5; 0; 0; 1; 0; 496; 862; 0; 0; 0; 10; 0; 0; 2; 2; 34; 0; 1; 0; 46; 1; 0; 13; 0; 31; 0; 28; 0; 29; 0; 1; 6; 0; 0; 14; 0; 0; 0; 0; 0; 0; 1; 1; 8; 5
1701502;Alcochete; 506; 0; 0; 34; 3; 0; 1; 0; 2; 0; 1; 0; 3; 8; 0; 0; 2; 0; 1; 0; 8; 0; 1; 0; 1; 1; 0; 0; 0; 0; 0; 363; 0; 0; 0; 0; 0; 0; 0; 1; 13; 0; 0; 0; 0; 0; 0; 1; 1; 3; 0; 0; 0; 1; 0; 0; 55; 0; 1; 1; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0
1500802;Alcoutim; 34; 0; 0; 1; 0; 0; 0; 0; 0; 5; 0; 0; 0; 0; 1; 0; 2; 0; 0; 0; 3; 0; 17; 0; 0; 0; 0; 0; 0; 0; 0; 4; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 1; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0
16B1101;Alenquer; 964; 1; 0; 47; 1; 0; 3; 1; 1; 4; 2; 1; 10; 5; 4; 0; 17; 3; 1; 0; 15; 0; 7; 0; 1; 0; 0; 0; 0; 0; 8; 655; 0; 0; 0; 0; 0; 0; 0; 6; 21; 0; 0; 0; 10; 3; 0; 4; 0; 7; 0; 18; 0; 85; 0; 0; 7; 0; 0; 7; 0; 3; 0; 1; 0; 0; 0; 0; 3; 2
11E0401;Alfândega da Fé; 264; 0; 0; 0; 0; 0; 6; 0; 0; 1; 7; 73; 0; 0; 0; 0; 122; 2; 0; 0; 1; 0; 0; 0; 0; 1; 0; 0; 0; 1; 1; 10; 0; 0; 1; 0; 0; 0; 5; 0; 1; 0; 0; 0; 0; 0; 0; 0; 0; 15; 0; 1; 0; 0; 0; 0; 0; 0; 0; 2; 0; 0; 0; 0; 2; 0; 0; 0; 12; 0
11D1701;Alijó; 278; 0; 0; 1; 0; 0; 7; 0; 0; 0; 4; 54; 0; 0; 1; 2; 11; 4; 0; 0; 1; 0; 1; 0; 0; 2; 0; 0; 0; 2; 3; 11; 0; 1; 1; 0; 1; 0; 16; 0; 0; 0; 0; 3; 0; 0; 0; 1; 0; 38; 0; 0; 0; 1; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 1; 0; 0; 2; 107; 2
1500803;Aljezur; 92; 0; 0; 5; 1; 0; 0; 0; 0; 2; 0; 0; 0; 0; 3; 0; 2; 1; 0; 0; 2; 0; 21; 0; 0; 0; 0; 0; 0; 0; 0; 38; 0; 0; 0; 0; 0; 0; 0; 0; 1; 0; 0; 0; 0; 0; 0; 0; 11; 1; 0; 0; 0; 0; 0; 0; 0; 3; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 1
1840201;Aljustrel; 220; 1; 0; 8; 0; 0; 1; 0; 1; 86; 1; 0; 0; 1; 0; 0; 3; 1; 0; 0; 10; 0; 28; 0; 0; 0; 0; 0; 0; 0; 0; 59; 0; 0; 0; 0; 0; 0; 0; 0; 3; 0; 0; 0; 1; 0; 0; 1; 1; 4; 0; 0; 0; 1; 0; 0; 7; 2; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0
1701503;Almada;5 642; 0; 0;1 292; 12; 0; 10; 0; 28; 8; 6; 1; 14; 63; 15; 0; 28; 21; 1; 0; 43; 0; 12; 0; 2; 7; 0; 0; 1; 1; 9;3 570; 0; 0; 0; 0; 1; 0; 2; 9; 89; 0; 0; 2; 4; 0; 1; 4; 2; 21; 0; 2; 0; 10; 0; 1; 324; 0; 3; 6; 0; 0; 0; 1; 1; 0; 1; 2; 6; 6
16J0902;Almeida; 174; 0; 0; 3; 0; 0; 5; 0; 1; 0; 0; 7; 1; 3; 9; 0; 19; 22; 0; 0; 1; 0; 0; 0; 0; 52; 0; 0; 3; 1; 2; 24; 0; 0; 0; 0; 0; 0; 0; 0; 1; 0; 0; 0; 1; 0; 0; 0; 0; 8; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 3; 8
1851403;Almeirim; 548; 1; 0; 30; 0; 1; 14; 0; 0; 2; 2; 1; 7; 2; 3; 0; 40; 4; 0; 0; 29; 0; 6; 0; 0; 2; 0; 0; 0; 0; 11; 169; 0; 0; 0; 0; 0; 0; 1; 0; 8; 1; 2; 0; 6; 0; 0; 2; 0; 4; 0; 20; 0; 159; 0; 0; 5; 0; 0; 13; 0; 0; 0; 0; 0; 0; 0; 0; 2; 1
1840202;Almodôvar; 141; 0; 0; 4; 0; 0; 0; 0; 0; 46; 0; 0; 0; 1; 0; 0; 6; 0; 0; 0; 5; 0; 34; 0; 0; 0; 0; 0; 0; 0; 0; 36; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 1; 0; 0; 1; 2; 0; 0; 0; 1; 0; 0; 2; 1; 0; 1; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0
