,"Tabela 3.1 - Inscritos em estabelecimentos de ensino superior residentes em Portugal segundo o concelho do estabelecimento de ensino superior por concelho da residência permanente do aluno, em 2015/16 - Todos os níveis formação",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
municipios,Abrantes,Águeda,Almada,Amadora,Angra do Heroísmo,Aveiro,Barcelos,Barreiro,Beja,Braga,Bragança,Caldas da Rainha,Cascais,Castelo Branco,Chaves,Coimbra,Covilhã,Elvas,Espinho,Évora,Fafe,Faro,Felgueiras,Funchal,Guarda,Guimarães,Horta,Idanha-a-Nova,Lamego,Leiria,Lisboa,Loulé,Maia,Marinha Grande,Matosinhos,Melgaço,Mirandela,Odivelas,Oeiras,Oliveira de Azeméis,Oliveira do Hospital,Paredes,Penafiel,Peniche,Ponta Delgada,Ponte de Lima,Portalegre,Portimão,Porto,Póvoa de Lanhoso,Rio Maior,Santa Maria da Feira,Santarém,Santiago do Cacém,Seia,Setúbal,Silves,Sintra,Tomar,Torres Novas,Torres Vedras,Valença,Viana do Castelo,Vila do Conde,Vila Nova de Cerveira,Vila Nova de Famalicão,Vila Nova de Gaia,Vila Real,Viseu
Entroncamento,11.00,0.00,29.00,1.00,0.00,32.00,0.00,0.00,3.00,2.00,0.00,4.00,9.00,21.00,0.00,73.00,27.00,0.00,0.00,17.00,0.00,9.00,0.00,0.00,2.00,1.00,0.00,0.00,0.00,41.00,249.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,12.00,1.00,1.00,0.00,0.00,5.00,0.00,0.00,8.00,2.00,24.00,0.00,6.00,0.00,37.00,0.00,0.00,4.00,0.00,6.00,102.00,4.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00,2.00
Espinho,0.00,8.00,2.00,0.00,0.00,183.00,2.00,0.00,0.00,22.00,7.00,1.00,0.00,4.00,0.00,42.00,10.00,0.00,0.00,2.00,0.00,1.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,32.00,0.00,19.00,0.00,38.00,0.00,1.00,0.00,2.00,14.00,0.00,4.00,0.00,0.00,1.00,1.00,0.00,0.00,524.00,0.00,0.00,15.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.00,8.00,0.00,0.00,49.00,13.00,6.00
Esposende,0.00,0.00,2.00,0.00,0.00,28.00,142.00,0.00,2.00,187.00,39.00,1.00,1.00,3.00,0.00,90.00,16.00,0.00,0.00,1.00,0.00,3.00,5.00,0.00,1.00,1.00,0.00,0.00,1.00,7.00,46.00,0.00,23.00,0.00,20.00,6.00,12.00,0.00,2.00,0.00,4.00,13.00,0.00,1.00,0.00,14.00,2.00,0.00,317.00,1.00,0.00,0.00,0.00,0.00,2.00,0.00,0.00,0.00,2.00,0.00,0.00,3.00,120.00,26.00,1.00,12.00,21.00,15.00,13.00
Estarreja,0.00,33.00,2.00,0.00,0.00,243.00,0.00,0.00,2.00,5.00,3.00,2.00,3.00,6.00,0.00,96.00,15.00,0.00,0.00,7.00,0.00,1.00,0.00,0.00,22.00,0.00,0.00,0.00,1.00,13.00,44.00,0.00,4.00,0.00,5.00,0.00,1.00,0.00,2.00,26.00,2.00,1.00,0.00,1.00,0.00,1.00,1.00,0.00,108.00,0.00,0.00,5.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,14.00,9.00,12.00
Estremoz,0.00,1.00,19.00,0.00,0.00,1.00,0.00,0.00,15.00,1.00,0.00,0.00,1.00,7.00,0.00,6.00,6.00,10.00,0.00,69.00,0.00,16.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,162.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,25.00,0.00,1.00,0.00,1.00,0.00,0.00,0.00,0.00,4.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00
Évora,2.00,0.00,84.00,3.00,1.00,5.00,0.00,2.00,51.00,8.00,0.00,2.00,11.00,6.00,0.00,32.00,11.00,4.00,0.00,1126.00,0.00,29.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,4.00,558.00,2.00,0.00,0.00,0.00,0.00,0.00,2.00,29.00,0.00,1.00,0.00,0.00,4.00,1.00,0.00,19.00,2.00,9.00,0.00,4.00,0.00,8.00,0.00,1.00,8.00,1.00,0.00,1.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,3.00,1.00,3.00
Fafe,0.00,0.00,4.00,1.00,0.00,28.00,24.00,0.00,0.00,359.00,82.00,1.00,0.00,4.00,0.00,82.00,44.00,1.00,0.00,3.00,99.00,3.00,58.00,0.00,1.00,0.00,0.00,0.00,1.00,3.00,42.00,0.00,11.00,0.00,15.00,0.00,15.00,0.00,2.00,0.00,2.00,15.00,1.00,0.00,0.00,3.00,1.00,0.00,279.00,7.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.00,0.00,0.00,1.00,16.00,8.00,0.00,9.00,15.00,71.00,6.00
Faro,0.00,0.00,58.00,2.00,0.00,4.00,0.00,0.00,32.00,5.00,0.00,5.00,12.00,3.00,0.00,58.00,10.00,1.00,0.00,39.00,1.00,1689.00,0.00,1.00,2.00,1.00,0.00,0.00,0.00,2.00,518.00,2.00,1.00,0.00,0.00,1.00,1.00,0.00,13.00,1.00,0.00,1.00,0.00,0.00,0.00,0.00,9.00,14.00,31.00,0.00,6.00,0.00,2.00,0.00,0.00,7.00,8.00,4.00,2.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,2.00
Felgueiras,3.00,2.00,3.00,1.00,0.00,41.00,7.00,0.00,0.00,187.00,77.00,3.00,1.00,3.00,0.00,118.00,23.00,0.00,0.00,6.00,26.00,2.00,250.00,0.00,4.00,1.00,0.00,1.00,2.00,13.00,60.00,0.00,20.00,0.00,28.00,2.00,12.00,0.00,0.00,0.00,1.00,40.00,14.00,1.00,0.00,1.00,0.00,1.00,367.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.00,4.00,9.00,0.00,9.00,15.00,128.00,11.00
Ferreira do Alentejo,0.00,0.00,10.00,0.00,0.00,2.00,0.00,0.00,68.00,0.00,0.00,3.00,0.00,1.00,0.00,2.00,0.00,0.00,0.00,14.00,0.00,6.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,50.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,3.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00
Ferreira do Zêzere,0.00,0.00,3.00,0.00,0.00,6.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00,7.00,0.00,37.00,7.00,0.00,0.00,8.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,17.00,54.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,2.00,0.00,0.00,0.00,0.00,0.00,53.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Figueira da Foz,1.00,10.00,12.00,2.00,0.00,143.00,0.00,0.00,0.00,8.00,5.00,12.00,5.00,20.00,0.00,1003.00,37.00,1.00,0.00,17.00,0.00,11.00,1.00,0.00,11.00,0.00,0.00,0.00,0.00,127.00,221.00,0.00,3.00,0.00,1.00,0.00,2.00,0.00,11.00,2.00,4.00,0.00,0.00,8.00,2.00,0.00,1.00,1.00,70.00,0.00,9.00,0.00,10.00,0.00,13.00,1.00,0.00,1.00,2.00,0.00,0.00,0.00,0.00,2.00,0.00,0.00,4.00,7.00,17.00
Figueira de Castelo Rodrigo,0.00,1.00,0.00,0.00,0.00,3.00,0.00,0.00,1.00,0.00,3.00,0.00,0.00,3.00,0.00,20.00,12.00,0.00,0.00,1.00,0.00,1.00,1.00,0.00,44.00,0.00,0.00,2.00,1.00,2.00,8.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,3.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.00,4.00
Figueiró dos Vinhos,0.00,0.00,1.00,0.00,0.00,1.00,0.00,0.00,0.00,2.00,0.00,1.00,0.00,2.00,0.00,58.00,2.00,0.00,0.00,2.00,0.00,1.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,22.00,24.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,0.00,0.00,1.00,0.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00,0.00
Fornos de Algodres,0.00,0.00,1.00,0.00,0.00,4.00,0.00,0.00,0.00,1.00,1.00,0.00,0.00,1.00,0.00,24.00,13.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9.00,0.00,0.00,2.00,2.00,1.00,11.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.00,0.00,0.00,0.00,1.00,0.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,19.00
Freixo de Espada à Cinta,0.00,0.00,0.00,0.00,0.00,2.00,0.00,0.00,0.00,1.00,17.00,0.00,0.00,2.00,0.00,6.00,2.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,2.00,0.00,0.00,0.00,0.00,0.00,2.00,0.00,0.00,0.00,0.00,0.00,6.00,0.00,0.00,0.00,0.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,5.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,12.00,2.00
Fronteira,0.00,0.00,3.00,0.00,0.00,1.00,0.00,0.00,1.00,2.00,0.00,0.00,0.00,4.00,0.00,3.00,1.00,2.00,0.00,5.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,3.00,0.00,0.00,12.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,15.00,1.00,0.00,0.00,1.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Funchal,1.00,0.00,65.00,3.00,4.00,45.00,6.00,2.00,8.00,75.00,10.00,7.00,44.00,14.00,0.00,181.00,44.00,2.00,0.00,31.00,0.00,38.00,1.00,1468.00,9.00,0.00,0.00,1.00,1.00,18.00,1071.00,0.00,4.00,0.00,5.00,0.00,3.00,2.00,57.00,0.00,5.00,6.00,0.00,6.00,4.00,0.00,1.00,1.00,284.00,0.00,11.00,0.00,9.00,0.00,0.00,16.00,0.00,3.00,4.00,0.00,0.00,2.00,8.00,0.00,0.00,3.00,21.00,29.00,16.00
Fundão,0.00,0.00,14.00,0.00,1.00,16.00,0.00,0.00,1.00,7.00,4.00,5.00,1.00,211.00,0.00,58.00,255.00,0.00,0.00,14.00,0.00,5.00,0.00,0.00,31.00,0.00,0.00,27.00,0.00,7.00,124.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,9.00,0.00,0.00,1.00,0.00,1.00,0.00,0.00,6.00,0.00,16.00,0.00,1.00,0.00,3.00,0.00,0.00,1.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00,12.00
Gavião,1.00,0.00,5.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,7.00,0.00,3.00,4.00,1.00,0.00,5.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,1.00,0.00,2.00,26.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,3.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Góis,0.00,0.00,0.00,0.00,0.00,3.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,48.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,5.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00
Golegã,6.00,0.00,2.00,0.00,0.00,2.00,0.00,0.00,0.00,0.00,0.00,2.00,2.00,5.00,0.00,6.00,4.00,0.00,0.00,7.00,0.00,5.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.00,30.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.00,0.00,3.00,0.00,21.00,0.00,0.00,1.00,0.00,0.00,22.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Gondomar,0.00,4.00,6.00,1.00,0.00,100.00,16.00,0.00,1.00,103.00,11.00,5.00,1.00,5.00,0.00,71.00,33.00,0.00,0.00,1.00,0.00,8.00,19.00,1.00,6.00,0.00,0.00,1.00,3.00,10.00,138.00,0.00,271.00,0.00,464.00,4.00,6.00,0.00,4.00,5.00,0.00,69.00,1.00,3.00,0.00,3.00,2.00,0.00,2993.00,0.00,0.00,0.00,0.00,0.00,2.00,0.00,0.00,0.00,2.00,0.00,0.00,0.00,12.00,65.00,0.00,2.00,204.00,60.00,6.00
Gouveia,0.00,0.00,3.00,0.00,0.00,26.00,0.00,0.00,0.00,4.00,4.00,0.00,0.00,14.00,0.00,88.00,28.00,0.00,0.00,2.00,0.00,1.00,0.00,0.00,36.00,0.00,0.00,0.00,1.00,5.00,35.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00,1.00,0.00,18.00,0.00,0.00,0.00,0.00,0.00,6.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,11.00,29.00
Grândola,1.00,0.00,10.00,1.00,0.00,0.00,0.00,0.00,38.00,1.00,2.00,0.00,1.00,1.00,0.00,3.00,0.00,0.00,0.00,24.00,0.00,21.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00,115.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,1.00,0.00,4.00,0.00,1.00,0.00,2.00,0.00,0.00,26.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Guarda,0.00,2.00,24.00,0.00,0.00,67.00,0.00,1.00,0.00,7.00,7.00,7.00,5.00,53.00,1.00,300.00,280.00,0.00,0.00,14.00,0.00,8.00,0.00,0.00,712.00,0.00,0.00,15.00,2.00,10.00,279.00,0.00,1.00,0.00,1.00,0.00,2.00,0.00,14.00,0.00,0.00,4.00,0.00,0.00,0.00,0.00,3.00,0.00,79.00,0.00,0.00,0.00,0.00,0.00,16.00,3.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,25.00,59.00
Guimarães,1.00,1.00,12.00,2.00,0.00,91.00,283.00,0.00,1.00,2132.00,127.00,7.00,1.00,7.00,1.00,267.00,82.00,0.00,0.00,10.00,93.00,14.00,141.00,0.00,30.00,35.00,0.00,2.00,1.00,19.00,145.00,0.00,76.00,0.00,53.00,8.00,41.00,0.00,4.00,2.00,1.00,24.00,1.00,6.00,2.00,10.00,1.00,0.00,795.00,6.00,1.00,0.00,1.00,1.00,9.00,2.00,0.00,2.00,8.00,0.00,0.00,8.00,106.00,54.00,1.00,152.00,48.00,263.00,21.00
Horta,1.00,0.00,6.00,0.00,7.00,15.00,1.00,0.00,2.00,12.00,8.00,0.00,0.00,3.00,0.00,29.00,1.00,0.00,0.00,4.00,1.00,6.00,0.00,0.00,4.00,0.00,14.00,0.00,0.00,4.00,133.00,0.00,1.00,0.00,2.00,0.00,1.00,1.00,3.00,0.00,0.00,1.00,0.00,0.00,33.00,0.00,2.00,1.00,18.00,0.00,2.00,0.00,4.00,0.00,0.00,3.00,0.00,0.00,4.00,0.00,0.00,0.00,0.00,1.00,0.00,5.00,3.00,3.00,2.00
Idanha-a-Nova,0.00,0.00,3.00,0.00,0.00,1.00,0.00,0.00,0.00,2.00,2.00,0.00,0.00,50.00,0.00,7.00,16.00,0.00,0.00,4.00,0.00,1.00,0.00,0.00,1.00,0.00,0.00,72.00,0.00,1.00,18.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00,0.00
Ílhavo,0.00,64.00,6.00,1.00,1.00,609.00,4.00,0.00,0.00,8.00,5.00,2.00,2.00,9.00,0.00,307.00,19.00,0.00,0.00,4.00,0.00,1.00,0.00,0.00,13.00,0.00,0.00,1.00,3.00,10.00,85.00,0.00,5.00,0.00,1.00,0.00,3.00,0.00,16.00,8.00,2.00,0.00,1.00,3.00,1.00,2.00,2.00,0.00,108.00,0.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,9.00,13.00,38.00
Lagoa (Algarve),0.00,0.00,18.00,0.00,0.00,5.00,0.00,0.00,5.00,1.00,1.00,2.00,0.00,9.00,0.00,22.00,5.00,0.00,0.00,27.00,0.00,101.00,0.00,0.00,0.00,0.00,0.00,1.00,2.00,3.00,126.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,9.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,4.00,71.00,5.00,0.00,2.00,0.00,0.00,1.00,0.00,4.00,13.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00
Lagoa (R.A.A.),0.00,0.00,3.00,0.00,7.00,0.00,0.00,0.00,0.00,4.00,1.00,2.00,0.00,1.00,0.00,8.00,1.00,0.00,0.00,4.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,59.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,139.00,0.00,3.00,0.00,19.00,0.00,1.00,0.00,0.00,0.00,0.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00,4.00,0.00
Lagos,0.00,0.00,37.00,0.00,0.00,4.00,2.00,1.00,13.00,1.00,1.00,5.00,4.00,9.00,0.00,24.00,4.00,0.00,0.00,27.00,0.00,138.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,4.00,228.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,9.00,1.00,0.00,0.00,0.00,3.00,0.00,0.00,2.00,58.00,13.00,0.00,2.00,0.00,2.00,0.00,0.00,3.00,5.00,0.00,6.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00
Lajes das Flores,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,3.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Lajes do Pico,0.00,0.00,1.00,1.00,10.00,4.00,0.00,0.00,1.00,0.00,1.00,0.00,0.00,0.00,0.00,15.00,2.00,0.00,0.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,23.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00,0.00,0.00,0.00,0.00,0.00,8.00,0.00,0.00,0.00,5.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,5.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00
Lamego,1.00,3.00,8.00,0.00,0.00,41.00,0.00,0.00,0.00,32.00,36.00,0.00,1.00,5.00,0.00,111.00,48.00,0.00,0.00,0.00,0.00,3.00,0.00,0.00,11.00,0.00,0.00,0.00,122.00,6.00,52.00,0.00,2.00,0.00,9.00,0.00,6.00,0.00,3.00,0.00,1.00,3.00,0.00,1.00,0.00,1.00,0.00,0.00,192.00,0.00,0.00,0.00,1.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,11.00,103.00,75.00
Leiria,3.00,0.00,86.00,6.00,1.00,136.00,1.00,0.00,8.00,29.00,6.00,107.00,20.00,46.00,0.00,725.00,76.00,2.00,0.00,67.00,0.00,23.00,0.00,1.00,5.00,0.00,0.00,4.00,0.00,2323.00,1084.00,0.00,4.00,23.00,4.00,0.00,4.00,0.00,46.00,1.00,1.00,2.00,0.00,91.00,2.00,1.00,16.00,1.00,88.00,0.00,29.00,0.00,30.00,0.00,2.00,6.00,0.00,3.00,19.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.00,19.00,18.00
Lisboa,4.00,0.00,1081.00,108.00,2.00,44.00,5.00,24.00,13.00,50.00,13.00,72.00,296.00,31.00,0.00,234.00,54.00,5.00,0.00,129.00,0.00,88.00,0.00,7.00,16.00,0.00,0.00,3.00,0.00,29.00,23640.00,0.00,2.00,0.00,3.00,0.00,6.00,71.00,628.00,1.00,3.00,6.00,0.00,24.00,10.00,0.00,10.00,4.00,166.00,0.00,17.00,0.00,48.00,0.00,3.00,73.00,0.00,11.00,18.00,0.00,0.00,0.00,1.00,1.00,0.00,0.00,5.00,18.00,18.00
Loulé,1.00,0.00,30.00,0.00,0.00,10.00,0.00,0.00,16.00,7.00,3.00,2.00,4.00,8.00,0.00,44.00,15.00,0.00,0.00,35.00,0.00,731.00,0.00,0.00,0.00,0.00,0.00,3.00,0.00,7.00,357.00,18.00,1.00,0.00,0.00,0.00,0.00,0.00,11.00,0.00,1.00,0.00,0.00,2.00,0.00,0.00,6.00,19.00,21.00,0.00,2.00,0.00,4.00,0.00,0.00,8.00,7.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,2.00,1.00
Loures,4.00,0.00,250.00,12.00,2.00,9.00,0.00,11.00,6.00,9.00,4.00,24.00,69.00,14.00,0.00,33.00,15.00,0.00,0.00,27.00,0.00,36.00,0.00,0.00,6.00,0.00,0.00,0.00,0.00,12.00,4773.00,0.00,1.00,0.00,0.00,0.00,3.00,58.00,134.00,0.00,2.00,0.00,0.00,14.00,2.00,0.00,7.00,1.00,22.00,0.00,15.00,0.00,57.00,0.00,2.00,70.00,0.00,3.00,15.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,3.00,3.00,6.00
Lourinhã,0.00,0.00,19.00,0.00,0.00,5.00,1.00,1.00,2.00,4.00,2.00,10.00,5.00,1.00,0.00,26.00,6.00,0.00,0.00,17.00,0.00,6.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,40.00,297.00,0.00,0.00,0.00,0.00,0.00,0.00,4.00,15.00,0.00,0.00,0.00,0.00,28.00,1.00,0.00,2.00,1.00,4.00,0.00,12.00,0.00,13.00,0.00,0.00,1.00,0.00,1.00,2.00,0.00,7.00,0.00,0.00,0.00,0.00,0.00,0.00,3.00,3.00
Lousã,0.00,0.00,1.00,0.00,0.00,11.00,0.00,0.00,0.00,1.00,1.00,1.00,0.00,4.00,0.00,425.00,10.00,0.00,0.00,2.00,0.00,0.00,0.00,0.00,2.00,0.00,0.00,0.00,0.00,4.00,26.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,1.00,5.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,9.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00,3.00,2.00
Lousada,0.00,1.00,3.00,0.00,0.00,21.00,2.00,0.00,0.00,81.00,87.00,3.00,0.00,1.00,0.00,72.00,28.00,0.00,0.00,2.00,0.00,4.00,109.00,0.00,6.00,0.00,0.00,0.00,1.00,4.00,41.00,0.00,43.00,0.00,42.00,0.00,24.00,0.00,1.00,1.00,0.00,54.00,11.00,0.00,0.00,0.00,0.00,0.00,420.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00,0.00,0.00,1.00,5.00,7.00,0.00,2.00,26.00,45.00,7.00
Mação,4.00,0.00,4.00,0.00,0.00,4.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,18.00,0.00,16.00,7.00,1.00,0.00,2.00,0.00,5.00,0.00,0.00,1.00,0.00,0.00,2.00,0.00,6.00,43.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,10.00,0.00,2.00,0.00,5.00,0.00,12.00,0.00,0.00,0.00,0.00,0.00,21.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,2.00,0.00
Macedo de Cavaleiros,0.00,0.00,4.00,0.00,0.00,8.00,3.00,0.00,1.00,22.00,178.00,0.00,0.00,1.00,1.00,51.00,18.00,0.00,0.00,2.00,0.00,0.00,0.00,0.00,3.00,0.00,0.00,0.00,0.00,3.00,35.00,0.00,3.00,0.00,1.00,0.00,28.00,0.00,0.00,0.00,0.00,2.00,0.00,0.00,0.00,0.00,1.00,0.00,61.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,43.00,7.00
Machico,0.00,0.00,3.00,2.00,0.00,9.00,0.00,1.00,2.00,12.00,1.00,1.00,0.00,17.00,0.00,53.00,16.00,0.00,0.00,7.00,0.00,7.00,0.00,223.00,1.00,0.00,0.00,0.00,1.00,10.00,91.00,0.00,0.00,0.00,2.00,0.00,1.00,0.00,5.00,0.00,0.00,0.00,0.00,3.00,8.00,0.00,5.00,0.00,46.00,0.00,2.00,0.00,7.00,0.00,0.00,2.00,1.00,0.00,1.00,0.00,0.00,0.00,0.00,2.00,0.00,1.00,5.00,2.00,1.00
Madalena,1.00,1.00,2.00,0.00,6.00,3.00,0.00,0.00,0.00,2.00,0.00,0.00,0.00,2.00,0.00,15.00,3.00,0.00,0.00,3.00,0.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,4.00,38.00,0.00,0.00,0.00,1.00,0.00,0.00,1.00,2.00,0.00,0.00,0.00,0.00,0.00,15.00,0.00,1.00,0.00,9.00,0.00,1.00,0.00,1.00,0.00,0.00,3.00,0.00,0.00,5.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,2.00,3.00,1.00
