PORTAL INFOCURSOS;;;;;;;;;;;;
;;;;;;;;;;;;
5) Distribuição dos alunos inscritos por sexo;;;;;;;;;;;;
;;;;;;;;;;;;
Estabelecimento;CodigoEstabelecimento;UnidadeOrganica;CodigoUnidadeOrganica;Natureza;TipoEnsino;NomeCurso;CodigoCurso;Grau;NumeroInscritos;NumeroHomens;NumeroMulheres;AnoLetivo
Universidade dos Açores;0100;Faculdade de Ciências Agrárias e do Ambiente;0140;Publico;Universitario;Ciências Agrárias;9022;Licenciatura;60;34;26;2016/17
Universidade dos Açores;0100;Faculdade de Ciências Agrárias e do Ambiente;0140;Publico;Universitario;Natureza e Património;L121;Licenciatura;25;12;13;2016/17
Universidade dos Açores;0100;Faculdade de Ciências Sociais e Humanas;0150;Publico;Universitario;História;9181;Licenciatura;53;26;27;2016/17
Universidade dos Açores;0100;Faculdade de Ciências Sociais e Humanas;0150;Publico;Universitario;Psicologia;9219;Licenciatura;126;29;97;2016/17
Universidade dos Açores;0100;Faculdade de Ciências Sociais e Humanas;0150;Publico;Universitario;Serviço Social;9238;Licenciatura;132;19;113;2016/17
Universidade dos Açores;0100;Faculdade de Ciências Sociais e Humanas;0150;Publico;Universitario;Sociologia;9240;Licenciatura;97;26;71;2016/17
Universidade dos Açores;0100;Faculdade de Ciências Sociais e Humanas;0150;Publico;Universitario;Relações Públicas e Comunicação;9798;Licenciatura;132;37;95;2016/17
Universidade dos Açores;0100;Faculdade de Ciências Sociais e Humanas;0150;Publico;Universitario;Educação Básica;9853;Licenciatura;76;9;67;2016/17
Universidade dos Açores;0100;Faculdade de Ciências Sociais e Humanas;0150;Publico;Universitario;Estudos Portugueses e Ingleses;L041;Licenciatura;24;5;19;2016/17
Universidade dos Açores;0100;Faculdade de Ciências Sociais e Humanas;0150;Publico;Universitario;Estudos Euro-Atlânticos;L086;Licenciatura;47;26;21;2016/17
Universidade dos Açores;0100;Faculdade de Ciências e Tecnologia;0160;Publico;Universitario;Protecção Civil e Gestão de Riscos;8524;Licenciatura;73;48;25;2016/17
Universidade dos Açores;0100;Faculdade de Ciências e Tecnologia;0160;Publico;Universitario;Biologia;9011;Licenciatura;86;32;54;2016/17
Universidade dos Açores;0100;Faculdade de Ciências e Tecnologia;0160;Publico;Universitario;Ciências do Mar;9041;Licenciatura;20;9;11;2016/17
Universidade dos Açores;0100;Faculdade de Ciências e Tecnologia;0160;Publico;Universitario;Informática - Redes e Multimédia;9384;Licenciatura;107;97;10;2016/17
Universidade dos Açores;0100;Faculdade de Economia e Gestão;0170;Publico;Universitario;Economia;9081;Licenciatura;76;48;28;2016/17
Universidade dos Açores;0100;Faculdade de Economia e Gestão;0170;Publico;Universitario;Gestão;9147;Licenciatura;274;143;131;2016/17
Universidade dos Açores;0100;Faculdade de Economia e Gestão;0170;Publico;Universitario;Turismo;9254;Licenciatura;133;62;71;2016/17
Universidade dos Açores;0100;Escola Superior de Saúde - Angra do Heroísmo;7092;Publico;Politecnico;Enfermagem;9500;Licenciatura;163;39;124;2016/17
Universidade dos Açores;0100;Escola Superior de Saúde - Ponta Delgada;7093;Publico;Politecnico;Enfermagem;9500;Licenciatura;204;48;156;2016/17
Universidade do Algarve;0200;Universidade do Algarve;0200;Publico;Universitario;Ciências Biomédicas;9351;Licenciatura;157;39;118;2016/17
Universidade do Algarve;0200;Faculdade de Ciências Humanas e Sociais;0201;Publico;Universitario;Património Cultural e Arqueologia;8509;Licenciatura;61;28;33;2016/17
Universidade do Algarve;0200;Faculdade de Ciências Humanas e Sociais;0201;Publico;Universitario;Línguas, Literaturas e Culturas;9204;Licenciatura;68;18;50;2016/17
Universidade do Algarve;0200;Faculdade de Ciências Humanas e Sociais;0201;Publico;Universitario;Psicologia;9219;Licenciatura;225;45;180;2016/17
Universidade do Algarve;0200;Faculdade de Ciências Humanas e Sociais;0201;Publico;Universitario;Artes Visuais;9817;Licenciatura;65;19;46;2016/17
Universidade do Algarve;0200;Faculdade de Ciências Humanas e Sociais;0201;Publico;Universitario;Ciências da Educação e da Formação;9821;Licenciatura;82;6;76;2016/17
Universidade do Algarve;0200;Faculdade de Ciências Humanas e Sociais;0201;Publico;Universitario;Línguas e Comunicação;9834;Licenciatura;86;27;59;2016/17
Universidade do Algarve;0200;Faculdade de Ciências e Tecnologia;0203;Publico;Universitario;Arquitectura Paisagista;8258;Licenciatura;48;21;27;2016/17
Universidade do Algarve;0200;Faculdade de Ciências e Tecnologia;0203;Publico;Universitario;Agronomia;9003;Licenciatura;52;34;18;2016/17
Universidade do Algarve;0200;Faculdade de Ciências e Tecnologia;0203;Publico;Universitario;Biologia;9011;Licenciatura;139;66;73;2016/17
Universidade do Algarve;0200;Faculdade de Ciências e Tecnologia;0203;Publico;Universitario;Biologia Marinha;9013;Licenciatura;177;76;101;2016/17
Universidade do Algarve;0200;Faculdade de Ciências e Tecnologia;0203;Publico;Universitario;Bioquímica;9015;Licenciatura;53;24;29;2016/17
Universidade do Algarve;0200;Faculdade de Ciências e Tecnologia;0203;Publico;Universitario;Biotecnologia;9016;Licenciatura;79;34;45;2016/17
Universidade do Algarve;0200;Faculdade de Ciências e Tecnologia;0203;Publico;Universitario;Engenharia Informática;9119;Licenciatura;207;185;22;2016/17
Universidade do Algarve;0200;Faculdade de Ciências e Tecnologia;0203;Publico;Universitario;Ciências Farmacêuticas;9494;MestradoIntegrado;204;51;153;2016/17
Universidade do Algarve;0200;Faculdade de Ciências e Tecnologia;0203;Publico;Universitario;Gestão Marinha e Costeira;L123;Licenciatura;17;12;5;2016/17
Universidade do Algarve;0200;Faculdade de Economia;0204;Publico;Universitario;Economia;9081;Licenciatura;115;72;43;2016/17
Universidade do Algarve;0200;Faculdade de Economia;0204;Publico;Universitario;Gestão de Empresas;9152;Licenciatura;244;131;113;2016/17
