Estabelecimento;CodigoEstabelecimento;UnidadeOrganica;CodigoUnidadeOrganica;Natureza;TipoEnsino;NomeCurso;CodigoCurso;Grau;NotaFinalMedia;NumeroInscritos;NumeroHomens;NumeroMulheres;NumeroPortugueses;NumeroEstrangeiros;TaxaDesempregoRegistadoCurso
Universidade dos Açores;0100;Universidade dos Açores - Angra do Heroísmo;0110;Publico;Universitario;Ciências Agrárias;9022;Licenciatura;12,70588235;60;32;28;57;3;
Universidade dos Açores;0100;Universidade dos Açores - Angra do Heroísmo;0110;Publico;Universitario;Guias da Natureza;9382;Licenciatura;13,74074074;52;28;24;50;2;
Universidade dos Açores;0100;Universidade dos Açores - Angra do Heroísmo;0110;Publico;Universitario;Energias Renováveis;9934;Licenciatura;13,76923077;71;55;16;70;1;
Universidade dos Açores;0100;Universidade dos Açores - Ponta Delgada;0130;Publico;Universitario;Protecção Civil e Gestão de Riscos;8524;Licenciatura;0;49;36;13;49;0;
Universidade dos Açores;0100;Universidade dos Açores - Ponta Delgada;0130;Publico;Universitario;Biologia;9011;Licenciatura;13,36363636;100;47;53;82;18;
Universidade dos Açores;0100;Universidade dos Açores - Ponta Delgada;0130;Publico;Universitario;Economia;9081;Licenciatura;12,97435897;105;70;35;99;6;
Universidade dos Açores;0100;Universidade dos Açores - Ponta Delgada;0130;Publico;Universitario;Gestão;9147;Licenciatura;13,22972973;429;213;216;423;6;
Universidade dos Açores;0100;Universidade dos Açores - Ponta Delgada;0130;Publico;Universitario;História;9181;Licenciatura;13,44444444;21;10;11;21;0;
Universidade dos Açores;0100;Universidade dos Açores - Ponta Delgada;0130;Publico;Universitario;Psicologia;9219;Licenciatura;13,70833333;139;40;99;137;2;
Universidade dos Açores;0100;Universidade dos Açores - Ponta Delgada;0130;Publico;Universitario;Serviço Social;9238;Licenciatura;13,72881356;137;18;119;137;0;
Universidade dos Açores;0100;Universidade dos Açores - Ponta Delgada;0130;Publico;Universitario;Sociologia;9240;Licenciatura;12,72093023;76;18;58;74;2;
Universidade dos Açores;0100;Universidade dos Açores - Ponta Delgada;0130;Publico;Universitario;Turismo;9254;Licenciatura;13,36538462;128;58;70;116;12;
Universidade dos Açores;0100;Universidade dos Açores - Ponta Delgada;0130;Publico;Universitario;Informática - Redes e Multimédia;9384;Licenciatura;13,69047619;103;96;7;101;2;
Universidade dos Açores;0100;Universidade dos Açores - Ponta Delgada;0130;Publico;Universitario;Ciências Biológicas e da Saúde;9699;Licenciatura;13,79310345;40;15;25;40;0;
Universidade dos Açores;0100;Universidade dos Açores - Ponta Delgada;0130;Publico;Universitario;Estudos Europeus e Política Internacional;9756;Licenciatura;12,96774194;69;40;29;67;2;
Universidade dos Açores;0100;Universidade dos Açores - Ponta Delgada;0130;Publico;Universitario;Relações Públicas e Comunicação;9798;Licenciatura;13,09230769;133;45;88;129;4;
Universidade dos Açores;0100;Universidade dos Açores - Ponta Delgada;0130;Publico;Universitario;Educação Básica;9853;Licenciatura;13,67567568;152;16;136;150;2;
Universidade dos Açores;0100;Escola Superior de Enfermagem de Angra do Heroísmo;7090;Publico;Politecnico;Enfermagem;9500;Licenciatura;14,79069767;159;46;113;155;4;
