,,,,,,,,,
,ACESSO AO ENSINO SUPERIOR 2017 - 1ª FASE DO CONCURSO NACIONAL DE ACESSO,,,,,,,,
,Resultados,,,,,,,,
,,,,,,,,,
,Código Instit.,Código Curso,Instituição,Curso,Grau,Vagas Iniciais,Colocados,Nota do últ. colocado (cont. geral),Vagas sobrantes
,0300,9016,Universidade de Aveiro,Biotecnologia,L1,55,55,150.6,0
,0300,9041,Universidade de Aveiro,Ciências do Mar,L1,25,25,122.5,0
,0300,9069,Universidade de Aveiro,Design,L1,50,50,163.2,0
,0300,9081,Universidade de Aveiro,Economia,L1,48,48,157.2,0
,0300,9119,Universidade de Aveiro,Engenharia Informática,L1,50,50,161.5,0
,0300,9141,Universidade de Aveiro,Física,L1,20,17,110.5,3
,0300,9146,Universidade de Aveiro,Geologia,L1,20,12,97.4,8
,0300,9147,Universidade de Aveiro,Gestão,L1,40,40,162.8,0
,0300,9194,Universidade de Aveiro,Línguas e Estudos Editoriais,L1,23,24,143.4,0
,0300,9196,Universidade de Aveiro,Línguas e Relações Empresariais,L1,70,70,149.4,0
,0300,9204,Universidade de Aveiro,"Línguas, Literaturas e Culturas",L1,29,29,134.6,0
,0300,9209,Universidade de Aveiro,Matemática,L1,20,20,139.0,0
,0300,9212,Universidade de Aveiro,"Meteorologia, Oceanografia e Geofísica",L1,20,20,107.5,0
,0300,9214,Universidade de Aveiro,Música,L1,54,54,151.9,0
,0300,9215,Universidade de Aveiro,Novas Tecnologias da Comunicação,L1,66,68,133.6,0
,0300,9219,Universidade de Aveiro,Psicologia,L1,30,30,138.5,0
,0300,9252,Universidade de Aveiro,Tradução,L1,32,32,137.2,0
,0300,9254,Universidade de Aveiro,Turismo,L1,23,23,149.0,0
,0300,9351,Universidade de Aveiro,Ciências Biomédicas,L1,68,68,162.0,0
,0300,9359,Universidade de Aveiro,Engenharia Biomédica,MI,31,31,169.0,0
,0300,9360,Universidade de Aveiro,Engenharia Civil,MI,20,20,114.6,0
,0300,9361,Universidade de Aveiro,Engenharia de Computadores e Telemática,MI,80,80,143.0,0
,0300,9363,Universidade de Aveiro,Engenharia de Materiais,MI,20,20,141.4,0
,0300,9365,Universidade de Aveiro,Engenharia Eletrónica e Telecomunicações,MI,80,80,133.8,0
,0300,9368,Universidade de Aveiro,Engenharia Física,MI,35,35,144.0,0
,0300,9369,Universidade de Aveiro,Engenharia Mecânica,MI,100,100,149.8,0
,0300,9461,Universidade de Aveiro,Engenharia Química,MI,40,40,140.6,0
