,"Tabela 3.1 - Inscritos em estabelecimentos de ensino superior residentes em Portugal por município do estabelecimento de ensino superior e município da residência permanente do aluno, em 2019/20 - Todos os cursos/ciclos de estudos",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
municipios,Abrantes,Águeda,Almada,Amadora,Amares,Angra do Heroísmo,Aveiro,Barcelos,Barreiro,Beja,Braga,Bragança,Caldas da Rainha,Cascais,Castelo Branco,Chaves,Coimbra,Covilhã,Elvas,Évora,Fafe,Faro,Felgueiras,Funchal,Guarda,Guimarães,Idanha-a-Nova,Lamego,Leiria,Lisboa,Maia,Marinha Grande,Matosinhos,Melgaço,Mirandela,Odivelas,Oeiras,Oliveira de Azeméis,Oliveira do Hospital,Paredes,Penafiel,Peniche,Ponta Delgada,Ponte de Lima,Portalegre,Portimão,Porto,Rio Maior,Santa Maria da Feira,Santarém,Seia,Setúbal,Silves,Sintra,Tomar,Valença,Viana do Castelo,Vila do Conde,Vila Nova de Cerveira,Vila Nova de Famalicão,Vila Nova de Gaia,Vila Real,Viseu
Estarreja,0.00,39.00,1.00,0.00,0.00,0.00,216.00,1.00,0.00,0.00,13.00,1.00,2.00,0.00,7.00,0.00,82.00,22.00,1.00,6.00,0.00,2.00,0.00,0.00,10.00,0.00,0.00,1.00,7.00,48.00,8.00,0.00,5.00,0.00,2.00,0.00,2.00,31.00,4.00,3.00,0.00,4.00,0.00,0.00,1.00,2.00,106.00,0.00,9.00,0.00,0.00,0.00,0.00,0.00,5.00,0.00,0.00,2.00,0.00,0.00,8.00,9.00,24.00
Estremoz,0.00,0.00,22.00,0.00,0.00,0.00,5.00,1.00,0.00,13.00,1.00,0.00,2.00,5.00,7.00,0.00,8.00,7.00,13.00,86.00,0.00,10.00,0.00,0.00,2.00,0.00,0.00,0.00,0.00,128.00,0.00,0.00,0.00,0.00,0.00,0.00,7.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,24.00,0.00,0.00,1.00,0.00,4.00,0.00,9.00,0.00,1.00,3.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00
Évora,1.00,4.00,75.00,3.00,0.00,1.00,12.00,0.00,4.00,52.00,8.00,4.00,8.00,20.00,11.00,0.00,52.00,13.00,9.00,1298.00,0.00,41.00,0.00,0.00,1.00,0.00,2.00,0.00,10.00,618.00,1.00,0.00,0.00,0.00,0.00,0.00,20.00,0.00,0.00,0.00,0.00,8.00,0.00,0.00,36.00,7.00,25.00,3.00,0.00,6.00,0.00,16.00,0.00,1.00,4.00,0.00,0.00,0.00,0.00,0.00,1.00,2.00,2.00
Fafe,0.00,2.00,1.00,0.00,7.00,0.00,41.00,20.00,0.00,0.00,425.00,55.00,0.00,0.00,5.00,0.00,97.00,29.00,0.00,5.00,191.00,1.00,62.00,1.00,5.00,0.00,2.00,2.00,4.00,51.00,9.00,0.00,15.00,0.00,23.00,0.00,7.00,1.00,6.00,6.00,0.00,0.00,0.00,5.00,0.00,0.00,275.00,0.00,0.00,2.00,1.00,1.00,0.00,0.00,1.00,2.00,18.00,3.00,0.00,23.00,23.00,53.00,10.00
Faro,1.00,0.00,50.00,2.00,0.00,0.00,13.00,1.00,0.00,49.00,9.00,4.00,2.00,13.00,1.00,0.00,80.00,12.00,5.00,66.00,0.00,1942.00,0.00,0.00,3.00,0.00,1.00,0.00,3.00,509.00,0.00,0.00,3.00,1.00,2.00,0.00,21.00,1.00,0.00,2.00,0.00,2.00,1.00,0.00,7.00,21.00,31.00,9.00,0.00,1.00,0.00,7.00,9.00,1.00,1.00,0.00,0.00,0.00,0.00,1.00,3.00,4.00,7.00
Felgueiras,0.00,5.00,0.00,0.00,0.00,0.00,53.00,8.00,0.00,1.00,219.00,116.00,2.00,2.00,4.00,0.00,106.00,20.00,0.00,10.00,44.00,1.00,265.00,0.00,5.00,0.00,0.00,1.00,10.00,37.00,25.00,0.00,41.00,0.00,35.00,0.00,0.00,2.00,0.00,27.00,7.00,2.00,1.00,1.00,0.00,0.00,416.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,2.00,10.00,9.00,0.00,6.00,29.00,120.00,10.00
Ferreira do Alentejo,0.00,0.00,7.00,0.00,0.00,0.00,0.00,0.00,0.00,63.00,0.00,0.00,1.00,0.00,2.00,0.00,4.00,0.00,0.00,25.00,0.00,7.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,63.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00,0.00,0.00,0.00,1.00,0.00,2.00,1.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Ferreira do Zêzere,0.00,0.00,5.00,0.00,0.00,0.00,9.00,0.00,0.00,0.00,0.00,0.00,2.00,4.00,4.00,0.00,51.00,6.00,0.00,3.00,0.00,3.00,0.00,0.00,3.00,0.00,2.00,0.00,20.00,48.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,0.00,0.00,5.00,0.00,0.00,2.00,0.00,6.00,3.00,0.00,6.00,0.00,0.00,0.00,0.00,30.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Figueira da Foz,1.00,5.00,24.00,2.00,0.00,0.00,147.00,0.00,0.00,0.00,14.00,7.00,18.00,17.00,26.00,0.00,924.00,39.00,2.00,10.00,1.00,16.00,2.00,0.00,16.00,0.00,0.00,1.00,149.00,248.00,10.00,0.00,3.00,0.00,5.00,0.00,29.00,5.00,14.00,1.00,0.00,15.00,4.00,1.00,9.00,0.00,84.00,5.00,0.00,12.00,3.00,1.00,0.00,1.00,9.00,0.00,2.00,1.00,0.00,0.00,6.00,7.00,11.00
Figueira de Castelo Rodrigo,0.00,0.00,0.00,0.00,0.00,0.00,2.00,0.00,0.00,1.00,0.00,5.00,1.00,1.00,6.00,0.00,12.00,20.00,0.00,0.00,0.00,1.00,0.00,0.00,19.00,0.00,1.00,1.00,0.00,9.00,1.00,0.00,0.00,0.00,2.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00,0.00,3.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.00,5.00
Figueiró dos Vinhos,1.00,0.00,0.00,0.00,0.00,0.00,4.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,6.00,0.00,49.00,2.00,0.00,3.00,0.00,2.00,0.00,0.00,0.00,0.00,1.00,0.00,13.00,10.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,2.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,3.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00
Fornos de Algodres,0.00,0.00,1.00,0.00,0.00,0.00,9.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,3.00,0.00,20.00,12.00,0.00,1.00,0.00,0.00,0.00,0.00,7.00,0.00,2.00,1.00,0.00,7.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,0.00,0.00,0.00,4.00,0.00,0.00,0.00,5.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00,25.00
Freixo de Espada à Cinta,0.00,0.00,0.00,0.00,0.00,0.00,2.00,0.00,0.00,0.00,1.00,21.00,0.00,0.00,2.00,0.00,5.00,8.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,5.00,0.00
Fronteira,1.00,0.00,3.00,0.00,0.00,0.00,0.00,0.00,0.00,3.00,0.00,0.00,0.00,0.00,1.00,0.00,3.00,2.00,2.00,16.00,0.00,3.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,19.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20.00,0.00,1.00,0.00,0.00,1.00,0.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00
Funchal,2.00,1.00,83.00,1.00,0.00,4.00,44.00,3.00,0.00,15.00,86.00,7.00,5.00,64.00,13.00,0.00,211.00,55.00,1.00,37.00,0.00,32.00,4.00,1444.00,9.00,0.00,5.00,0.00,27.00,1132.00,13.00,0.00,24.00,0.00,2.00,0.00,54.00,1.00,5.00,2.00,0.00,9.00,6.00,4.00,1.00,3.00,287.00,23.00,0.00,9.00,0.00,15.00,0.00,2.00,6.00,3.00,10.00,6.00,0.00,0.00,19.00,29.00,18.00
Fundão,1.00,0.00,14.00,0.00,0.00,0.00,25.00,0.00,0.00,2.00,11.00,4.00,3.00,7.00,196.00,0.00,59.00,223.00,0.00,16.00,0.00,4.00,0.00,0.00,37.00,0.00,24.00,0.00,12.00,136.00,3.00,0.00,0.00,0.00,2.00,0.00,6.00,0.00,0.00,2.00,0.00,2.00,0.00,0.00,7.00,1.00,16.00,2.00,0.00,0.00,0.00,2.00,0.00,1.00,3.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,6.00
Gavião,0.00,0.00,2.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,4.00,0.00,5.00,2.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,19.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,7.00,0.00,0.00,1.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Góis,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,52.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,0.00,4.00,3.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,3.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00
Golegã,1.00,0.00,1.00,0.00,0.00,0.00,4.00,0.00,0.00,1.00,0.00,0.00,0.00,2.00,1.00,0.00,7.00,6.00,0.00,4.00,0.00,3.00,0.00,0.00,0.00,0.00,0.00,0.00,16.00,53.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,5.00,0.00,0.00,3.00,0.00,0.00,4.00,0.00,35.00,0.00,0.00,0.00,0.00,17.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00
Gondomar,1.00,4.00,10.00,7.00,0.00,0.00,105.00,25.00,0.00,1.00,132.00,21.00,8.00,1.00,6.00,1.00,78.00,31.00,0.00,5.00,1.00,4.00,35.00,0.00,7.00,0.00,0.00,2.00,7.00,131.00,323.00,0.00,415.00,3.00,10.00,0.00,4.00,7.00,0.00,50.00,0.00,1.00,2.00,14.00,2.00,1.00,3268.00,0.00,0.00,2.00,0.00,1.00,0.00,0.00,3.00,2.00,24.00,89.00,0.00,6.00,286.00,58.00,13.00
Gouveia,0.00,0.00,2.00,0.00,0.00,0.00,25.00,0.00,0.00,0.00,5.00,8.00,3.00,0.00,15.00,0.00,92.00,18.00,0.00,4.00,0.00,2.00,0.00,0.00,35.00,0.00,1.00,1.00,6.00,45.00,1.00,0.00,1.00,0.00,0.00,0.00,3.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,19.00,3.00,0.00,0.00,4.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,2.00,8.00,38.00
Grândola,0.00,0.00,6.00,0.00,0.00,0.00,0.00,0.00,0.00,31.00,0.00,0.00,0.00,2.00,2.00,0.00,7.00,2.00,0.00,35.00,0.00,17.00,0.00,0.00,0.00,0.00,1.00,0.00,4.00,132.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,2.00,0.00,4.00,2.00,3.00,1.00,0.00,7.00,0.00,40.00,2.00,0.00,3.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Guarda,2.00,0.00,21.00,0.00,0.00,1.00,109.00,0.00,0.00,0.00,11.00,12.00,3.00,18.00,53.00,0.00,310.00,302.00,0.00,23.00,0.00,6.00,1.00,0.00,590.00,0.00,3.00,2.00,12.00,275.00,1.00,0.00,3.00,0.00,5.00,0.00,9.00,2.00,3.00,3.00,0.00,2.00,0.00,0.00,6.00,0.00,80.00,3.00,0.00,2.00,15.00,2.00,0.00,0.00,2.00,0.00,0.00,1.00,1.00,0.00,4.00,25.00,40.00
Guimarães,0.00,3.00,12.00,4.00,18.00,0.00,81.00,252.00,0.00,0.00,2410.00,153.00,9.00,15.00,12.00,0.00,190.00,89.00,0.00,9.00,141.00,9.00,113.00,0.00,12.00,4.00,2.00,1.00,8.00,134.00,94.00,0.00,69.00,7.00,63.00,0.00,6.00,1.00,4.00,27.00,0.00,0.00,1.00,13.00,2.00,0.00,916.00,0.00,0.00,1.00,9.00,2.00,0.00,1.00,8.00,31.00,104.00,23.00,1.00,151.00,49.00,271.00,17.00
Horta,0.00,0.00,3.00,0.00,0.00,12.00,27.00,1.00,0.00,2.00,5.00,4.00,0.00,1.00,4.00,0.00,26.00,5.00,0.00,6.00,0.00,7.00,0.00,0.00,0.00,0.00,0.00,1.00,5.00,134.00,1.00,0.00,6.00,0.00,1.00,0.00,3.00,0.00,1.00,0.00,0.00,1.00,50.00,0.00,2.00,1.00,26.00,7.00,0.00,1.00,0.00,3.00,0.00,0.00,5.00,0.00,0.00,2.00,0.00,4.00,5.00,1.00,0.00
Idanha-a-Nova,0.00,0.00,1.00,0.00,0.00,0.00,3.00,0.00,0.00,0.00,1.00,1.00,0.00,0.00,37.00,0.00,7.00,25.00,0.00,3.00,0.00,0.00,0.00,0.00,2.00,0.00,57.00,0.00,1.00,19.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,2.00,0.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00
Ílhavo,3.00,74.00,4.00,0.00,0.00,0.00,653.00,1.00,0.00,0.00,13.00,7.00,3.00,8.00,3.00,0.00,267.00,16.00,0.00,7.00,0.00,1.00,2.00,0.00,17.00,0.00,4.00,4.00,12.00,105.00,6.00,0.00,5.00,2.00,1.00,0.00,15.00,24.00,7.00,0.00,0.00,6.00,0.00,1.00,3.00,0.00,129.00,5.00,4.00,0.00,3.00,1.00,0.00,0.00,7.00,1.00,0.00,0.00,0.00,0.00,4.00,18.00,50.00
Lagoa (Algarve),0.00,0.00,17.00,1.00,0.00,0.00,11.00,0.00,0.00,24.00,4.00,0.00,2.00,4.00,5.00,0.00,32.00,9.00,1.00,32.00,0.00,130.00,0.00,0.00,0.00,0.00,0.00,1.00,3.00,132.00,0.00,0.00,2.00,1.00,0.00,0.00,10.00,0.00,1.00,0.00,0.00,1.00,0.00,0.00,2.00,96.00,9.00,4.00,0.00,0.00,0.00,3.00,14.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00
Lagoa (R.A.A.),0.00,0.00,4.00,0.00,0.00,6.00,1.00,1.00,0.00,0.00,9.00,0.00,1.00,0.00,0.00,0.00,12.00,4.00,0.00,2.00,0.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00,83.00,0.00,0.00,2.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,1.00,153.00,0.00,0.00,0.00,18.00,2.00,0.00,0.00,0.00,2.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,2.00,4.00,0.00
Lagos,0.00,0.00,28.00,0.00,0.00,0.00,10.00,1.00,0.00,28.00,0.00,2.00,2.00,4.00,4.00,0.00,25.00,4.00,2.00,48.00,0.00,130.00,1.00,0.00,0.00,0.00,0.00,1.00,6.00,246.00,1.00,0.00,4.00,0.00,0.00,0.00,14.00,0.00,0.00,1.00,0.00,3.00,0.00,1.00,8.00,61.00,16.00,3.00,0.00,3.00,0.00,5.00,15.00,1.00,2.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,2.00
Lajes das Flores,0.00,0.00,0.00,0.00,0.00,2.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,8.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.00,0.00,0.00,0.00,3.00,1.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,2.00,0.00
Lajes do Pico,0.00,0.00,2.00,0.00,0.00,2.00,2.00,0.00,0.00,0.00,3.00,2.00,2.00,0.00,3.00,0.00,15.00,2.00,0.00,1.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00,26.00,0.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,1.00,11.00,0.00,0.00,1.00,4.00,0.00,0.00,1.00,0.00,1.00,0.00,0.00,5.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,1.00
Lamego,0.00,1.00,13.00,0.00,0.00,0.00,38.00,0.00,0.00,0.00,35.00,20.00,1.00,1.00,3.00,0.00,147.00,40.00,0.00,0.00,0.00,0.00,2.00,0.00,13.00,0.00,3.00,109.00,3.00,74.00,3.00,0.00,11.00,0.00,13.00,0.00,1.00,3.00,3.00,3.00,0.00,0.00,0.00,0.00,0.00,0.00,183.00,0.00,0.00,2.00,0.00,1.00,0.00,0.00,1.00,0.00,1.00,2.00,1.00,0.00,11.00,73.00,65.00
Leiria,3.00,3.00,88.00,1.00,1.00,5.00,160.00,2.00,1.00,1.00,37.00,8.00,116.00,53.00,55.00,0.00,697.00,80.00,7.00,58.00,0.00,32.00,0.00,1.00,6.00,0.00,7.00,1.00,2235.00,1020.00,3.00,27.00,7.00,0.00,4.00,0.00,45.00,5.00,3.00,2.00,1.00,95.00,0.00,1.00,24.00,4.00,121.00,38.00,0.00,50.00,0.00,5.00,0.00,7.00,25.00,0.00,1.00,2.00,0.00,0.00,6.00,19.00,31.00
Lisboa,2.00,1.00,1134.00,119.00,0.00,6.00,53.00,4.00,4.00,10.00,47.00,32.00,83.00,908.00,27.00,0.00,231.00,63.00,8.00,154.00,0.00,84.00,0.00,4.00,1.00,0.00,4.00,2.00,44.00,23705.00,15.00,1.00,13.00,0.00,8.00,54.00,1227.00,0.00,3.00,8.00,0.00,18.00,5.00,1.00,17.00,1.00,188.00,18.00,0.00,73.00,2.00,102.00,1.00,7.00,28.00,1.00,1.00,7.00,0.00,0.00,4.00,21.00,25.00
Loulé,0.00,0.00,28.00,1.00,0.00,0.00,8.00,0.00,0.00,34.00,5.00,1.00,5.00,9.00,5.00,0.00,49.00,5.00,1.00,33.00,0.00,891.00,0.00,0.00,0.00,0.00,0.00,0.00,4.00,327.00,3.00,0.00,1.00,0.00,1.00,0.00,16.00,0.00,1.00,2.00,0.00,1.00,1.00,0.00,11.00,24.00,26.00,4.00,0.00,4.00,0.00,7.00,7.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,2.00,2.00,0.00
Loures,10.00,1.00,266.00,11.00,0.00,0.00,21.00,0.00,5.00,9.00,8.00,10.00,24.00,94.00,13.00,0.00,33.00,23.00,2.00,37.00,0.00,21.00,0.00,0.00,7.00,0.00,1.00,2.00,21.00,4980.00,6.00,0.00,3.00,1.00,3.00,69.00,120.00,1.00,2.00,0.00,0.00,14.00,3.00,0.00,10.00,0.00,37.00,8.00,0.00,39.00,1.00,54.00,0.00,2.00,27.00,0.00,2.00,2.00,0.00,0.00,0.00,5.00,8.00
Lourinhã,2.00,0.00,20.00,0.00,0.00,0.00,5.00,0.00,0.00,0.00,1.00,1.00,18.00,5.00,3.00,0.00,29.00,6.00,2.00,11.00,0.00,13.00,0.00,0.00,1.00,0.00,0.00,0.00,62.00,320.00,0.00,0.00,0.00,0.00,1.00,0.00,11.00,0.00,0.00,0.00,0.00,47.00,1.00,0.00,3.00,1.00,5.00,7.00,0.00,21.00,0.00,4.00,0.00,0.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00
Lousã,1.00,1.00,1.00,0.00,0.00,0.00,9.00,1.00,0.00,1.00,1.00,0.00,3.00,2.00,2.00,0.00,437.00,9.00,0.00,0.00,0.00,3.00,0.00,0.00,1.00,0.00,0.00,0.00,7.00,33.00,1.00,0.00,2.00,1.00,0.00,0.00,2.00,0.00,6.00,0.00,1.00,3.00,0.00,0.00,0.00,0.00,16.00,1.00,0.00,0.00,0.00,0.00,0.00,1.00,3.00,0.00,0.00,0.00,0.00,0.00,2.00,2.00,2.00
Lousada,1.00,0.00,1.00,1.00,0.00,0.00,48.00,5.00,0.00,0.00,89.00,73.00,1.00,0.00,2.00,0.00,90.00,28.00,0.00,2.00,4.00,1.00,124.00,0.00,5.00,0.00,0.00,5.00,4.00,37.00,40.00,0.00,58.00,0.00,19.00,0.00,1.00,2.00,0.00,47.00,28.00,2.00,0.00,1.00,1.00,0.00,473.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,2.00,1.00,5.00,9.00,0.00,2.00,43.00,24.00,11.00
Mação,3.00,0.00,6.00,0.00,0.00,0.00,6.00,0.00,0.00,0.00,0.00,0.00,0.00,4.00,17.00,0.00,19.00,6.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,3.00,0.00,13.00,41.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,4.00,0.00,0.00,2.00,0.00,0.00,4.00,0.00,13.00,0.00,0.00,0.00,0.00,32.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00
Macedo de Cavaleiros,0.00,0.00,3.00,0.00,0.00,0.00,13.00,0.00,0.00,0.00,17.00,173.00,1.00,4.00,2.00,0.00,48.00,21.00,0.00,3.00,0.00,0.00,0.00,0.00,11.00,0.00,0.00,1.00,1.00,25.00,3.00,0.00,4.00,0.00,24.00,0.00,0.00,0.00,1.00,3.00,0.00,0.00,0.00,0.00,2.00,0.00,66.00,0.00,0.00,0.00,2.00,1.00,0.00,0.00,1.00,0.00,0.00,3.00,1.00,0.00,1.00,40.00,0.00
Machico,1.00,0.00,10.00,0.00,0.00,2.00,14.00,1.00,0.00,6.00,22.00,2.00,1.00,0.00,11.00,0.00,42.00,8.00,0.00,6.00,0.00,4.00,1.00,249.00,1.00,0.00,0.00,2.00,9.00,126.00,0.00,0.00,1.00,0.00,0.00,0.00,5.00,0.00,1.00,0.00,0.00,4.00,3.00,0.00,1.00,1.00,59.00,3.00,1.00,2.00,0.00,6.00,0.00,0.00,2.00,0.00,0.00,0.00,0.00,0.00,3.00,5.00,3.00
Madalena,0.00,0.00,2.00,0.00,0.00,1.00,7.00,0.00,0.00,0.00,1.00,0.00,0.00,1.00,0.00,0.00,25.00,1.00,0.00,5.00,0.00,6.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,39.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00,0.00,0.00,0.00,0.00,0.00,10.00,0.00,2.00,0.00,8.00,0.00,0.00,2.00,0.00,3.00,0.00,0.00,6.00,0.00,0.00,0.00,0.00,1.00,4.00,0.00,1.00
Mafra,0.00,0.00,104.00,3.00,0.00,1.00,10.00,0.00,0.00,4.00,5.00,2.00,23.00,79.00,10.00,0.00,28.00,15.00,3.00,32.00,0.00,19.00,0.00,0.00,2.00,0.00,1.00,0.00,51.00,1950.00,0.00,0.00,0.00,1.00,0.00,21.00,77.00,1.00,0.00,0.00,0.00,27.00,1.00,0.00,5.00,0.00,9.00,20.00,0.00,28.00,2.00,19.00,0.00,5.00,3.00,0.00,0.00,0.00,0.00,0.00,1.00,4.00,1.00
Maia,0.00,1.00,8.00,4.00,0.00,0.00,62.00,31.00,0.00,1.00,148.00,22.00,6.00,7.00,4.00,0.00,67.00,34.00,1.00,4.00,0.00,6.00,23.00,0.00,2.00,0.00,0.00,1.00,3.00,137.00,584.00,0.00,458.00,6.00,7.00,0.00,6.00,4.00,0.00,25.00,0.00,2.00,2.00,17.00,0.00,0.00,3356.00,0.00,0.00,1.00,1.00,1.00,0.00,2.00,1.00,1.00,17.00,102.00,0.00,4.00,212.00,71.00,10.00
Mangualde,0.00,0.00,5.00,0.00,0.00,0.00,38.00,1.00,0.00,0.00,5.00,2.00,2.00,2.00,7.00,0.00,105.00,39.00,0.00,0.00,0.00,2.00,1.00,0.00,23.00,0.00,2.00,1.00,2.00,59.00,0.00,0.00,3.00,0.00,1.00,0.00,5.00,1.00,1.00,1.00,0.00,1.00,0.00,0.00,0.00,0.00,29.00,0.00,0.00,0.00,2.00,1.00,0.00,0.00,2.00,0.00,0.00,0.00,0.00,0.00,1.00,6.00,160.00
Manteigas,0.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,0.00,0.00,5.00,0.00,22.00,20.00,0.00,1.00,0.00,0.00,0.00,0.00,5.00,0.00,1.00,1.00,2.00,10.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,2.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00
Marco de Canaveses,0.00,4.00,1.00,0.00,0.00,0.00,60.00,4.00,0.00,1.00,72.00,121.00,2.00,1.00,2.00,0.00,129.00,19.00,1.00,3.00,1.00,1.00,55.00,0.00,3.00,0.00,0.00,6.00,0.00,38.00,23.00,0.00,58.00,1.00,30.00,0.00,0.00,2.00,2.00,47.00,24.00,0.00,1.00,0.00,0.00,0.00,564.00,0.00,0.00,0.00,0.00,2.00,0.00,0.00,0.00,1.00,2.00,10.00,0.00,1.00,27.00,237.00,38.00
Marinha Grande,1.00,2.00,29.00,1.00,0.00,0.00,32.00,0.00,0.00,2.00,10.00,2.00,33.00,14.00,8.00,0.00,156.00,20.00,1.00,9.00,0.00,8.00,1.00,0.00,6.00,0.00,2.00,1.00,522.00,200.00,0.00,63.00,0.00,0.00,4.00,0.00,17.00,1.00,2.00,3.00,0.00,18.00,0.00,0.00,7.00,0.00,15.00,13.00,0.00,10.00,0.00,3.00,0.00,0.00,4.00,0.00,1.00,1.00,0.00,0.00,4.00,5.00,3.00
Marvão,0.00,0.00,2.00,0.00,0.00,0.00,2.00,0.00,0.00,2.00,0.00,0.00,0.00,1.00,4.00,0.00,8.00,5.00,3.00,7.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00,13.00,0.00,0.00,0.00,0.00,0.00,0.00,3.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,31.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
