,,,,,,,,
ACESSO AO ENSINO SUPERIOR 2018 - 1ª FASE DO CONCURSO NACIONAL DE ACESSO,,,,,,,,
Classificações dos últimos colocados pelo contingente geral,,,,,,,,
,,,,,,,,
Código Instit.,Código Curso,Nome da Instituição,Nome do Curso,Grau,Vagas Iniciais,Colocados ,Nota do últ. colocado (cont. geral),"Sobras para
2ª fase"
1000,9359,Universidade do Minho,Engenharia Biomédica,MI,65,65,172.0,0
1000,9360,Universidade do Minho,Engenharia Civil,MI,36,33,115.2,3
1000,9363,Universidade do Minho,Engenharia de Materiais,MI,27,27,141.8,0
1000,9364,Universidade do Minho,Engenharia de Polímeros,MI,30,30,126.4,0
1000,9366,Universidade do Minho,Engenharia Eletrónica Industrial e Computadores,MI,87,87,141.4,0
1000,9368,Universidade do Minho,Engenharia Física,MI,33,33,150.0,0
1000,9369,Universidade do Minho,Engenharia Mecânica,MI,82,82,157.4,0
1000,9371,Universidade do Minho,Engenharia Têxtil,MI,30,22,116.2,8
1000,9379,Universidade do Minho,Ciências do Ambiente,L1,35,35,123.8,0
1000,9381,Universidade do Minho,Estatística Aplicada,L1,22,22,126.2,0
1000,9397,Universidade do Minho,Ciências da Computação,L1,66,66,131.8,0
1000,9499,Universidade do Minho,Design e Marketing de Moda,L1,30,30,150.8,0
1000,9509,Universidade do Minho,Engenharia e Gestão Industrial,MI,53,53,177.0,0
1000,9555,Universidade do Minho,Psicologia,MI,65,65,141.0,0
1000,9688,Universidade do Minho,Biologia Aplicada,L1,55,55,139.8,0
1000,9813,Universidade do Minho,Medicina,MI,120,120,180.5,0
1000,9817,Universidade do Minho,Artes Visuais,L1,25,25,151.5,0
1000,9853,Universidade do Minho,Educação Básica,L1,48,24,114.8,24
1000,9869,Universidade do Minho,Contabilidade (regime pós-laboral),L1,40,42,139.2,0
1000,G001,Universidade do Minho,Engenharia e Gestão de Sistemas de Informação,MI,110,110,140.4,0
1000,G002,Universidade do Minho,Engenharia e Gestão de Sistemas de Informação (regime pós-laboral),MI,30,30,129.6,0
1000,G005,Universidade do Minho,Engenharia Informática,MI,170,170,157.4,0
1000,G007,Universidade do Minho,Engenharia de Telecomunicações e Informática,MI,38,38,129.0,0
1000,L078,Universidade do Minho,Criminologia e Justiça Criminal,L1,33,33,160.0,0
1000,L112,Universidade do Minho,Proteção Civil e Gestão do Território,L1,30,7,118.2,23
1000,L147,Universidade do Minho,Estudos Orientais: Estudos Chineses e Japoneses,L1,35,36,143.8,0
1101,9554,Universidade do Porto - Faculdade de Ciências da Nutrição e da Alimentação,Ciências da Nutrição,L1,65,65,153.5,0
1102,9257,Universidade do Porto - Faculdade de Arquitetura,Arquitetura,MI,117,117,175.5,0
1103,8258,Universidade do Porto - Faculdade de Ciências,Arquitetura Paisagista,L1,28,28,122.5,0
1103,9011,Universidade do Porto - Faculdade de Ciências,Biologia,L1,131,132,141.5,0
1103,9015,Universidade do Porto - Faculdade de Ciências,Bioquímica,L1,80,80,168.5,0
1103,9141,Universidade do Porto - Faculdade de Ciências,Física,L1,41,41,167.8,0
1103,9146,Universidade do Porto - Faculdade de Ciências,Geologia,L1,33,33,115.5,0
1103,9209,Universidade do Porto - Faculdade de Ciências,Matemática,L1,56,56,159.3,0
1103,9223,Universidade do Porto - Faculdade de Ciências,Química,L1,50,50,120.0,0
1103,9368,Universidade do Porto - Faculdade de Ciências,Engenharia Física,MI,60,60,161.5,0
1103,9696,Universidade do Porto - Faculdade de Ciências,Ciência de Computadores,L1,50,50,142.5,0
1103,9709,Universidade do Porto - Faculdade de Ciências,Ciências e Tecnologia do Ambiente,L1,42,42,125.0,0
1103,9812,Universidade do Porto - Faculdade de Ciências,Engenharia de Redes e Sistemas Informáticos,MI,70,71,134.0,0
1103,9824,Universidade do Porto - Faculdade de Ciências,Ciências de Engenharia,L1,28,11,114.0,17
1104,9081,Universidade do Porto - Faculdade de Economia,Economia,L1,208,208,168.3,0
1104,9147,Universidade do Porto - Faculdade de Economia,Gestão,L1,115,115,175.0,0
1105,9360,Universidade do Porto - Faculdade de Engenharia,Engenharia Civil,MI,121,121,132.0,0
1105,9367,Universidade do Porto - Faculdade de Engenharia,Engenharia Eletrotécnica e de Computadores,MI,200,200,163.8,0
1105,9369,Universidade do Porto - Faculdade de Engenharia,Engenharia Mecânica,MI,151,151,174.5,0
1105,9459,Universidade do Porto - Faculdade de Engenharia,Engenharia Informática e Computação,MI,117,117,177.8,0
1105,9460,Universidade do Porto - Faculdade de Engenharia,Engenharia Metalúrgica e de Materiais,MI,28,28,156.5,0
1105,9461,Universidade do Porto - Faculdade de Engenharia,Engenharia Química,MI,63,63,169.3,0
1105,9493,Universidade do Porto - Faculdade de Engenharia,Bioengenharia,MI,58,59,183.0,0
1105,9508,Universidade do Porto - Faculdade de Engenharia,Engenharia do Ambiente,MI,34,34,139.0,0
1105,9509,Universidade do Porto - Faculdade de Engenharia,Engenharia e Gestão Industrial,MI,65,67,186.3,0
1105,9897,Universidade do Porto - Faculdade de Engenharia,Ciências de Engenharia - Engenharia de Minas e Geoambiente,L1,20,18,113.0,2
1106,9494,Universidade do Porto - Faculdade de Farmácia,Ciências Farmacêuticas,MI,175,175,153.3,0
1107,9006,Universidade do Porto - Faculdade de Letras,Arqueologia,L1,29,29,124.6,0
1107,9040,Universidade do Porto - Faculdade de Letras,Ciências da Linguagem,L1,24,24,124.6,0
1107,9139,Universidade do Porto - Faculdade de Letras,Filosofia,L1,50,52,126.0,0
1107,9143,Universidade do Porto - Faculdade de Letras,Geografia,L1,69,70,129.6,0
1107,9181,Universidade do Porto - Faculdade de Letras,História,L1,67,67,143.4,0
1107,9182,Universidade do Porto - Faculdade de Letras,História da Arte,L1,32,32,136.4,0
1107,9192,Universidade do Porto - Faculdade de Letras,Línguas Aplicadas,L1,51,51,174.6,0
1107,9197,Universidade do Porto - Faculdade de Letras,Línguas e Relações Internacionais,L1,41,42,180.0,0
1107,9204,Universidade do Porto - Faculdade de Letras,"Línguas, Literaturas e Culturas",L1,79,81,160.6,0
1107,9240,Universidade do Porto - Faculdade de Letras,Sociologia,L1,44,44,146.8,0
1107,9694,Universidade do Porto - Faculdade de Letras,Ciência da Informação,L1,38,38,141.2,0
1107,9701,Universidade do Porto - Faculdade de Letras,"Ciências da Comunicação: Jornalismo, Assessoria, Multimédia",L1,74,74,161.6,0
1107,9917,Universidade do Porto - Faculdade de Letras,Estudos Portugueses,L1,20,20,110.0,0
1108,9813,Universidade do Porto - Faculdade de Medicina,Medicina,MI,245,245,181.0,0
1109,9026,Universidade do Porto - Faculdade de Psicologia e de Ciências da Educação,Ciências da Educação,L1,50,50,137.5,0
1109,9555,Universidade do Porto - Faculdade de Psicologia e de Ciências da Educação,Psicologia,MI,107,107,160.0,0
1110,9708,Universidade do Porto - Instituto de Ciências Biomédicas Abel Salazar,Ciências do Meio Aquático,L1,33,33,136.5,0
1110,9813,Universidade do Porto - Instituto de Ciências Biomédicas Abel Salazar,Medicina,MI,155,155,182.2,0
1110,9847,Universidade do Porto - Instituto de Ciências Biomédicas Abel Salazar,Medicina Veterinária,MI,56,56,168.3,0
1111,9707,Universidade do Porto - Faculdade de Desporto,Ciências do Desporto,L1,123,124,136.0,0
1113,9548,Universidade do Porto - Faculdade de Medicina Dentária,Medicina Dentária,MI,65,66,171.8,0
1114,9066,Universidade do Porto - Faculdade de Direito,Criminologia,L1,41,41,162.2,0
1114,9078,Universidade do Porto - Faculdade de Direito,Direito,L1,146,146,171.8,0
1201,8258,Universidade de Trás-os-Montes e Alto Douro - Escola de Ciências Agrárias e Veterinárias,Arquitetura Paisagista,L1,12,3,104.4,9
1201,9086,Universidade de Trás-os-Montes e Alto Douro - Escola de Ciências Agrárias e Veterinárias,Engenharia Agronómica,L1,34,12,110.4,22
1201,9114,Universidade de Trás-os-Montes e Alto Douro - Escola de Ciências Agrárias e Veterinárias,Engenharia Florestal,L1,20,2,147.6,18
1201,9129,Universidade de Trás-os-Montes e Alto Douro - Escola de Ciências Agrárias e Veterinárias,Engenharia Zootécnica,L1,32,32,126.9,0
1201,9752,Universidade de Trás-os-Montes e Alto Douro - Escola de Ciências Agrárias e Veterinárias,Enologia,L1,42,23,95.0,19
1201,9847,Universidade de Trás-os-Montes e Alto Douro - Escola de Ciências Agrárias e Veterinárias,Medicina Veterinária,MI,82,82,162.8,0
1202,9023,Universidade de Trás-os-Montes e Alto Douro - Escola de Ciências Humanas e Sociais,Ciências da Comunicação,L1,60,62,134.8,0
1202,9081,Universidade de Trás-os-Montes e Alto Douro - Escola de Ciências Humanas e Sociais,Economia,L1,40,40,139.9,0
1202,9147,Universidade de Trás-os-Montes e Alto Douro - Escola de Ciências Humanas e Sociais,Gestão,L1,54,54,150.9,0
1202,9196,Universidade de Trás-os-Montes e Alto Douro - Escola de Ciências Humanas e Sociais,Línguas e Relações Empresariais,L1,40,42,140.6,0
1202,9204,Universidade de Trás-os-Montes e Alto Douro - Escola de Ciências Humanas e Sociais,"Línguas, Literaturas e Culturas",L1,35,35,127.8,0
1202,9219,Universidade de Trás-os-Montes e Alto Douro - Escola de Ciências Humanas e Sociais,Psicologia,L1,60,60,144.9,0
1202,9238,Universidade de Trás-os-Montes e Alto Douro - Escola de Ciências Humanas e Sociais,Serviço Social,L1,44,44,132.2,0
1202,9254,Universidade de Trás-os-Montes e Alto Douro - Escola de Ciências Humanas e Sociais,Turismo,L1,49,50,127.1,0
1202,9803,Universidade de Trás-os-Montes e Alto Douro - Escola de Ciências Humanas e Sociais,Teatro e Artes Performativas,L1,25,21,96.3,4
1202,9853,Universidade de Trás-os-Montes e Alto Douro - Escola de Ciências Humanas e Sociais,Educação Básica,L1,25,12,119.2,13
1202,L092,Universidade de Trás-os-Montes e Alto Douro - Escola de Ciências Humanas e Sociais,Animação Cultural e Comunitária,L1,30,30,114.2,0
1203,8088,Universidade de Trás-os-Montes e Alto Douro - Escola de Ciências e Tecnologia,Engenharia e Gestão Industrial (Preparatórios),PM,20,20,140.6,0
1203,9052,Universidade de Trás-os-Montes e Alto Douro - Escola de Ciências e Tecnologia,Comunicação e Multimédia,L1,54,55,129.1,0
1203,9089,Universidade de Trás-os-Montes e Alto Douro - Escola de Ciências e Tecnologia,Engenharia Civil,L1,14,1,136.4,13
1203,9119,Universidade de Trás-os-Montes e Alto Douro - Escola de Ciências e Tecnologia,Engenharia Informática,L1,105,105,121.1,0
1203,9123,Universidade de Trás-os-Montes e Alto Douro - Escola de Ciências e Tecnologia,Engenharia Mecânica,L1,27,27,127.5,0
1203,9367,Universidade de Trás-os-Montes e Alto Douro - Escola de Ciências e Tecnologia,Engenharia Eletrotécnica e de Computadores,MI,38,16,106.4,22
1203,9455,Universidade de Trás-os-Montes e Alto Douro - Escola de Ciências e Tecnologia,Engenharia Biomédica,L1,25,22,126.4,3
1204,9011,Universidade de Trás-os-Montes e Alto Douro - Escola de Ciências da Vida e do Ambiente,Biologia,L1,30,30,122.8,0
1204,9012,Universidade de Trás-os-Montes e Alto Douro - Escola de Ciências da Vida e do Ambiente,Biologia e Geologia,L1,12,7,95.0,5
1204,9015,Universidade de Trás-os-Montes e Alto Douro - Escola de Ciências da Vida e do Ambiente,Bioquímica,L1,50,50,125.9,0
1204,9379,Universidade de Trás-os-Montes e Alto Douro - Escola de Ciências da Vida e do Ambiente,Ciências do Ambiente,L1,20,14,95.0,6
1204,9540,Universidade de Trás-os-Montes e Alto Douro - Escola de Ciências da Vida e do Ambiente,Bioengenharia,L1,38,37,117.0,1
1204,9554,Universidade de Trás-os-Montes e Alto Douro - Escola de Ciências da Vida e do Ambiente,Ciências da Nutrição,L1,40,40,124.0,0
1204,9707,Universidade de Trás-os-Montes e Alto Douro - Escola de Ciências da Vida e do Ambiente,Ciências do Desporto,L1,100,103,126.5,0
1204,9761,Universidade de Trás-os-Montes e Alto Douro - Escola de Ciências da Vida e do Ambiente,Genética e Biotecnologia,L1,58,58,136.6,0
1204,9841,Universidade de Trás-os-Montes e Alto Douro - Escola de Ciências da Vida e do Ambiente,Reabilitação Psicomotora,L1,44,27,103.5,17
1306,9069,Universidade da Madeira - Faculdade de Artes e Humanidades,Design,L1,29,24,106.6,5
1306,9196,Universidade da Madeira - Faculdade de Artes e Humanidades,Línguas e Relações Empresariais,L1,36,40,130.7,0
1306,9219,Universidade da Madeira - Faculdade de Artes e Humanidades,Psicologia,L1,30,31,132.1,0
1306,9720,Universidade da Madeira - Faculdade de Artes e Humanidades,"Comunicação, Cultura e Organizações",L1,36,37,123.0,0
1306,9817,Universidade da Madeira - Faculdade de Artes e Humanidades,Artes Visuais,L1,20,9,156.6,11
1306,L150,Universidade da Madeira - Faculdade de Artes e Humanidades,Estudos de Cultura,L1,39,29,107.0,10
1307,9015,Universidade da Madeira - Faculdade de Ciências Exatas e da Engenharia,Bioquímica,L1,25,18,129.5,7
1307,9119,Universidade da Madeira - Faculdade de Ciências Exatas e da Engenharia,Engenharia Informática,L1,75,70,100.0,5
1307,A010,Universidade da Madeira - Faculdade de Ciências Exatas e da Engenharia,Engenharia Civil (ensino em inglês),L1,20,1,189.4,19
1307,A011,Universidade da Madeira - Faculdade de Ciências Exatas e da Engenharia,Engenharia Eletrónica e Telecomunicações (ensino em inglês),L1,20,4,137.8,16
1307,A012,Universidade da Madeira - Faculdade de Ciências Exatas e da Engenharia,Matemática (ensino em inglês),L1,20,6,108.0,14
1308,9026,Universidade da Madeira - Faculdade de Ciências Sociais,Ciências da Educação,L1,27,25,115.9,2
1308,9081,Universidade da Madeira - Faculdade de Ciências Sociais,Economia,L1,40,10,119.8,30
1308,9147,Universidade da Madeira - Faculdade de Ciências Sociais,Gestão,L1,55,55,132.3,0
1308,9736,Universidade da Madeira - Faculdade de Ciências Sociais,Educação Física e Desporto,L1,30,31,130.8,0
1308,9853,Universidade da Madeira - Faculdade de Ciências Sociais,Educação Básica,L1,20,8,157.9,12
1309,8083,Universidade da Madeira - Faculdade de Ciências da Vida,Ciclo Básico de Medicina,PM,38,38,174.2,0
1309,9011,Universidade da Madeira - Faculdade de Ciências da Vida,Biologia,L1,20,11,116.0,9
1320,9500,Universidade da Madeira - Escola Superior de Saúde,Enfermagem,L1,25,25,136.0,0
1321,9076,Universidade da Madeira - Escola Superior de Tecnologias e Gestão,Direção e Gestão Hoteleira,L1,30,32,131.4,0
1501,9069,Universidade de Lisboa - Faculdade de Arquitetura,Design,L1,60,60,158.5,0
1501,9071,Universidade de Lisboa - Faculdade de Arquitetura,Design de Moda,L1,60,61,154.5,0
1501,9257,Universidade de Lisboa - Faculdade de Arquitetura,Arquitetura,MI,202,143,113.8,59
1501,G008,Universidade de Lisboa - Faculdade de Arquitetura,"Arquitectura, área de especializ. em Interiores e Reabilitação do Edificado",MI,50,38,117.8,12
1502,8399,Universidade de Lisboa - Faculdade de Belas-Artes,Desenho,L1,35,35,165.5,0
1502,9070,Universidade de Lisboa - Faculdade de Belas-Artes,Design de Comunicação,L1,55,56,177.0,0
1502,9072,Universidade de Lisboa - Faculdade de Belas-Artes,Design de Equipamento,L1,55,55,152.5,0
1502,9754,Universidade de Lisboa - Faculdade de Belas-Artes,Escultura,L1,55,57,135.5,0
1502,9790,Universidade de Lisboa - Faculdade de Belas-Artes,Pintura,L1,55,57,159.0,0
1502,9904,Universidade de Lisboa - Faculdade de Belas-Artes,Arte Multimédia,L1,55,57,163.5,0
1502,L010,Universidade de Lisboa - Faculdade de Belas-Artes,Ciências da Arte e do Património,L1,30,30,146.0,0
1503,9011,Universidade de Lisboa - Faculdade de Ciências,Biologia,L1,174,174,147.5,0
1503,9015,Universidade de Lisboa - Faculdade de Ciências,Bioquímica,L1,70,70,148.3,0
1503,9119,Universidade de Lisboa - Faculdade de Ciências,Engenharia Informática,L1,105,105,144.0,0
1503,9141,Universidade de Lisboa - Faculdade de Ciências,Física,L1,40,40,156.0,0
1503,9146,Universidade de Lisboa - Faculdade de Ciências,Geologia,L1,84,85,115.5,0
1503,9209,Universidade de Lisboa - Faculdade de Ciências,Matemática,L1,50,50,148.0,0
1503,9212,Universidade de Lisboa - Faculdade de Ciências,"Meteorologia, Oceanografia e Geofísica",L1,25,25,130.3,0
1503,9223,Universidade de Lisboa - Faculdade de Ciências,Química,L1,27,27,140.3,0
1503,9226,Universidade de Lisboa - Faculdade de Ciências,Química Tecnológica,L1,22,22,131.0,0
1503,9368,Universidade de Lisboa - Faculdade de Ciências,Engenharia Física,MI,40,40,152.3,0
1503,9381,Universidade de Lisboa - Faculdade de Ciências,Estatística Aplicada,L1,32,32,130.0,0
1503,9385,Universidade de Lisboa - Faculdade de Ciências,Matemática Aplicada,L1,77,77,145.0,0
1503,9811,Universidade de Lisboa - Faculdade de Ciências,Engenharia da Energia e do Ambiente,MI,30,30,127.8,0
1503,9845,Universidade de Lisboa - Faculdade de Ciências,Engenharia Biomédica e Biofísica,MI,40,40,163.0,0
1503,L079,Universidade de Lisboa - Faculdade de Ciências,Tecnologias de Informação,L1,65,65,133.0,0
1503,L096,Universidade de Lisboa - Faculdade de Ciências,Engenharia Geoespacial,L1,20,20,115.0,0
1504,8358,Universidade de Lisboa - Faculdade de Direito,Direito (regime pós-laboral),L1,86,88,140.5,0
1504,9078,Universidade de Lisboa - Faculdade de Direito,Direito,L1,445,446,149.3,0
1505,9494,Universidade de Lisboa - Faculdade de Farmácia,Ciências Farmacêuticas,MI,209,209,146.5,0
1506,8104,Universidade de Lisboa - Faculdade de Letras,"Estudos Artísticos, variante de Artes do Espetáculo",L1,49,49,137.5,0
1506,8413,Universidade de Lisboa - Faculdade de Letras,Artes e Humanidades,L1,60,61,129.0,0
1506,8458,Universidade de Lisboa - Faculdade de Letras,Estudos Gerais,L1,60,61,140.0,0
1506,9006,Universidade de Lisboa - Faculdade de Letras,Arqueologia,L1,38,38,113.5,0
1506,9040,Universidade de Lisboa - Faculdade de Letras,Ciências da Linguagem,L1,35,35,121.0,0
1506,9131,Universidade de Lisboa - Faculdade de Letras,Estudos Africanos,L1,20,21,114.5,0
1506,9133,Universidade de Lisboa - Faculdade de Letras,Estudos Clássicos,L1,20,20,118.5,0
1506,9135,Universidade de Lisboa - Faculdade de Letras,Estudos Europeus,L1,59,60,140.0,0
1506,9139,Universidade de Lisboa - Faculdade de Letras,Filosofia,L1,43,44,131.0,0
1506,9181,Universidade de Lisboa - Faculdade de Letras,História,L1,61,62,135.0,0
1506,9182,Universidade de Lisboa - Faculdade de Letras,História da Arte,L1,51,51,109.0,0
1506,9204,Universidade de Lisboa - Faculdade de Letras,"Línguas, Literaturas e Culturas",L1,200,204,141.5,0
1506,9252,Universidade de Lisboa - Faculdade de Letras,Tradução,L1,61,61,133.0,0
1506,9914,Universidade de Lisboa - Faculdade de Letras,Estudos Asiáticos,L1,27,28,150.0,0
1506,9917,Universidade de Lisboa - Faculdade de Letras,Estudos Portugueses,L1,20,20,124.0,0
1506,L097,Universidade de Lisboa - Faculdade de Letras,Estudos Comparatistas,L1,20,20,131.5,0
1506,L145,Universidade de Lisboa - Faculdade de Letras,Estudos de Cultura e Comunicação,L1,56,57,143.5,0
1507,9554,Universidade de Lisboa - Faculdade de Medicina,Ciências da Nutrição,L1,30,30,153.5,0
1507,9813,Universidade de Lisboa - Faculdade de Medicina,Medicina,MI,295,295,175.2,0
1508,9548,Universidade de Lisboa - Faculdade de Medicina Dentária,Medicina Dentária,MI,65,65,172.0,0
1508,9556,Universidade de Lisboa - Faculdade de Medicina Dentária,Higiene Oral,L1,42,43,124.0,0
1508,9791,Universidade de Lisboa - Faculdade de Medicina Dentária,Prótese Dentária,L1,30,30,110.5,0
1509,9847,Universidade de Lisboa - Faculdade de Medicina Veterinária,Medicina Veterinária,MI,109,109,155.8,0
1510,9068,Universidade de Lisboa - Faculdade de Motricidade Humana,Dança,L1,19,12,107.0,7
1510,9162,Universidade de Lisboa - Faculdade de Motricidade Humana,Gestão do Desporto,L1,31,32,147.5,0
1510,9707,Universidade de Lisboa - Faculdade de Motricidade Humana,Ciências do Desporto,L1,140,141,120.5,0
1510,9753,Universidade de Lisboa - Faculdade de Motricidade Humana,Ergonomia,L1,20,20,116.0,0
1510,9841,Universidade de Lisboa - Faculdade de Motricidade Humana,Reabilitação Psicomotora,L1,52,55,119.0,0
1511,9555,Universidade de Lisboa - Faculdade de Psicologia,Psicologia,MI,137,137,146.0,0
1513,L040,Universidade de Lisboa - Instituto de Educação,Educação e Formação,L1,72,74,103.8,0
1514,8411,Universidade de Lisboa - Instituto de Geografia e Ordenamento do Território,Planeamento e Gestão do Território,L1,43,44,121.0,0
1514,9143,Universidade de Lisboa - Instituto de Geografia e Ordenamento do Território,Geografia,L1,99,100,120.5,0
1515,8258,Universidade de Lisboa - Instituto Superior de Agronomia,Arquitetura Paisagista,L1,20,21,112.5,0
1515,8377,Universidade de Lisboa - Instituto Superior de Agronomia,Engenharia Florestal e dos Recursos Naturais,L1,20,10,110.5,10
1515,9011,Universidade de Lisboa - Instituto Superior de Agronomia,Biologia,L1,40,40,136.0,0
1515,9086,Universidade de Lisboa - Instituto Superior de Agronomia,Engenharia Agronómica,L1,60,60,114.0,0
1515,9087,Universidade de Lisboa - Instituto Superior de Agronomia,Engenharia Alimentar,L1,40,20,106.5,20
1515,9099,Universidade de Lisboa - Instituto Superior de Agronomia,Engenharia do Ambiente,L1,22,20,106.3,2
1515,9129,Universidade de Lisboa - Instituto Superior de Agronomia,Engenharia Zootécnica,L1,30,22,110.0,8
1516,8014,Universidade de Lisboa - Instituto Superior de Ciências Sociais e Políticas,Serviço Social (regime pós-laboral),L1,37,37,126.5,0
1516,8102,Universidade de Lisboa - Instituto Superior de Ciências Sociais e Políticas,Administração Pública (regime pós-laboral),L1,46,48,125.5,0
1516,8109,Universidade de Lisboa - Instituto Superior de Ciências Sociais e Políticas,Sociologia (regime pós-laboral),L1,35,36,118.5,0
1516,8111,Universidade de Lisboa - Instituto Superior de Ciências Sociais e Políticas,Gestão de Recursos Humanos (regime pós-laboral),L1,55,59,133.0,0
1516,8363,Universidade de Lisboa - Instituto Superior de Ciências Sociais e Políticas,Administração Pública e Políticas do Território (regime pós-laboral),L1,35,35,116.5,0
1516,8364,Universidade de Lisboa - Instituto Superior de Ciências Sociais e Políticas,Relações Internacionais (regime pós-laboral),L1,55,55,142.0,0
1516,9002,Universidade de Lisboa - Instituto Superior de Ciências Sociais e Políticas,Administração Pública,L1,80,82,137.0,0
1516,9019,Universidade de Lisboa - Instituto Superior de Ciências Sociais e Políticas,Ciência Política,L1,53,55,149.5,0
1516,9023,Universidade de Lisboa - Instituto Superior de Ciências Sociais e Políticas,Ciências da Comunicação,L1,58,61,156.5,0
1516,9157,Universidade de Lisboa - Instituto Superior de Ciências Sociais e Políticas,Gestão de Recursos Humanos,L1,70,70,150.5,0
1516,9229,Universidade de Lisboa - Instituto Superior de Ciências Sociais e Políticas,Relações Internacionais,L1,80,80,156.5,0
1516,9238,Universidade de Lisboa - Instituto Superior de Ciências Sociais e Políticas,Serviço Social,L1,54,54,139.5,0
1516,9240,Universidade de Lisboa - Instituto Superior de Ciências Sociais e Políticas,Sociologia,L1,55,57,130.5,0
1516,9448,Universidade de Lisboa - Instituto Superior de Ciências Sociais e Políticas,Antropologia,L1,47,47,115.0,0
1517,9081,Universidade de Lisboa - Instituto Superior de Economia e Gestão,Economia,L1,138,138,149.0,0
1517,9140,Universidade de Lisboa - Instituto Superior de Economia e Gestão,Finanças,L1,34,34,149.0,0
1517,9147,Universidade de Lisboa - Instituto Superior de Economia e Gestão,Gestão,L1,168,168,154.5,0
1517,9210,Universidade de Lisboa - Instituto Superior de Economia e Gestão,Matemática Aplicada à Economia e à Gestão,L1,38,38,178.5,0
1517,A001,Universidade de Lisboa - Instituto Superior de Economia e Gestão,Gestão (ensino em Inglês),L1,29,29,159.8,0
1517,A006,Universidade de Lisboa - Instituto Superior de Economia e Gestão,Economia (ensino em inglês),L1,24,24,153.0,0
1518,9121,Universidade de Lisboa - Instituto Superior Técnico,Engenharia Informática e de Computadores,L1,170,170,171.5,0
1518,9257,Universidade de Lisboa - Instituto Superior Técnico,Arquitetura,MI,47,47,146.5,0
1518,9345,Universidade de Lisboa - Instituto Superior Técnico,Matemática Aplicada e Computação,L1,33,33,183.5,0
1518,9357,Universidade de Lisboa - Instituto Superior Técnico,Engenharia Aeroespacial,MI,80,81,188.5,0
1518,9358,Universidade de Lisboa - Instituto Superior Técnico,Engenharia Biológica,MI,61,61,170.5,0
1518,9359,Universidade de Lisboa - Instituto Superior Técnico,Engenharia Biomédica,MI,57,57,181.0,0
1518,9360,Universidade de Lisboa - Instituto Superior Técnico,Engenharia Civil,MI,129,129,125.5,0
1518,9363,Universidade de Lisboa - Instituto Superior Técnico,Engenharia de Materiais,MI,25,25,160.3,0
1518,9367,Universidade de Lisboa - Instituto Superior Técnico,Engenharia Eletrotécnica e de Computadores,MI,220,220,160.8,0
1518,9369,Universidade de Lisboa - Instituto Superior Técnico,Engenharia Mecânica,MI,160,161,174.3,0
1518,9458,Universidade de Lisboa - Instituto Superior Técnico,Engenharia Física Tecnológica,MI,60,61,189.0,0
1518,9461,Universidade de Lisboa - Instituto Superior Técnico,Engenharia Química,MI,75,75,163.3,0
1518,9508,Universidade de Lisboa - Instituto Superior Técnico,Engenharia do Ambiente,MI,31,31,151.8,0
1518,9913,Universidade de Lisboa - Instituto Superior Técnico,Engenharia Geológica e de Minas,L1,20,20,130.3,0
1518,L162,Universidade de Lisboa - Instituto Superior Técnico,Engenharia Naval e Oceânica,L1,30,30,160.3,0
1519,9098,Universidade de Lisboa - Instituto Superior Técnico (Tagus Park),Engenharia de Telecomunicações e Informática,L1,55,55,142.0,0
1519,9104,Universidade de Lisboa - Instituto Superior Técnico (Tagus Park),Engenharia e Gestão Industrial,L1,61,61,168.8,0
1519,9121,Universidade de Lisboa - Instituto Superior Técnico (Tagus Park),Engenharia Informática e de Computadores,L1,90,90,162.5,0
1519,9912,Universidade de Lisboa - Instituto Superior Técnico (Tagus Park),Engenharia Eletrónica,L1,34,34,149.3,0
3011,8005,Universidade de Aveiro - Instituto Superior de Contabilidade e Administração de Aveiro,Marketing (regime pós-laboral),L1,20,21,126.2,0
3011,8449,Universidade de Aveiro - Instituto Superior de Contabilidade e Administração de Aveiro,Contabilidade (regime de ensino a distância),L1,20,2,106.0,18
3011,9056,Universidade de Aveiro - Instituto Superior de Contabilidade e Administração de Aveiro,Contabilidade,L1,78,78,134.7,0
3011,9140,Universidade de Aveiro - Instituto Superior de Contabilidade e Administração de Aveiro,Finanças,L1,20,20,146.5,0
3011,9205,Universidade de Aveiro - Instituto Superior de Contabilidade e Administração de Aveiro,Marketing,L1,33,33,142.8,0
3011,9869,Universidade de Aveiro - Instituto Superior de Contabilidade e Administração de Aveiro,Contabilidade (regime pós-laboral),L1,20,20,120.8,0
3011,9888,Universidade de Aveiro - Instituto Superior de Contabilidade e Administração de Aveiro,Finanças (regime pós-laboral),L1,20,20,100.6,0
3012,8016,Universidade de Aveiro - Escola Superior de Tecnologia e Gestão de Águeda,Tecnologias da Informação,L1,25,17,111.3,8
3012,8405,Universidade de Aveiro - Escola Superior de Tecnologia e Gestão de Águeda,Gestão da Qualidade,L1,23,23,125.8,0
3012,9109,Universidade de Aveiro - Escola Superior de Tecnologia e Gestão de Águeda,Engenharia Eletrotécnica,L1,24,4,119.4,20
3012,9235,Universidade de Aveiro - Escola Superior de Tecnologia e Gestão de Águeda,Secretariado e Comunicação Empresarial,L1,24,25,134.0,0
3012,9769,Universidade de Aveiro - Escola Superior de Tecnologia e Gestão de Águeda,Gestão Pública e Autárquica,L1,20,20,116.7,0
3012,L021,Universidade de Aveiro - Escola Superior de Tecnologia e Gestão de Águeda,Gestão Comercial,L1,30,30,133.6,0
