;Tabela 3.1 - Inscritos em estabelecimentos de ensino superior residentes em Portugal por município do estabelecimento de ensino superior e município da residência permanente do aluno, em 2018/19 - Todos os cursos/ciclos de estudos;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
municipio;Abrantes;Águeda;Almada;Amadora;Amares;Angra do Heroísmo;Aveiro;Barcelos;Barreiro;Beja;Braga;Bragança;Caldas da Rainha;Cascais;Castelo Branco;Chaves;Coimbra;Covilhã;Elvas;Évora;Fafe;Faro;Felgueiras;Funchal;Guarda;Guimarães;Idanha-a-Nova;Lamego;Leiria;Lisboa;Maia;Marinha Grande;Matosinhos;Melgaço;Mirandela;Odivelas;Oeiras;Oliveira de Azeméis;Oliveira do Hospital;Paredes;Penafiel;Peniche;Ponta Delgada;Ponte de Lima;Portalegre;Portimão;Porto;Rio Maior;Santa Maria da Feira;Santarém;Seia;Setúbal;Silves;Sintra;Tomar;Torres Vedras;Valença;Viana do Castelo;Vila do Conde;Vila Nova de Cerveira;Vila Nova de Famalicão;Vila Nova de Gaia;Vila Real;Viseu
Boticas; 0; 0; 0; 0; 1; 0; 3; 0; 0; 0; 7; 25; 0; 0; 0; 8; 10; 2; 0; 0; 2; 1; 0; 0; 2; 0; 0; 0; 0; 1; 0; 0; 1; 0; 3; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 18; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 1; 0; 0; 0; 14; 0
Braga; 1; 2; 7; 8; 65; 0; 91;1 134; 0; 3;5 365; 57; 4; 7; 9; 0; 303; 87; 0; 16; 8; 15; 15; 3; 4; 2; 1; 1; 17; 346; 73; 0; 35; 40; 25; 0; 9; 3; 1; 31; 0; 0; 4; 50; 4; 0; 880; 1; 0; 1; 1; 3; 0; 2; 10; 0; 26; 171; 16; 3; 169; 41; 108; 16
Bragança; 0; 1; 1; 0; 1; 0; 30; 3; 0; 0; 51;2 550; 2; 0; 2; 0; 144; 51; 0; 0; 0; 6; 0; 0; 4; 0; 0; 2; 4; 91; 6; 0; 5; 0; 169; 0; 2; 2; 0; 4; 0; 0; 0; 0; 0; 2; 227; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 5; 52; 9
Cabeceiras de Basto; 0; 0; 2; 0; 3; 0; 13; 4; 0; 0; 121; 46; 1; 0; 2; 0; 26; 4; 1; 0; 34; 0; 1; 0; 3; 0; 1; 1; 2; 14; 3; 0; 3; 0; 7; 0; 1; 1; 0; 1; 1; 1; 0; 1; 0; 0; 74; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 3; 2; 0; 4; 11; 70; 2
Cadaval; 0; 0; 11; 0; 0; 0; 2; 0; 0; 2; 1; 0; 10; 1; 4; 0; 13; 4; 1; 12; 0; 6; 0; 0; 0; 0; 1; 0; 34; 119; 0; 0; 0; 1; 0; 0; 9; 0; 1; 0; 0; 6; 0; 0; 3; 1; 1; 1; 0; 15; 0; 2; 0; 0; 5; 1; 0; 0; 0; 0; 0; 1; 0; 1
Caldas da Rainha; 4; 0; 52; 1; 0; 0; 33; 2; 0; 1; 2; 1; 145; 14; 17; 0; 109; 16; 1; 32; 0; 7; 1; 0; 3; 0; 0; 0; 291; 672; 0; 1; 0; 0; 3; 1; 31; 0; 0; 1; 0; 68; 0; 0; 5; 0; 27; 18; 0; 41; 0; 2; 0; 2; 9; 0; 0; 0; 2; 0; 0; 1; 1; 3
Calheta (R.A.A.); 0; 0; 4; 0; 0; 4; 2; 1; 0; 0; 5; 0; 0; 0; 1; 0; 21; 2; 0; 0; 0; 2; 0; 0; 0; 0; 0; 1; 2; 25; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 1; 9; 0; 2; 0; 7; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 2; 0
Calheta (R.A.M.); 0; 0; 1; 0; 0; 0; 0; 0; 0; 0; 7; 0; 0; 0; 0; 0; 19; 2; 1; 3; 0; 5; 0; 80; 0; 0; 0; 1; 3; 38; 0; 0; 1; 0; 0; 0; 1; 0; 0; 0; 0; 1; 0; 0; 1; 0; 35; 3; 0; 3; 0; 2; 0; 0; 0; 0; 0; 0; 2; 0; 0; 2; 3; 0
Câmara de Lobos; 2; 1; 12; 0; 0; 0; 10; 1; 0; 2; 11; 3; 1; 1; 7; 0; 51; 13; 3; 13; 0; 9; 4; 331; 3; 0; 0; 1; 6; 137; 0; 0; 3; 0; 1; 0; 3; 0; 0; 1; 0; 3; 4; 0; 1; 0; 63; 2; 0; 0; 1; 3; 0; 0; 0; 0; 0; 0; 1; 0; 0; 5; 8; 3
Caminha; 0; 1; 5; 2; 0; 0; 27; 16; 0; 0; 50; 5; 2; 0; 0; 0; 44; 14; 1; 2; 0; 1; 3; 0; 2; 1; 0; 0; 4; 38; 5; 0; 8; 10; 2; 0; 2; 0; 0; 0; 0; 0; 0; 3; 0; 0; 101; 0; 0; 0; 1; 1; 0; 1; 0; 0; 10; 85; 1; 3; 1; 6; 11; 2
Campo Maior; 1; 0; 9; 0; 0; 0; 2; 0; 0; 3; 0; 0; 0; 0; 11; 0; 10; 8; 8; 40; 0; 2; 0; 0; 7; 0; 0; 0; 3; 60; 0; 0; 0; 0; 0; 0; 3; 0; 0; 0; 0; 0; 0; 0; 74; 0; 0; 0; 0; 2; 1; 12; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0
Cantanhede; 0; 5; 6; 1; 0; 0; 97; 1; 0; 0; 5; 0; 5; 2; 5; 0; 716; 12; 0; 3; 0; 3; 0; 1; 9; 0; 0; 1; 33; 60; 2; 0; 1; 1; 1; 0; 2; 10; 7; 3; 0; 10; 1; 0; 3; 0; 55; 0; 0; 0; 4; 0; 0; 0; 4; 0; 0; 0; 1; 0; 0; 3; 11; 14
Carrazeda de Ansiães; 0; 1; 0; 0; 0; 0; 8; 0; 0; 0; 5; 47; 0; 0; 4; 0; 11; 3; 0; 1; 0; 0; 1; 0; 0; 0; 0; 0; 0; 7; 0; 0; 3; 0; 8; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 24; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 1; 3; 16; 3
Carregal do Sal; 0; 0; 5; 0; 0; 0; 20; 0; 0; 0; 4; 2; 0; 0; 0; 0; 75; 16; 0; 0; 0; 0; 0; 0; 2; 0; 0; 1; 1; 26; 0; 0; 1; 0; 1; 0; 0; 0; 4; 0; 0; 0; 0; 0; 3; 1; 9; 0; 0; 0; 3; 0; 0; 0; 1; 0; 0; 0; 0; 0; 0; 1; 2; 51
Cartaxo; 1; 0; 26; 1; 0; 0; 8; 2; 0; 2; 1; 1; 14; 7; 5; 0; 21; 4; 1; 23; 0; 6; 0; 0; 0; 0; 2; 1; 26; 297; 0; 0; 0; 0; 0; 1; 5; 0; 0; 0; 0; 7; 0; 0; 3; 1; 5; 5; 0; 132; 1; 2; 0; 0; 12; 0; 0; 0; 0; 0; 0; 0; 7; 1
Cascais; 2; 1; 400; 21; 0; 3; 14; 2; 3; 11; 9; 4; 18; 390; 9; 0; 39; 28; 2; 45; 0; 33; 0; 2; 1; 0; 3; 0; 13;6 041; 0; 0; 4; 0; 3; 18; 547; 0; 0; 0; 0; 17; 5; 0; 12; 0; 48; 3; 0; 10; 0; 33; 1; 3; 14; 1; 0; 2; 1; 0; 0; 2; 4; 2
Castanheira de Pêra; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 1; 0; 31; 3; 0; 0; 0; 0; 0; 0; 1; 0; 0; 0; 11; 3; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 1; 0; 0; 0; 0; 2; 0; 0; 0; 0; 0; 0; 0; 1; 0; 0; 0; 0; 0; 0; 0; 1; 0
Castelo Branco; 2; 0; 54; 0; 0; 0; 34; 1; 0; 1; 4; 1; 1; 6; 834; 0; 186; 230; 1; 36; 0; 13; 0; 2; 16; 0; 86; 0; 25; 458; 4; 0; 2; 0; 0; 1; 22; 0; 2; 0; 0; 3; 1; 0; 13; 1; 39; 3; 0; 2; 0; 3; 1; 3; 3; 0; 0; 0; 0; 0; 0; 0; 5; 16
Castelo de Paiva; 1; 0; 0; 1; 0; 0; 51; 1; 0; 0; 10; 13; 1; 0; 7; 0; 29; 4; 0; 1; 3; 1; 7; 0; 3; 0; 0; 1; 2; 10; 12; 0; 14; 0; 3; 0; 0; 2; 1; 13; 8; 0; 0; 1; 0; 0; 181; 0; 5; 0; 0; 0; 0; 0; 0; 0; 0; 2; 1; 0; 1; 17; 21; 16
Castelo de Vide; 0; 0; 1; 0; 0; 0; 1; 0; 0; 1; 0; 0; 1; 1; 1; 0; 5; 2; 1; 10; 0; 1; 0; 0; 0; 0; 2; 0; 0; 37; 0; 0; 0; 0; 0; 0; 1; 0; 0; 0; 0; 0; 0; 0; 25; 1; 1; 0; 0; 0; 0; 2; 0; 0; 3; 0; 0; 0; 0; 0; 0; 0; 0; 0
Castro Daire; 0; 0; 3; 0; 0; 0; 18; 0; 0; 2; 5; 10; 1; 0; 7; 0; 83; 13; 0; 0; 0; 1; 0; 0; 10; 0; 2; 4; 6; 33; 1; 0; 2; 0; 3; 0; 0; 0; 1; 1; 0; 0; 0; 0; 0; 0; 29; 2; 0; 0; 2; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 3; 15; 106
Castro Marim; 0; 0; 5; 0; 0; 0; 0; 0; 0; 10; 0; 0; 3; 0; 0; 0; 3; 2; 1; 2; 0; 69; 0; 0; 1; 0; 0; 0; 1; 33; 0; 0; 0; 0; 0; 0; 1; 0; 0; 0; 0; 0; 1; 0; 0; 1; 3; 0; 0; 0; 0; 3; 2; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0
Castro Verde; 0; 0; 14; 0; 0; 0; 0; 0; 0; 49; 0; 0; 0; 2; 2; 0; 4; 2; 0; 8; 0; 31; 0; 0; 0; 0; 0; 0; 2; 79; 0; 0; 0; 0; 0; 0; 5; 0; 0; 0; 0; 0; 0; 0; 0; 2; 0; 0; 0; 0; 1; 3; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0
Celorico da Beira; 0; 0; 2; 0; 0; 0; 5; 1; 0; 0; 1; 2; 0; 2; 2; 0; 46; 19; 0; 1; 0; 1; 0; 0; 30; 0; 0; 1; 1; 28; 1; 0; 2; 0; 0; 0; 0; 0; 1; 0; 0; 0; 0; 0; 1; 0; 5; 0; 0; 0; 5; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 1; 8
Celorico de Basto; 0; 0; 4; 0; 1; 0; 12; 7; 0; 0; 59; 64; 0; 0; 0; 0; 34; 9; 0; 0; 18; 2; 16; 0; 3; 0; 0; 0; 0; 19; 5; 0; 21; 0; 6; 0; 0; 1; 0; 1; 0; 0; 0; 1; 1; 0; 107; 0; 0; 0; 0; 2; 0; 0; 0; 0; 1; 2; 2; 0; 3; 7; 179; 2
Chamusca; 4; 0; 5; 0; 0; 0; 6; 0; 0; 1; 0; 0; 1; 0; 5; 0; 26; 4; 1; 22; 0; 0; 0; 0; 0; 0; 1; 0; 13; 46; 0; 0; 0; 0; 0; 0; 0; 0; 1; 0; 0; 7; 0; 0; 1; 0; 3; 0; 0; 27; 0; 0; 0; 0; 5; 0; 0; 0; 0; 0; 0; 0; 2; 1
Chaves; 1; 0; 7; 1; 2; 0; 38; 0; 0; 0; 83; 152; 0; 1; 3; 81; 143; 36; 0; 4; 2; 2; 4; 0; 6; 0; 2; 1; 5; 77; 6; 0; 11; 2; 58; 1; 2; 0; 3; 5; 0; 2; 1; 0; 0; 0; 297; 1; 0; 0; 1; 0; 0; 2; 0; 0; 0; 1; 3; 0; 3; 18; 122; 11
Cinfães; 0; 0; 0; 0; 0; 0; 18; 1; 0; 0; 7; 11; 0; 0; 5; 1; 31; 10; 0; 0; 0; 0; 4; 0; 2; 0; 0; 4; 1; 10; 13; 0; 17; 0; 1; 0; 0; 0; 0; 6; 1; 0; 0; 0; 0; 0; 114; 0; 0; 0; 0; 0; 0; 1; 0; 0; 0; 0; 2; 0; 0; 10; 14; 34
Coimbra; 2; 1; 19; 2; 0; 2; 123; 1; 0; 0; 23; 7; 21; 26; 12; 0;7 027; 50; 0; 31; 0; 21; 0; 1; 9; 1; 3; 3; 26; 591; 4; 0; 8; 0; 0; 0; 28; 12; 28; 5; 0; 9; 10; 1; 3; 0; 239; 2; 0; 6; 2; 2; 0; 3; 9; 0; 0; 2; 1; 0; 0; 7; 23; 36
Condeixa-a-Nova; 0; 1; 0; 0; 0; 0; 15; 0; 0; 0; 2; 0; 6; 1; 8; 0; 587; 2; 0; 1; 0; 0; 0; 0; 1; 0; 1; 1; 13; 39; 0; 0; 1; 0; 0; 0; 2; 7; 1; 0; 0; 1; 1; 0; 0; 0; 17; 0; 0; 1; 0; 0; 0; 0; 2; 0; 0; 0; 0; 0; 0; 2; 4; 6
Constância; 5; 0; 2; 0; 0; 0; 1; 0; 0; 1; 0; 0; 1; 1; 7; 0; 17; 11; 1; 3; 0; 0; 0; 0; 0; 0; 0; 0; 10; 22; 0; 0; 0; 0; 0; 0; 1; 0; 0; 0; 0; 5; 0; 0; 1; 0; 2; 0; 0; 5; 0; 0; 0; 0; 14; 0; 0; 0; 0; 0; 0; 0; 0; 1
Coruche; 1; 1; 37; 0; 0; 0; 2; 0; 0; 2; 0; 2; 4; 2; 3; 0; 26; 6; 1; 38; 0; 4; 0; 0; 0; 0; 0; 0; 9; 212; 0; 0; 1; 0; 1; 0; 5; 0; 0; 0; 0; 0; 0; 0; 5; 2; 2; 2; 0; 52; 0; 3; 0; 1; 5; 0; 0; 1; 0; 0; 0; 0; 0; 0
Corvo; 0; 0; 0; 0; 0; 0; 0; 1; 0; 0; 0; 0; 0; 0; 0; 0; 2; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 1; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 1; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0
Covilhã; 0; 2; 20; 0; 0; 0; 22; 0; 0; 1; 16; 2; 0; 7; 198; 0; 102; 963; 1; 20; 0; 5; 0; 0; 57; 0; 23; 0; 8; 201; 2; 0; 4; 0; 0; 0; 12; 0; 0; 0; 0; 8; 0; 0; 14; 0; 45; 0; 0; 0; 3; 1; 0; 1; 2; 0; 0; 0; 0; 0; 0; 3; 14; 13
Crato; 0; 0; 1; 0; 0; 0; 4; 0; 0; 0; 0; 0; 0; 0; 6; 0; 2; 5; 1; 7; 0; 1; 0; 0; 2; 0; 0; 0; 1; 21; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 1; 0; 0; 25; 0; 0; 0; 0; 0; 0; 2; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0
Cuba; 0; 0; 1; 0; 0; 0; 0; 0; 0; 58; 0; 0; 0; 0; 1; 0; 0; 0; 1; 18; 0; 8; 0; 0; 0; 0; 0; 0; 0; 30; 0; 0; 0; 0; 0; 0; 1; 0; 0; 0; 0; 0; 0; 0; 0; 1; 1; 1; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0
Desconhecido; 2; 1; 369; 0; 0; 0; 45; 3; 0; 0; 1; 0; 0; 3; 0; 0; 4; 0; 0; 73; 0; 2; 0; 1; 24; 0; 2; 0; 1; 366; 0; 0; 99; 0; 0; 0; 2; 0; 0; 0; 0; 0; 1; 0; 0; 0; 8; 412; 0; 881; 10; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0
Elvas; 2; 1; 26; 0; 1; 0; 3; 0; 0; 5; 0; 1; 1; 4; 29; 0; 22; 8; 103; 136; 0; 17; 0; 0; 2; 0; 2; 0; 3; 215; 0; 0; 0; 0; 1; 0; 13; 0; 3; 0; 0; 3; 0; 0; 95; 0; 2; 0; 0; 6; 0; 15; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 1; 1
Entroncamento; 18; 0; 33; 1; 0; 0; 28; 1; 0; 2; 3; 0; 7; 7; 17; 0; 72; 30; 1; 21; 0; 4; 0; 0; 0; 0; 2; 0; 37; 261; 1; 1; 0; 0; 0; 0; 11; 1; 2; 1; 0; 4; 0; 1; 12; 0; 16; 9; 0; 33; 0; 2; 0; 5; 132; 0; 0; 1; 0; 0; 0; 0; 0; 0
Espinho; 0; 5; 0; 0; 0; 0; 173; 3; 0; 0; 13; 7; 0; 0; 4; 0; 45; 13; 0; 2; 0; 1; 0; 0; 2; 0; 0; 0; 2; 24; 20; 0; 36; 0; 1; 0; 1; 8; 0; 0; 0; 0; 1; 0; 0; 0; 531; 0; 16; 2; 1; 0; 0; 0; 0; 0; 0; 0; 3; 0; 1; 51; 15; 8
Esposende; 0; 1; 2; 1; 0; 0; 37; 150; 0; 0; 241; 21; 0; 1; 6; 0; 98; 11; 0; 1; 0; 8; 6; 0; 2; 0; 2; 2; 4; 43; 19; 0; 27; 7; 11; 0; 1; 0; 0; 7; 1; 1; 1; 15; 0; 0; 344; 0; 0; 0; 0; 0; 0; 1; 2; 0; 7; 140; 9; 1; 0; 20; 12; 10
Estarreja; 0; 40; 0; 0; 0; 0; 220; 0; 0; 1; 8; 1; 1; 0; 6; 0; 77; 18; 0; 5; 0; 3; 4; 0; 9; 0; 0; 1; 11; 52; 11; 0; 5; 0; 0; 0; 6; 28; 3; 3; 0; 2; 0; 0; 2; 0; 106; 0; 7; 0; 0; 0; 0; 0; 4; 0; 0; 0; 2; 0; 0; 11; 7; 22
Estremoz; 1; 0; 15; 1; 0; 0; 4; 0; 0; 11; 1; 0; 2; 1; 5; 0; 10; 7; 10; 79; 0; 7; 0; 0; 2; 0; 0; 0; 0; 121; 0; 0; 0; 0; 0; 0; 6; 0; 0; 0; 0; 0; 0; 0; 26; 0; 1; 1; 0; 2; 0; 5; 0; 1; 2; 0; 0; 0; 0; 0; 0; 1; 0; 0
Évora; 0; 2; 78; 3; 0; 3; 12; 0; 4; 52; 7; 1; 5; 7; 9; 0; 46; 11; 8;1 280; 0; 46; 0; 1; 0; 0; 0; 0; 9; 609; 1; 0; 1; 0; 0; 0; 25; 0; 0; 0; 0; 6; 2; 0; 29; 4; 22; 1; 0; 10; 0; 30; 0; 1; 3; 0; 0; 0; 0; 0; 0; 3; 0; 0
Fafe; 0; 2; 1; 0; 6; 0; 36; 28; 0; 0; 415; 63; 2; 1; 5; 0; 101; 31; 1; 2; 153; 1; 58; 1; 2; 0; 2; 2; 6; 42; 10; 0; 14; 0; 20; 0; 4; 1; 4; 12; 0; 0; 0; 3; 0; 0; 279; 0; 0; 1; 0; 1; 0; 0; 1; 0; 1; 13; 1; 0; 17; 20; 49; 6
Faro; 1; 0; 57; 2; 0; 0; 10; 0; 0; 33; 7; 6; 4; 4; 2; 0; 61; 9; 3; 54; 1;1 708; 0; 1; 1; 0; 1; 0; 6; 516; 0; 0; 3; 1; 1; 1; 20; 0; 0; 1; 0; 0; 0; 0; 6; 22; 24; 3; 0; 1; 0; 10; 9; 3; 1; 0; 0; 0; 0; 0; 0; 1; 3; 6
Felgueiras; 1; 5; 0; 0; 0; 0; 50; 9; 0; 1; 207; 113; 2; 1; 4; 2; 99; 23; 0; 8; 33; 1; 213; 0; 6; 0; 1; 0; 8; 44; 24; 0; 38; 1; 28; 0; 0; 2; 2; 29; 3; 1; 1; 1; 2; 0; 410; 0; 0; 0; 0; 0; 0; 1; 0; 0; 2; 12; 8; 0; 5; 28; 118; 8
Ferreira do Alentejo; 0; 0; 4; 0; 0; 0; 0; 0; 0; 59; 0; 0; 1; 0; 3; 0; 4; 0; 0; 17; 0; 7; 0; 0; 0; 0; 0; 0; 0; 54; 0; 0; 0; 0; 0; 0; 2; 0; 0; 0; 0; 1; 0; 0; 0; 1; 0; 0; 0; 1; 0; 3; 1; 0; 1; 0; 0; 0; 0; 0; 0; 0; 0; 0
Ferreira do Zêzere; 0; 0; 5; 0; 0; 0; 11; 0; 0; 0; 0; 0; 2; 2; 4; 0; 45; 5; 0; 4; 0; 2; 0; 0; 2; 0; 2; 0; 15; 49; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 7; 0; 0; 1; 0; 5; 1; 0; 3; 0; 0; 0; 0; 37; 0; 0; 0; 0; 0; 0; 0; 0; 0
Figueira da Foz; 2; 5; 21; 1; 0; 0; 126; 1; 0; 0; 10; 5; 16; 5; 25; 0; 997; 40; 1; 10; 1; 11; 1; 0; 11; 0; 1; 2; 136; 242; 4; 0; 2; 0; 1; 0; 24; 5; 10; 0; 0; 18; 3; 1; 7; 0; 77; 5; 0; 10; 5; 5; 0; 1; 5; 0; 0; 3; 0; 0; 0; 8; 6; 15
Figueira de Castelo Rodrigo; 0; 1; 0; 0; 0; 0; 2; 0; 0; 0; 0; 4; 0; 0; 8; 0; 15; 18; 0; 0; 0; 1; 0; 0; 27; 0; 1; 1; 0; 8; 0; 0; 0; 0; 1; 0; 0; 0; 0; 0; 0; 0; 0; 0; 1; 0; 2; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 4; 6
Figueiró dos Vinhos; 0; 0; 0; 0; 0; 0; 3; 0; 0; 0; 0; 0; 0; 1; 2; 0; 45; 1; 0; 3; 0; 3; 0; 0; 0; 0; 1; 0; 17; 15; 0; 0; 0; 0; 0; 0; 2; 0; 1; 0; 0; 2; 0; 0; 1; 0; 2; 0; 0; 0; 0; 0; 0; 1; 4; 0; 0; 0; 0; 0; 0; 0; 0; 1
Fornos de Algodres; 0; 0; 1; 0; 0; 0; 10; 0; 0; 0; 0; 0; 0; 0; 1; 0; 26; 12; 0; 0; 0; 0; 0; 0; 12; 0; 0; 0; 1; 9; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 7; 0; 0; 0; 5; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 2; 26
Freixo de Espada à Cinta; 0; 0; 0; 0; 0; 0; 1; 0; 0; 0; 0; 18; 0; 0; 4; 0; 5; 6; 0; 0; 0; 0; 0; 0; 1; 0; 0; 0; 0; 3; 0; 0; 0; 0; 4; 0; 0; 0; 0; 1; 0; 0; 0; 0; 0; 0; 8; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 6; 1
Fronteira; 1; 0; 4; 0; 0; 0; 0; 0; 0; 3; 0; 0; 0; 1; 1; 0; 2; 3; 1; 13; 0; 2; 0; 0; 0; 0; 1; 0; 0; 16; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 17; 1; 1; 0; 0; 1; 0; 4; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 1; 0
Funchal; 0; 2; 75; 4; 0; 2; 42; 2; 0; 15; 75; 9; 5; 44; 17; 0; 178; 43; 1; 40; 0; 30; 3;1 423; 10; 0; 5; 0; 26;1 175; 9; 0; 16; 2; 2; 0; 57; 0; 6; 1; 0; 7; 3; 4; 1; 1; 268; 13; 0; 6; 0; 15; 0; 1; 6; 0; 1; 7; 4; 0; 0; 23; 40; 20
Fundão; 0; 0; 13; 0; 0; 0; 30; 0; 0; 1; 8; 5; 5; 1; 184; 0; 58; 238; 0; 19; 0; 4; 0; 0; 41; 0; 21; 0; 7; 139; 3; 0; 0; 0; 1; 0; 6; 0; 0; 2; 0; 2; 0; 0; 7; 1; 14; 0; 0; 0; 0; 2; 0; 1; 2; 0; 0; 0; 2; 0; 0; 1; 1; 6
Gavião; 0; 0; 2; 0; 0; 0; 2; 0; 0; 0; 0; 0; 0; 0; 5; 0; 2; 3; 1; 2; 0; 1; 0; 0; 0; 0; 0; 0; 1; 25; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 6; 0; 0; 1; 0; 1; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0
Góis; 0; 0; 0; 0; 0; 0; 1; 0; 0; 0; 0; 0; 1; 0; 1; 0; 56; 0; 0; 0; 0; 0; 0; 0; 1; 0; 0; 0; 3; 5; 0; 0; 0; 0; 0; 0; 0; 0; 2; 0; 0; 1; 0; 0; 0; 0; 4; 0; 0; 0; 0; 0; 0; 0; 1; 0; 0; 1; 1; 0; 0; 0; 0; 0
Golegã; 0; 0; 1; 0; 0; 0; 5; 0; 0; 0; 0; 0; 0; 1; 2; 0; 9; 5; 0; 6; 0; 3; 0; 0; 0; 0; 0; 0; 11; 51; 0; 0; 0; 0; 0; 0; 1; 0; 0; 0; 0; 5; 0; 0; 3; 0; 1; 1; 0; 26; 0; 0; 0; 0; 14; 0; 0; 0; 0; 0; 0; 0; 1; 0
Gondomar; 1; 4; 11; 6; 0; 0; 105; 20; 0; 2; 122; 18; 7; 1; 4; 0; 79; 33; 0; 4; 2; 6; 34; 0; 7; 0; 1; 3; 9; 134; 323; 0; 401; 3; 10; 0; 3; 4; 0; 48; 0; 0; 2; 9; 1; 1;3 169; 0; 0; 1; 1; 0; 0; 0; 0; 0; 2; 18; 94; 0; 6; 280; 52; 14
Gouveia; 0; 0; 2; 0; 0; 1; 26; 0; 0; 0; 4; 6; 1; 0; 20; 0; 86; 15; 0; 3; 0; 1; 0; 0; 32; 0; 0; 1; 7; 47; 2; 0; 1; 0; 0; 0; 3; 0; 0; 0; 0; 0; 0; 0; 2; 0; 16; 1; 0; 0; 3; 0; 0; 0; 0; 0; 0; 0; 1; 0; 0; 1; 4; 31
Grândola; 1; 0; 9; 0; 0; 0; 0; 1; 0; 31; 1; 0; 0; 0; 4; 0; 7; 0; 0; 26; 0; 23; 0; 0; 0; 0; 0; 0; 5; 116; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 1; 0; 3; 1; 3; 0; 0; 3; 0; 31; 1; 0; 3; 0; 0; 0; 0; 0; 0; 0; 0; 0
Guarda; 2; 1; 25; 2; 0; 1; 91; 1; 0; 0; 14; 15; 5; 5; 51; 0; 298; 292; 0; 21; 0; 6; 0; 0; 571; 0; 3; 3; 10; 287; 2; 0; 4; 0; 5; 0; 11; 2; 0; 3; 0; 1; 0; 0; 3; 0; 83; 2; 0; 2; 9; 1; 0; 0; 2; 0; 0; 0; 2; 0; 0; 4; 27; 47
Guimarães; 0; 2; 12; 4; 15; 0; 86; 380; 0; 1;2 054; 142; 8; 6; 8; 0; 214; 88; 0; 14; 134; 12; 112; 0; 17; 6; 2; 1; 10; 138; 76; 0; 61; 6; 52; 0; 6; 4; 2; 21; 1; 0; 1; 11; 2; 0; 886; 0; 0; 1; 9; 3; 0; 1; 9; 0; 21; 94; 23; 1; 157; 50; 259; 18
Horta; 0; 1; 6; 0; 0; 10; 24; 2; 0; 4; 7; 7; 0; 0; 4; 0; 32; 4; 0; 4; 0; 8; 0; 0; 0; 0; 0; 0; 5; 139; 0; 0; 6; 0; 1; 0; 3; 0; 0; 0; 0; 1; 57; 0; 3; 0; 25; 2; 0; 1; 0; 3; 0; 0; 2; 0; 0; 0; 2; 0; 7; 7; 1; 1
Idanha-a-Nova; 0; 0; 2; 0; 0; 0; 0; 0; 0; 0; 2; 1; 0; 1; 43; 0; 5; 21; 0; 5; 0; 0; 0; 0; 1; 0; 50; 0; 1; 18; 0; 0; 0; 0; 1; 0; 0; 0; 0; 0; 0; 0; 0; 0; 1; 0; 0; 1; 0; 2; 1; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 2; 0
