;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Portugal;Abrantes;Águeda;Almada;Amadora;Angra do Heroísmo;Aveiro;Barcelos;Barreiro;Beja;Braga;Bragança;Caldas da Rainha;Cascais;Castelo Branco;Coimbra;Covilhã;Elvas;Évora;Faro;Felgueiras;Funchal;Guarda;Idanha-a-Nova;Lamego;Leiria;Lisboa;Matosinhos;Melgaço;Mirandela;Oeiras;Oliveira de Azeméis;Oliveira do Hospital;Peniche;Ponta Delgada;Ponte de Lima;Portalegre;Portimão;Porto;Rio Maior;Santarém;Seia;Setúbal;Tomar;Valença;Viana do Castelo;Vila do Conde;Vila Nova de Gaia;Vila Real;Viseu
Amadora;2 195;1;1;25;15;0;8;1;12;4;2;8;6;82;9;15;8;4;12;9;0;0;3;4;1;11;1 763;5;0;3;87;1;2;7;0;0;5;0;7;5;17;2;40;7;1;1;0;0;1;0
Amarante; 903;0;1;0;0;0;25;10;0;0;36;97;5;2;4;82;12;0;3;0;80;0;3;0;4;5;16;35;0;39;0;2;2;2;0;0;1;0;178;0;0;1;1;1;2;2;9;23;192;28
Amares; 307;0;0;0;0;0;5;68;0;0;123;12;0;0;2;4;4;0;0;2;2;0;1;0;1;3;7;1;3;5;1;0;0;1;0;3;0;0;9;0;0;0;0;0;6;24;0;0;15;5
Anadia; 451;0;13;0;0;0;49;0;0;0;0;3;4;5;3;230;26;0;3;2;0;0;10;0;2;13;28;4;0;0;2;1;2;0;0;0;1;0;15;0;1;1;5;1;0;1;1;3;5;17
Angra do Heroísmo; 577;0;2;8;0;118;11;0;0;9;8;0;4;2;3;52;9;1;7;8;1;1;1;0;1;18;187;5;0;2;8;0;2;1;50;0;3;0;19;7;2;2;9;2;0;0;0;8;5;1
Ansião; 234;0;0;0;0;0;5;0;0;0;1;0;1;3;7;121;3;0;2;4;0;0;4;0;0;39;25;0;0;0;1;0;1;3;0;0;0;0;0;2;0;1;0;6;0;0;0;1;2;2
Arcos de Valdevez; 284;0;2;1;1;0;5;5;0;0;45;11;2;1;2;26;3;0;0;0;4;0;2;0;1;3;19;14;5;3;0;1;0;0;0;4;1;0;29;0;1;0;1;1;4;77;0;1;8;1
Arganil; 148;0;0;0;0;0;2;0;0;0;0;0;2;1;1;102;2;0;0;0;0;0;1;1;0;3;10;0;0;0;1;0;12;2;0;0;0;0;1;0;0;0;1;0;0;0;0;1;1;4
Armamar; 104;0;0;2;0;0;6;0;0;0;2;3;0;0;3;17;3;0;0;0;0;0;1;0;12;1;4;0;0;0;0;0;0;0;0;0;2;0;9;0;0;0;0;0;1;0;0;0;22;16
Arouca; 256;0;0;0;0;0;32;1;0;0;2;3;0;0;0;54;7;0;1;0;1;0;4;0;5;1;6;14;1;0;0;4;0;0;0;0;1;0;73;0;0;2;0;2;1;0;3;9;8;21
