PORTAL INFOCURSOS;;;;;;;;;;;;
;;;;;;;;;;;;
5) Distribuição dos alunos inscritos por sexo;;;;;;;;;;;;
;;;;;;;;;;;;
Estabelecimento;CodigoEstabelecimento;UnidadeOrganica;CodigoUnidadeOrganica;Natureza;TipoEnsino;NomeCurso;CodigoCurso;Grau;NumeroInscritos;NumeroHomens;NumeroMulheres;AnoLetivo
Universidade do Algarve;0200;Escola Superior de Educação e Comunicação;3081;Publico;Politecnico;Educação Social;9084;Licenciatura;69;6;63;2014/15
Universidade do Algarve;0200;Escola Superior de Educação e Comunicação;3081;Publico;Politecnico;Desporto;9563;Licenciatura;147;112;35;2014/15
Universidade do Algarve;0200;Escola Superior de Educação e Comunicação;3081;Publico;Politecnico;Educação Básica;9853;Licenciatura;82;4;78;2014/15
Universidade do Algarve;0200;Escola Superior de Educação e Comunicação;3081;Publico;Politecnico;Educação Social (regime pós-laboral);9879;Licenciatura;44;6;38;2014/15
Universidade do Algarve;0200;Escola Superior de Gestão, Hotelaria e Turismo;3082;Publico;Politecnico;Gestão;9147;Licenciatura;257;126;131;2014/15
Universidade do Algarve;0200;Escola Superior de Gestão, Hotelaria e Turismo;3082;Publico;Politecnico;Gestão (regime nocturno);9148;Licenciatura;209;88;121;2014/15
Universidade do Algarve;0200;Escola Superior de Gestão, Hotelaria e Turismo;3082;Publico;Politecnico;Gestão Hoteleira;9173;Licenciatura;167;88;79;2014/15
Universidade do Algarve;0200;Escola Superior de Gestão, Hotelaria e Turismo;3082;Publico;Politecnico;Marketing;9205;Licenciatura;113;56;57;2014/15
Universidade do Algarve;0200;Escola Superior de Gestão, Hotelaria e Turismo;3082;Publico;Politecnico;Turismo;9254;Licenciatura;222;82;140;2014/15
Universidade do Algarve;0200;Instituto Superior de Engenharia;3083;Publico;Politecnico;Engenharia Civil;9089;Licenciatura;95;78;17;2014/15
Universidade do Algarve;0200;Instituto Superior de Engenharia;3083;Publico;Politecnico;Engenharia Civil (regime nocturno);9090;Licenciatura;88;64;24;2014/15
Universidade do Algarve;0200;Instituto Superior de Engenharia;3083;Publico;Politecnico;Engenharia Mecânica;9123;Licenciatura;127;121;6;2014/15
Universidade do Algarve;0200;Instituto Superior de Engenharia;3083;Publico;Politecnico;Tecnologias de Informação e Comunicação;9250;Licenciatura;42;32;10;2014/15
Universidade do Algarve;0200;Instituto Superior de Engenharia;3083;Publico;Politecnico;Engenharia Eléctrica e Electrónica;9503;Licenciatura;116;109;7;2014/15
Universidade do Algarve;0200;Instituto Superior de Engenharia;3083;Publico;Politecnico;Tecnologia e Segurança Alimentar;L028;Licenciatura;36;13;23;2014/15
Universidade do Algarve;0200;Escola Superior de Gestão, Hotelaria e Turismo (Portimão);3087;Publico;Politecnico;Gestão;9147;Licenciatura;86;25;61;2014/15
Universidade do Algarve;0200;Escola Superior de Gestão, Hotelaria e Turismo (Portimão);3087;Publico;Politecnico;Gestão (regime nocturno);9148;Licenciatura;103;63;40;2014/15
Universidade do Algarve;0200;Escola Superior de Gestão, Hotelaria e Turismo (Portimão);3087;Publico;Politecnico;Turismo;9254;Licenciatura;106;47;59;2014/15
Universidade do Algarve;0200;Escola Superior de Saúde;7035;Publico;Politecnico;Dietética e Nutrição;8149;Licenciatura;113;19;94;2014/15
Universidade do Algarve;0200;Escola Superior de Saúde;7035;Publico;Politecnico;Ortoprotesia;8152;Licenciatura;65;27;38;2014/15
Universidade do Algarve;0200;Escola Superior de Saúde;7035;Publico;Politecnico;Enfermagem;9500;Licenciatura;138;23;115;2014/15
Universidade do Algarve;0200;Escola Superior de Saúde;7035;Publico;Politecnico;Farmácia;9549;Licenciatura;82;18;64;2014/15
Universidade do Algarve;0200;Escola Superior de Saúde;7035;Publico;Politecnico;Terapia da Fala;9890;Licenciatura;67;3;64;2014/15
Universidade de Aveiro;0300;Universidade de Aveiro;0300;Publico;Universitario;Administração Pública;9002;Licenciatura;233;97;136;2014/15
Universidade de Aveiro;0300;Universidade de Aveiro;0300;Publico;Universitario;Biologia;9011;Licenciatura;310;112;198;2014/15
Universidade de Aveiro;0300;Universidade de Aveiro;0300;Publico;Universitario;Biologia e Geologia;9012;Licenciatura;78;36;42;2014/15
Universidade de Aveiro;0300;Universidade de Aveiro;0300;Publico;Universitario;Bioquímica;9015;Licenciatura;179;64;115;2014/15
Universidade de Aveiro;0300;Universidade de Aveiro;0300;Publico;Universitario;Biotecnologia;9016;Licenciatura;160;67;93;2014/15
Universidade de Aveiro;0300;Universidade de Aveiro;0300;Publico;Universitario;Ciências do Mar;9041;Licenciatura;82;40;42;2014/15
Universidade de Aveiro;0300;Universidade de Aveiro;0300;Publico;Universitario;Design;9069;Licenciatura;183;62;121;2014/15
Universidade de Aveiro;0300;Universidade de Aveiro;0300;Publico;Universitario;Economia;9081;Licenciatura;224;94;130;2014/15
Universidade de Aveiro;0300;Universidade de Aveiro;0300;Publico;Universitario;Engenharia de Materiais;9096;Licenciatura;107;71;36;2014/15
Universidade de Aveiro;0300;Universidade de Aveiro;0300;Publico;Universitario;Engenharia e Gestão Industrial;9104;Licenciatura;289;171;118;2014/15
Universidade de Aveiro;0300;Universidade de Aveiro;0300;Publico;Universitario;Engenharia Geológica;9116;Licenciatura;50;22;28;2014/15
Universidade de Aveiro;0300;Universidade de Aveiro;0300;Publico;Universitario;Engenharia Informática;9119;Licenciatura;166;142;24;2014/15
Universidade de Aveiro;0300;Universidade de Aveiro;0300;Publico;Universitario;Física;9141;Licenciatura;46;35;11;2014/15
Universidade de Aveiro;0300;Universidade de Aveiro;0300;Publico;Universitario;Gestão;9147;Licenciatura;195;99;96;2014/15
Universidade de Aveiro;0300;Universidade de Aveiro;0300;Publico;Universitario;Línguas e Estudos Editoriais;9194;Licenciatura;84;23;61;2014/15
Universidade de Aveiro;0300;Universidade de Aveiro;0300;Publico;Universitario;Línguas e Relações Empresariais;9196;Licenciatura;272;66;206;2014/15
Universidade de Aveiro;0300;Universidade de Aveiro;0300;Publico;Universitario;Línguas, Literaturas e Culturas;9204;Licenciatura;112;25;87;2014/15
Universidade de Aveiro;0300;Universidade de Aveiro;0300;Publico;Universitario;Matemática;9209;Licenciatura;82;41;41;2014/15
Universidade de Aveiro;0300;Universidade de Aveiro;0300;Publico;Universitario;Meteorologia, Oceanografia e Geofísica;9212;Licenciatura;75;48;27;2014/15
