,"Tabela 3.1 - Inscritos em estabelecimentos de ensino superior residentes em Portugal por concelho do estabelecimento de ensino superior e concelho da residência permanente do aluno, em 2016/17 - Todos os cursos/ciclos de estudos",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
municipios,Abrantes,Águeda,Almada,Amadora,Amares,Angra do Heroísmo,Aveiro,Barcelos,Barreiro,Beja,Braga,Bragança,Caldas da Rainha,Cascais,Castelo Branco,Chaves,Coimbra,Covilhã,Elvas,Évora,Fafe,Faro,Felgueiras,Funchal,Guarda,Guimarães,Idanha-a-Nova,Lamego,Leiria,Lisboa,Maia,Marinha Grande,Matosinhos,Melgaço,Mirandela,Odivelas,Oeiras,Oliveira de Azeméis,Oliveira do Hospital,Paredes,Penafiel,Peniche,Ponta Delgada,Ponte de Lima,Portalegre,Portimão,Porto,Rio Maior,Santa Maria da Feira,Santarém,Santiago do Cacém,Seia,Setúbal,Silves,Sintra,Tomar,Torres Vedras,Valença,Viana do Castelo,Vila do Conde,Vila Nova de Cerveira,Vila Nova de Famalicão,Vila Nova de Gaia,Vila Real,Viseu
Alcochete,0.00,0.00,40.00,2.00,0.00,0.00,2.00,0.00,5.00,2.00,1.00,0.00,1.00,6.00,1.00,0.00,3.00,4.00,0.00,11.00,0.00,6.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,361.00,0.00,0.00,0.00,0.00,1.00,0.00,4.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,4.00,2.00,0.00,2.00,0.00,1.00,56.00,0.00,0.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00
Alcoutim,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,6.00,0.00,0.00,0.00,0.00,1.00,0.00,2.00,1.00,0.00,2.00,0.00,27.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Alenquer,1.00,0.00,44.00,0.00,0.00,0.00,5.00,1.00,1.00,2.00,1.00,4.00,12.00,8.00,3.00,0.00,15.00,5.00,3.00,12.00,0.00,13.00,1.00,0.00,1.00,0.00,1.00,0.00,13.00,683.00,0.00,0.00,0.00,0.00,0.00,3.00,25.00,0.00,0.00,0.00,0.00,15.00,1.00,0.00,2.00,0.00,5.00,17.00,0.00,96.00,0.00,1.00,4.00,0.00,3.00,5.00,2.00,0.00,1.00,0.00,0.00,0.00,0.00,1.00,2.00
Alfândega da Fé,0.00,0.00,0.00,0.00,0.00,0.00,3.00,1.00,0.00,0.00,3.00,54.00,0.00,0.00,1.00,0.00,11.00,5.00,0.00,2.00,0.00,0.00,0.00,0.00,3.00,0.00,0.00,0.00,1.00,6.00,0.00,0.00,1.00,0.00,8.00,0.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,19.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,12.00,0.00
Alijó,1.00,0.00,0.00,0.00,0.00,0.00,6.00,0.00,0.00,0.00,11.00,33.00,0.00,0.00,0.00,1.00,13.00,5.00,0.00,3.00,0.00,1.00,0.00,1.00,0.00,0.00,0.00,4.00,1.00,13.00,0.00,0.00,1.00,0.00,18.00,0.00,0.00,1.00,0.00,1.00,0.00,0.00,0.00,0.00,1.00,0.00,42.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,97.00,4.00
Aljezur,0.00,0.00,6.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00,1.00,0.00,0.00,0.00,1.00,0.00,8.00,1.00,0.00,3.00,0.00,17.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,48.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,7.00,1.00,0.00,0.00,0.00,0.00,0.00,2.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00
Aljustrel,0.00,0.00,13.00,0.00,0.00,0.00,0.00,0.00,1.00,79.00,0.00,0.00,0.00,0.00,3.00,0.00,4.00,0.00,0.00,19.00,0.00,32.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,44.00,0.00,0.00,0.00,0.00,1.00,0.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,7.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Almada,0.00,0.00,1185.00,12.00,0.00,1.00,13.00,2.00,31.00,11.00,9.00,6.00,18.00,65.00,9.00,0.00,24.00,15.00,2.00,48.00,0.00,25.00,0.00,0.00,6.00,0.00,1.00,1.00,12.00,3313.00,0.00,0.00,0.00,0.00,5.00,0.00,89.00,0.00,0.00,0.00,0.00,8.00,0.00,1.00,9.00,0.00,27.00,6.00,0.00,6.00,0.00,1.00,315.00,0.00,2.00,5.00,1.00,0.00,4.00,0.00,0.00,0.00,0.00,4.00,1.00
Almeida,0.00,1.00,5.00,0.00,0.00,0.00,5.00,0.00,0.00,0.00,1.00,4.00,0.00,0.00,14.00,0.00,23.00,22.00,0.00,1.00,0.00,0.00,0.00,0.00,29.00,0.00,2.00,2.00,1.00,30.00,0.00,0.00,0.00,0.00,1.00,0.00,2.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00,1.00,1.00,11.00,0.00,0.00,0.00,0.00,5.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.00,2.00,7.00
Almeirim,0.00,1.00,22.00,0.00,0.00,0.00,14.00,0.00,0.00,1.00,1.00,1.00,6.00,1.00,8.00,0.00,36.00,7.00,0.00,28.00,0.00,5.00,0.00,0.00,1.00,0.00,0.00,0.00,14.00,165.00,0.00,0.00,0.00,0.00,0.00,0.00,8.00,1.00,2.00,0.00,0.00,7.00,0.00,0.00,2.00,2.00,8.00,20.00,0.00,171.00,0.00,0.00,3.00,0.00,0.00,5.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00,1.00,1.00
Almodôvar,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,32.00,1.00,0.00,0.00,1.00,0.00,0.00,4.00,0.00,0.00,5.00,0.00,38.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,31.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00,1.00,0.00,0.00,0.00,0.00,0.00,1.00,2.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Alpiarça,2.00,0.00,9.00,1.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,2.00,0.00,3.00,2.00,0.00,10.00,3.00,0.00,8.00,0.00,3.00,0.00,0.00,1.00,0.00,0.00,0.00,7.00,71.00,0.00,0.00,0.00,0.00,0.00,0.00,5.00,0.00,0.00,0.00,0.00,2.00,0.00,0.00,0.00,0.00,2.00,2.00,0.00,35.00,0.00,0.00,0.00,0.00,0.00,6.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00
Alter do Chão,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,2.00,0.00,0.00,0.00,0.00,2.00,0.00,1.00,5.00,3.00,10.00,0.00,1.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,26.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,18.00,0.00,0.00,3.00,0.00,3.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Alvaiázere,1.00,0.00,2.00,0.00,0.00,0.00,4.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,4.00,0.00,60.00,5.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,18.00,23.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,0.00,1.00,2.00,0.00,2.00,0.00,0.00,1.00,0.00,0.00,19.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00
Alvito,0.00,0.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,20.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,1.00,0.00,17.00,0.00,4.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,16.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Amadora,1.00,1.00,265.00,13.00,0.00,1.00,9.00,1.00,11.00,10.00,9.00,10.00,7.00,107.00,7.00,0.00,31.00,13.00,3.00,23.00,0.00,13.00,0.00,0.00,5.00,0.00,5.00,0.00,7.00,4017.00,0.00,0.00,2.00,0.00,2.00,4.00,194.00,0.00,2.00,0.00,0.00,4.00,1.00,0.00,8.00,2.00,23.00,4.00,0.00,30.00,0.00,1.00,15.00,0.00,2.00,7.00,0.00,1.00,3.00,0.00,0.00,0.00,0.00,2.00,3.00
Amarante,1.00,3.00,0.00,1.00,0.00,0.00,37.00,8.00,0.00,0.00,109.00,110.00,6.00,0.00,7.00,1.00,152.00,31.00,1.00,2.00,4.00,1.00,129.00,0.00,4.00,0.00,0.00,11.00,3.00,46.00,30.00,0.00,60.00,0.00,29.00,0.00,1.00,1.00,2.00,32.00,8.00,1.00,0.00,3.00,0.00,0.00,560.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,8.00,7.00,0.00,0.00,28.00,257.00,24.00
Amares,0.00,0.00,0.00,0.00,4.00,0.00,12.00,83.00,0.00,0.00,267.00,21.00,1.00,0.00,4.00,0.00,13.00,4.00,0.00,1.00,4.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,16.00,2.00,0.00,3.00,3.00,0.00,0.00,2.00,1.00,0.00,1.00,0.00,0.00,0.00,3.00,0.00,0.00,48.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00,27.00,0.00,0.00,6.00,3.00,18.00,7.00
Anadia,1.00,17.00,8.00,0.00,0.00,0.00,124.00,0.00,1.00,0.00,9.00,4.00,8.00,1.00,6.00,0.00,410.00,24.00,0.00,8.00,0.00,3.00,0.00,0.00,7.00,0.00,0.00,3.00,18.00,59.00,3.00,0.00,6.00,0.00,0.00,0.00,3.00,8.00,2.00,0.00,0.00,3.00,2.00,1.00,2.00,0.00,56.00,0.00,0.00,3.00,0.00,4.00,2.00,0.00,0.00,3.00,0.00,0.00,0.00,2.00,0.00,0.00,3.00,6.00,27.00
Angra do Heroísmo,0.00,0.00,31.00,3.00,0.00,196.00,24.00,0.00,0.00,5.00,12.00,1.00,10.00,2.00,8.00,0.00,73.00,15.00,0.00,12.00,0.00,5.00,0.00,0.00,3.00,1.00,0.00,0.00,16.00,334.00,4.00,0.00,3.00,0.00,6.00,0.00,6.00,11.00,0.00,0.00,0.00,1.00,98.00,0.00,0.00,0.00,65.00,3.00,0.00,3.00,0.00,1.00,6.00,0.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00,1.00,7.00,10.00,3.00
Ansião,0.00,0.00,2.00,1.00,0.00,0.00,5.00,0.00,0.00,0.00,0.00,0.00,2.00,0.00,11.00,0.00,187.00,9.00,0.00,2.00,0.00,5.00,0.00,0.00,1.00,0.00,0.00,0.00,58.00,25.00,0.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00,1.00,0.00,0.00,3.00,0.00,0.00,1.00,0.00,5.00,3.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.00,0.00,0.00,2.00,1.00,0.00,0.00,0.00,0.00,1.00
Arcos de Valdevez,0.00,0.00,2.00,0.00,1.00,0.00,9.00,8.00,0.00,0.00,139.00,6.00,0.00,0.00,3.00,0.00,26.00,4.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00,0.00,0.00,0.00,1.00,24.00,2.00,0.00,11.00,4.00,1.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,27.00,0.00,0.00,73.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,7.00,90.00,0.00,0.00,0.00,3.00,4.00,0.00
Arganil,1.00,0.00,1.00,0.00,0.00,0.00,4.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,188.00,3.00,1.00,0.00,0.00,0.00,0.00,0.00,2.00,0.00,0.00,0.00,5.00,19.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,21.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,7.00,0.00,0.00,0.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,1.00,10.00
Armamar,0.00,0.00,2.00,0.00,0.00,0.00,3.00,0.00,0.00,0.00,6.00,7.00,0.00,0.00,1.00,0.00,23.00,6.00,0.00,0.00,0.00,1.00,1.00,0.00,3.00,0.00,0.00,5.00,0.00,5.00,4.00,0.00,2.00,0.00,1.00,0.00,1.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,23.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,23.00,16.00
Arouca,1.00,5.00,1.00,1.00,0.00,0.00,87.00,3.00,0.00,0.00,15.00,1.00,2.00,0.00,2.00,0.00,77.00,11.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,3.00,6.00,19.00,2.00,0.00,20.00,0.00,0.00,0.00,0.00,12.00,0.00,2.00,1.00,0.00,0.00,0.00,1.00,0.00,201.00,0.00,16.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00,3.00,0.00,0.00,25.00,15.00,17.00
Arraiolos,0.00,0.00,9.00,0.00,0.00,0.00,0.00,0.00,0.00,9.00,0.00,1.00,0.00,0.00,4.00,0.00,2.00,2.00,1.00,79.00,0.00,3.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,52.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.00,0.00,1.00,2.00,0.00,0.00,0.00,0.00,5.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Arronches,0.00,0.00,3.00,0.00,0.00,0.00,0.00,0.00,0.00,3.00,0.00,0.00,0.00,0.00,7.00,0.00,0.00,1.00,4.00,7.00,0.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,26.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Arruda dos Vinhos,0.00,0.00,20.00,1.00,0.00,0.00,1.00,0.00,0.00,2.00,0.00,0.00,5.00,8.00,1.00,0.00,5.00,1.00,1.00,8.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.00,346.00,0.00,0.00,0.00,0.00,1.00,0.00,7.00,0.00,0.00,1.00,0.00,5.00,0.00,0.00,1.00,0.00,1.00,4.00,0.00,18.00,0.00,1.00,5.00,0.00,0.00,1.00,1.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00
Aveiro,2.00,163.00,3.00,1.00,0.00,0.00,1928.00,4.00,0.00,1.00,34.00,15.00,6.00,1.00,16.00,0.00,546.00,43.00,0.00,8.00,0.00,12.00,1.00,0.00,37.00,0.00,1.00,2.00,14.00,286.00,16.00,0.00,11.00,1.00,3.00,0.00,17.00,38.00,1.00,12.00,0.00,4.00,0.00,0.00,2.00,0.00,398.00,6.00,11.00,4.00,0.00,9.00,1.00,0.00,0.00,5.00,0.00,0.00,1.00,3.00,0.00,0.00,24.00,25.00,51.00
