,"Tabela 3.1 - Inscritos em estabelecimentos de ensino superior residentes em Portugal por município do estabelecimento de ensino superior e município da residência permanente do aluno, em 2018/19 - Todos os cursos/ciclos de estudos",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
municipios,Abrantes,Águeda,Almada,Amadora,Amares,Angra do Heroísmo,Aveiro,Barcelos,Barreiro,Beja,Braga,Bragança,Caldas da Rainha,Cascais,Castelo Branco,Chaves,Coimbra,Covilhã,Elvas,Évora,Fafe,Faro,Felgueiras,Funchal,Guarda,Guimarães,Idanha-a-Nova,Lamego,Leiria,Lisboa,Maia,Marinha Grande,Matosinhos,Melgaço,Mirandela,Odivelas,Oeiras,Oliveira de Azeméis,Oliveira do Hospital,Paredes,Penafiel,Peniche,Ponta Delgada,Ponte de Lima,Portalegre,Portimão,Porto,Rio Maior,Santa Maria da Feira,Santarém,Seia,Setúbal,Silves,Sintra,Tomar,Torres Vedras,Valença,Viana do Castelo,Vila do Conde,Vila Nova de Cerveira,Vila Nova de Famalicão,Vila Nova de Gaia,Vila Real,Viseu
Alcochete,0.00,0.00,41.00,2.00,0.00,0.00,3.00,0.00,3.00,3.00,0.00,0.00,0.00,7.00,1.00,0.00,4.00,2.00,1.00,17.00,0.00,5.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,425.00,0.00,0.00,0.00,0.00,1.00,1.00,6.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00,0.00,0.00,1.00,1.00,83.00,0.00,0.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Alcoutim,0.00,0.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,7.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,0.00,4.00,0.00,26.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,12.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Alenquer,3.00,0.00,39.00,0.00,0.00,0.00,4.00,1.00,0.00,2.00,2.00,3.00,8.00,11.00,4.00,0.00,12.00,9.00,1.00,18.00,0.00,13.00,0.00,0.00,3.00,0.00,1.00,0.00,19.00,721.00,0.00,0.00,1.00,0.00,0.00,2.00,23.00,0.00,0.00,0.00,0.00,20.00,0.00,0.00,8.00,0.00,8.00,13.00,0.00,115.00,1.00,7.00,0.00,3.00,7.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00
Alfândega da Fé,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,0.00,0.00,3.00,43.00,0.00,0.00,4.00,0.00,10.00,4.00,0.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,4.00,1.00,0.00,1.00,0.00,12.00,0.00,1.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,13.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,13.00,0.00
Alijó,1.00,0.00,0.00,0.00,0.00,0.00,7.00,0.00,0.00,1.00,6.00,34.00,0.00,0.00,2.00,0.00,13.00,3.00,0.00,2.00,0.00,1.00,0.00,1.00,2.00,0.00,0.00,7.00,0.00,12.00,0.00,0.00,4.00,0.00,20.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,36.00,0.00,0.00,3.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,1.00,0.00,0.00,0.00,3.00,78.00,4.00
Aljezur,0.00,0.00,8.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00,1.00,1.00,0.00,0.00,1.00,0.00,8.00,4.00,0.00,3.00,0.00,25.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,37.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,4.00,2.00,1.00,0.00,0.00,0.00,3.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00
Aljustrel,0.00,0.00,11.00,0.00,0.00,0.00,0.00,0.00,0.00,65.00,0.00,0.00,0.00,0.00,3.00,0.00,6.00,0.00,0.00,25.00,0.00,24.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,53.00,0.00,0.00,0.00,0.00,1.00,0.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00,0.00,1.00,0.00,0.00,0.00,0.00,5.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Almada,1.00,0.00,1154.00,12.00,0.00,0.00,17.00,3.00,18.00,10.00,12.00,7.00,10.00,49.00,12.00,0.00,20.00,12.00,4.00,68.00,0.00,25.00,0.00,1.00,4.00,0.00,0.00,1.00,9.00,3500.00,0.00,0.00,0.00,0.00,5.00,5.00,96.00,0.00,2.00,0.00,0.00,10.00,3.00,1.00,12.00,0.00,24.00,2.00,0.00,10.00,0.00,389.00,0.00,0.00,9.00,1.00,1.00,1.00,0.00,0.00,0.00,1.00,3.00,5.00
Almeida,0.00,1.00,4.00,0.00,0.00,0.00,6.00,0.00,0.00,0.00,2.00,7.00,0.00,0.00,7.00,0.00,31.00,20.00,0.00,2.00,0.00,1.00,0.00,0.00,38.00,0.00,0.00,2.00,0.00,17.00,0.00,0.00,0.00,0.00,1.00,0.00,4.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,1.00,5.00,0.00,0.00,0.00,3.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.00,7.00
Almeirim,0.00,1.00,16.00,0.00,0.00,0.00,14.00,0.00,0.00,1.00,4.00,0.00,5.00,2.00,10.00,0.00,39.00,13.00,0.00,30.00,0.00,4.00,0.00,0.00,1.00,1.00,1.00,0.00,19.00,191.00,0.00,0.00,1.00,0.00,0.00,0.00,9.00,0.00,1.00,0.00,0.00,7.00,0.00,0.00,5.00,1.00,12.00,8.00,0.00,126.00,0.00,5.00,0.00,1.00,5.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,2.00,1.00
